,yfjN
Cr_1,0.0007517878672984586
Cr_2,-0.0006990667041200107
Cr_3,-0.0003347933650532281
Cr_4,-0.0012446479154868202
Cr_5,-0.0006837092001086465
Cr_6,-0.0004432982698825945
Fe_1,0.0014254401351027938
Fe_2,0.0354277604421149
Fe_3,0.08394562071198668
Fe_4,0.12133547466178485
Fe_5,0.1446523213801137
Fe_6,0.16005315149296345
Cd_1,-0.0054326228784541955
Cd_2,-0.008008040222153005
Cd_3,-0.008310431913774357
Cd_4,-0.010384327985877014
Cd_5,-0.014816268417888256
Cd_6,-0.013209257626546877
Zn_1,-5.6973406116119823e-05
Zn_2,0.019539538865285817
Zn_3,0.04714563851592745
Zn_4,0.06361194625291314
Zn_5,0.07045312933346133
Zn_6,0.0771002922537819
Cu_1,0.0013417249221789787
Cu_2,0.002106506093517689
Cu_3,0.0042729100323974
Cu_4,0.005813688196941072
Cu_5,0.012145493722358456
Cu_6,0.02088410269689069
Pb_1,0.007471704436508068
Pb_2,0.01696726883156375
Pb_3,0.025244269972863533
Pb_4,0.03291109399164315
Pb_5,0.038224635593675914
Pb_6,0.03824957146361056
