k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,0.04778206910938024,,,
10,Copper,False,-0.0109672390203923,,,
3,Cadmium,False,-0.00995730424299836,,,
7,Zinc - Steady,False,0.005437881946563721,,,
14,UC-7,False,-0.004157442008145154,,,
2,UC-3,False,-0.003247169905807823,,,
13,UC-6,False,-0.0031314702192321423,,,
6,Iron,False,-0.002636979811359197,,,
9,UC-5,False,-0.0018396243054689052,,,
11,Chromium,False,-0.0017462629615329205,,,
1,UC-2,False,-0.0011722968390677124,,,
12,Zinc - Intermediate,False,-0.0011198413302330864,,,
0,UC-1,False,-0.0004352337736054324,,,
8,Zinc - Fast,False,0.00018579949701234,,,
4,UC-4,False,8.496965725498739e-05,,,
