,glpD
Cr_1,0.0003087402883160781
Cr_2,0.003385043530467416
Cr_3,0.008623999724152152
Cr_4,0.014518463513726869
Cr_5,0.01820801230048336
Cr_6,0.018414564177962715
Fe_1,-0.01746380033917037
Fe_2,-0.04196517358838996
Fe_3,-0.06365587540494018
Fe_4,-0.07668887469491288
Fe_5,-0.07779028571420409
Fe_6,-0.07455568772360141
Cd_1,0.005061866122941457
Cd_2,0.005129693787873259
Cd_3,0.002376360518796045
Cd_4,-0.0016635807966682902
Cd_5,-0.011391121981361364
Cd_6,-0.015567770317199884
Zn_1,0.004501443540561836
Zn_2,0.01120674097780922
Zn_3,0.03574509954586889
Zn_4,0.06342633435405648
Zn_5,0.08523145552175825
Zn_6,0.09948810761468943
Cu_1,-0.005183614699339824
Cu_2,-0.006494609877429976
Cu_3,-0.005030640517224714
Cu_4,-0.004261427830778922
Cu_5,-0.004357472262056625
Cu_6,0.0011276910998707554
Pb_1,0.024106788784033408
Pb_2,0.05188131207580995
Pb_3,0.07797110610471644
Pb_4,0.1060252475126186
Pb_5,0.135605079801636
Pb_6,0.1625354366850754
