,hdeA
Cr_1,-0.004171140361161119
Cr_2,-0.0063950244584911105
Cr_3,-0.0063764460117382606
Cr_4,-0.0043247340951275935
Cr_5,0.006397985006080253
Cr_6,0.019597533955399468
Fe_1,-0.031310462957366225
Fe_2,-0.0687481647180818
Fe_3,-0.1270938435067443
Fe_4,-0.17702593563606295
Fe_5,-0.2276584713793742
Fe_6,-0.2420127076093688
Cd_1,0.0014979461625425807
Cd_2,-0.00045942741312706895
Cd_3,0.0007466105254668933
Cd_4,-0.001724565229335875
Cd_5,-0.006925042991158086
Cd_6,-0.006975571893652243
Zn_1,-0.013989282287287474
Zn_2,-0.05660322615162
Zn_3,-0.0675007686142473
Zn_4,-0.0994324650001462
Zn_5,-0.1061118182767681
Zn_6,-0.13283812600111594
Cu_1,0.0021102500861792588
Cu_2,0.004291776951415361
Cu_3,0.006797436052141961
Cu_4,-0.0008600410102395442
Cu_5,-0.005499005677809311
Cu_6,-0.0064404293307006606
Pb_1,-0.009460577841008832
Pb_2,-0.013583100892434221
Pb_3,-0.018064767356025038
Pb_4,-0.025738401495742025
Pb_5,-0.02474622571360353
Pb_6,-0.02082983936770624
