,yqaB
Cr_1,0.017778633057145703
Cr_2,0.040546358883701165
Cr_3,0.044086316780484365
Cr_4,0.015216319081534237
Cr_5,-0.004476446996567197
Cr_6,0.007937430852701387
Fe_1,-0.03434756625500012
Fe_2,-0.06267790150979773
Fe_3,-0.05852872559618313
Fe_4,-0.0695868987631729
Fe_5,-0.07624397858699798
Fe_6,-0.07650014487791583
Cd_1,0.007359354517920584
Cd_2,0.013505246324524954
Cd_3,0.021007247792188308
Cd_4,0.029490638297324658
Cd_5,0.03302257556996748
Cd_6,0.040015978927016964
Zn_1,-0.009885510099738476
Zn_2,-0.014575803628123074
Zn_3,-0.024232642741691287
Zn_4,-0.020939909259832024
Zn_5,-0.005424986542222842
Zn_6,0.02233169103629868
Cu_1,0.006311946229254623
Cu_2,0.01160763692994789
Cu_3,0.015945448846841702
Cu_4,0.01989027768387121
Cu_5,0.0289540128139357
Cu_6,0.046160645742068095
Pb_1,-0.005342160732615983
Pb_2,-0.0033300236737690034
Pb_3,0.010045601860123387
Pb_4,0.015586155826572853
Pb_5,0.024192480739374314
Pb_6,0.034374314533850765
