,yafS
Cr_1,-0.0021052085711200444
Cr_2,0.0001263737375221149
Cr_3,0.006833590794148531
Cr_4,0.014166069739207459
Cr_5,0.017552761755706827
Cr_6,0.018215792235892158
Fe_1,-0.011084427639814027
Fe_2,-0.021110843259638183
Fe_3,-0.025484898724347758
Fe_4,-0.02918486867598648
Fe_5,-0.029695540727090387
Fe_6,-0.029426896033917307
Cd_1,0.00057571045488884
Cd_2,0.004515054317833361
Cd_3,0.008522658967990562
Cd_4,0.01170473887044677
Cd_5,0.012907068844681563
Cd_6,0.02001515441735469
Zn_1,-0.006452287603746442
Zn_2,-0.010975491798834287
Zn_3,-0.009462109251103155
Zn_4,-0.003083199924598455
Zn_5,0.0025411140306191727
Zn_6,0.00872301882447685
Cu_1,0.004106415082911771
Cu_2,0.007372367346627869
Cu_3,0.010065005173748478
Cu_4,0.013837498883065909
Cu_5,0.0200608024445455
Cu_6,0.028627834183922382
Pb_1,0.003480388443604199
Pb_2,0.006830234180017646
Pb_3,0.007891090845090355
Pb_4,0.015993350621274112
Pb_5,0.025502337699377268
Pb_6,0.03605363534830093
