,yaaW
Cr_1,0.053979108395291686
Cr_2,0.10408026780645548
Cr_3,0.18282901921256392
Cr_4,0.2748434099073329
Cr_5,0.3579187303962035
Cr_6,0.4268677040318437
Fe_1,-0.017519859024778053
Fe_2,-0.032206479731850736
Fe_3,-0.029007673166553387
Fe_4,0.005408477752609289
Fe_5,0.06202929176021625
Fe_6,0.11915402803461385
Cd_1,-0.0018001926844526239
Cd_2,-0.005392083744100335
Cd_3,-0.010877176964193457
Cd_4,-0.007758641270253394
Cd_5,-0.00046608878534610496
Cd_6,0.0011381402837189099
Zn_1,-0.013012448024924073
Zn_2,-0.025648101783977938
Zn_3,-0.033446098948016235
Zn_4,-0.04563343388988701
Zn_5,-0.05401820993920812
Zn_6,-0.06699364303408209
Cu_1,0.005147168767506973
Cu_2,0.004515748870524546
Cu_3,0.009887528531766514
Cu_4,0.0016330529931714575
Cu_5,-0.002646401352669469
Cu_6,0.00321136936091235
Pb_1,0.0013582857496907351
Pb_2,-0.0012800440468288376
Pb_3,0.00893312308314977
Pb_4,0.021906829661134643
Pb_5,0.024554486773324675
Pb_6,0.034113767037744554
