,smtA
Cr_1,-0.00045049600113579463
Cr_2,-0.001020498196380713
Cr_3,0.0012196192939120177
Cr_4,0.001959461453595436
Cr_5,-0.002338635966224182
Cr_6,-0.0057793091855825075
Fe_1,-0.007912621564391408
Fe_2,-0.012189528053741155
Fe_3,-0.006090207760440588
Fe_4,0.0019422187760782328
Fe_5,0.013611507345666556
Fe_6,0.02743380630746841
Cd_1,3.6680915825631654e-05
Cd_2,0.002265384038015473
Cd_3,0.00585788251500029
Cd_4,0.0094492369485113
Cd_5,0.008542770986055695
Cd_6,0.014636740505176328
Zn_1,-0.0068219596543474545
Zn_2,-0.0065606609026372074
Zn_3,0.0059269222515139705
Zn_4,0.020212536084000005
Zn_5,0.037455197542548564
Zn_6,0.0533237837467358
Cu_1,0.003175943389888554
Cu_2,0.005606447084268202
Cu_3,0.00900335036722006
Cu_4,0.011174081120150704
Cu_5,0.011860242175891949
Cu_6,0.015622279166457125
Pb_1,0.004369407555888884
Pb_2,0.008503701309045462
Pb_3,0.015717200471239003
Pb_4,0.02311538077362041
Pb_5,0.02812295115771137
Pb_6,0.032918153830913614
