,-0.12313250696586776,-0.1077409435951343,-0.09234938022440083,-0.07695781685366736,-0.06156625348293389,-0.04617469011220042,-0.03078312674146695,-0.015391563370733483,-1.3877787807814457e-17,0.015391563370733455,0.030783126741466924,0.04617469011220039,0.06156625348293386,0.07695781685366733,0.0923493802244008,0.10774094359513427,0.12313250696586774,0.1385240703366012,0.1539156337073347,0.16930719707806818
thresh,-0.1308282886512345,0.1308282886512345,1,,,,,,,,,,,,,,,,,
unreg,0,0,3,2,8,23,131,927,2409,818,141,30,12,5,1,1,1,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PN96_RS06880' 'PN96_RS00935'],['PN96_RS06875'],[]
