,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A
0,RichMedia__BHIN_Growth_Late,7.048100481792322,1.3239870470338548,2.0,0.0,7.9843007009531135,1.0,6.111900262631531
1,RichMedia__BHIN_Growth_Mid,4.819976992524208,1.6935702774244632,2.0,2.0,3.622441964941388,3.0,6.017512020107029
2,RichMedia__BHIN_Growth_Stat,6.661692382227887,0.4450284637538887,2.0,4.0,6.976375026769293,5.0,6.347009737686481
3,RichMedia__LBv2_Growth_Late,1.800748277421613,0.24206369270425,2.0,6.0,1.9719131560118448,7.0,1.6295833988313813
4,RichMedia__LBv2_Growth_Mid,2.456368441983159e-15,0.34702254590160586,2.0,8.0,-0.245381995431643,9.0,0.2453819954316479
5,RichMedia__LBv2_Growth_Stat,-0.49983710846209384,24.07892083270258,2.0,10.0,16.52653109599593,11.0,-17.52620531292012
6,RichMedia__MHB_Rich_Mid,2.7140428069265616,1.571146665731877,2.0,12.0,3.8250112685042055,13.0,1.6030743453489176
7,RichMedia__NBO_Rich_Mid,1.5291800903634747,0.59018401590818,2.0,14.0,1.1118569705668913,15.0,1.946503210160058
8,Carbon__M9Na_Arabinose_Mid,-6.116719779022672,1.265194561108323,2.0,16.0,-7.0113474327027046,17.0,-5.2220921253426384
9,Carbon__M9Na_Galactose_Mid,-1.5742521788652903,1.464974787903856,2.0,18.0,-0.5383585720711496,19.0,-2.610145785659431
10,Carbon__M9Na_GlcNAcGrowth_Late,0.958849034184571,0.664742615900606,2.0,20.0,0.4888050227375681,21.0,1.428893045631574
11,Carbon__M9Na_GlcNAcGrowth_Mid,0.8674534729535255,0.642061998217528,2.0,22.0,1.3214598658353245,23.0,0.4134470800717265
12,Carbon__M9Na_GlcNAcGrowth_Stat,3.221684333372477,0.15894521180834234,2.0,24.0,3.109293096265666,25.0,3.334075570479288
13,Carbon__M9Na_GlcNAc_Mid,0.47137730125565586,0.9005911885032584,2.0,26.0,-0.1654368352118504,27.0,1.108191437723162
14,Carbon__M9Na_Gluconate_Mid,-3.887357271055871,2.884457719114924,2.0,28.0,-1.8477376578238265,29.0,-5.926976884287916
15,Carbon__M9Na_Glucosamine_Mid,4.199291762266245,0.14054662210727947,2.0,30.0,4.298673231831166,31.0,4.099910292701325
16,Carbon__M9Na_Glycerol_Mid,-3.02999162509032,0.2607955863237994,2.0,32.0,-3.2144019526834,33.0,-2.8455812974972394
17,Carbon__M9Na_Maltose_Mid,-3.2879543236338113,2.7900331723018326,2.0,34.0,-5.260805699503853,35.0,-1.3151029477637703
18,Carbon__M9Na_Mannitol_Mid,-6.809382197029677,2.6904438461703073,2.0,36.0,-8.711813285058318,37.0,-4.906951109001036
19,Carbon__M9Na_Trehalose_Mid,-1.2063501519560522,0.0037985896768990457,2.0,38.0,-1.2036641434365716,39.0,-1.2090361604755326
20,Carbon__M9Na_ethanol_Mid,-2.6690402477098765,1.6107771250440943,2.0,40.0,-1.5300488196110258,41.0,-3.808031675808727
21,Carbon__M9Na_fructose_Mid,-1.9791673950786395,2.1430817671214886,2.0,42.0,-0.4637797449097857,43.0,-3.4945550452474934
22,Carbon__M9Na_fumarate_Mid,-0.6414786014836263,1.8622508575746821,2.0,44.0,-1.9582888111451475,45.0,0.6753316081778948
23,Carbon__M9Na_glucoseGrowth_Late,-0.4286243175325186,0.08802263598210189,2.0,46.0,-0.4908657203333779,47.0,-0.3663829147316594
24,Carbon__M9Na_glucoseGrowth_Mid,-1.5959455978986625e-15,0.3063433551025987,2.0,48.0,-0.2166174637644877,49.0,0.2166174637644845
25,Carbon__M9Na_glucoseGrowth_Stat,2.2010726861240184,0.19349274339608324,2.0,50.0,2.3378927170897774,51.0,2.0642526551582594
26,Carbon__M9Na_ribose_Mid,-4.30314841550428,0.1500014420094247,2.0,52.0,-4.197081378671655,53.0,-4.4092154523369045
27,Carbon__M9Na_succinate_Mid,-2.957776886374633,0.27247862427090425,2.0,54.0,-2.7651054034242954,55.0,-3.150448369324971
28,Carbon__M9Na_sucrose_Mid,5.807074735362688,0.3754266064838858,2.0,56.0,5.541608036080079,57.0,6.072541434645297
29,TF__LBv2_HapROver_Late,3.2847618759316983,0.3935615117225452,2.0,58.0,3.563051889684739,59.0,3.0064718621786577
30,TF__LBv2_HapROver_Mid,1.7754316211884047,0.24432950831817435,2.0,60.0,1.9481986733641607,61.0,1.6026645690126486
31,TF__LBv2_HapROver_Stat,5.421422665044286,0.5236551007501835,2.0,62.0,5.7917027377876655,63.0,5.051142592300907
32,TF__LBv2_LuxOOver_Late,4.253170390723379,0.5082262671361927,2.0,64.0,4.612540630592506,65.0,3.893800150854251
33,TF__LBv2_LuxOOver_Mid,6.49965176064171,0.8089337695134236,2.0,66.0,7.071654314595447,67.0,5.927649206687972
34,TF__LBv2_LuxOOver_Stat,1.203683783130083,0.43387436874843754,2.0,68.0,0.8968882748050302,69.0,1.510479291455136
35,TF__LBv2_QstROver_Late,11.50333646714911,0.760967279398816,2.0,70.0,12.04142159067309,71.0,10.965251343625129
36,TF__LBv2_QstROver_Mid,7.214087155876735,0.17277696533670117,2.0,72.0,7.33625891969915,73.0,7.091915392054321
37,TF__LBv2_QstROver_Stat,0.4109718026832345,0.11303374082972013,2.0,74.0,0.4908987273268124,75.0,0.3310448780396567
38,TF__LBv2_TfoXOver_Late,12.426238197470788,0.5366549743278154,2.0,76.0,12.046765825966096,77.0,12.805710568975478
39,TF__LBv2_TfoXOver_Mid,2.9400716356133767,0.5643640086608207,2.0,78.0,2.5410060180316867,79.0,3.3391372531950663
40,TF__LBv2_TfoXOver_Stat,-1.1469991808461668,0.40459518958025487,2.0,80.0,-0.8609071786585117,81.0,-1.4330911830338218
41,Stress-I__20-300-T1,0.6000182747286767,0.1187121669963009,2.0,82.0,0.5160760964362425,83.0,0.683960453021111
42,Stress-I__20-300-T2,-0.49086393383615123,0.03565538228580478,2.0,84.0,-0.5160760964362425,85.0,-0.46565177123606
43,Stress-II-1__LBv2_LowpH_Mid,-3.812656052082998,0.5144158109984447,2.0,86.0,-3.44890914377642,87.0,-4.176402960389575
44,Stress-II-1__LBv2_highSalt_Mid,7.732505648538375,0.31023021064531336,2.0,88.0,7.513139762862142,89.0,7.9518715342146065
45,Stress-II-2__M9Na_glucoseKanamycin_Mid,3.716113351521423,2.1184206530457135,2.0,90.0,2.2181637423471647,91.0,5.214062960695681
46,Stress-III__R_wt,-4.201500258815827e-15,0.04624079706110653,2.0,92.0,-0.0326971811693836,93.0,0.0326971811693752
