,yhjJ
Cr_1,0.0021920515729397915
Cr_2,0.006686346599685279
Cr_3,0.009421907451154385
Cr_4,0.011342389778960632
Cr_5,0.012617746833584754
Cr_6,0.011094863117397486
Fe_1,-0.002021147010856516
Fe_2,-0.004191218026551016
Fe_3,-0.00450575694081645
Fe_4,-0.013716429619356109
Fe_5,-0.01741916444123097
Fe_6,-0.014190672713642653
Cd_1,0.0046591712143440435
Cd_2,0.010095750908348784
Cd_3,0.016158790763362758
Cd_4,0.020237589484389102
Cd_5,0.01900563205968923
Cd_6,0.021794645970334262
Zn_1,-0.005681889998094043
Zn_2,-0.009631572023663573
Zn_3,-0.00885688376383432
Zn_4,-0.003990200335130489
Zn_5,0.0018437089432440843
Zn_6,0.007054132404607191
Cu_1,0.00654044127963338
Cu_2,0.01141926901650272
Cu_3,0.02076213161912541
Cu_4,0.024255533359292272
Cu_5,0.026393304346622643
Cu_6,0.031082785538389744
Pb_1,0.007520942045999403
Pb_2,0.015646929436491867
Pb_3,0.022080231142929514
Pb_4,0.03228813842698053
Pb_5,0.042389791921457004
Pb_6,0.052462514186242266
