,rnd
Cr_1,0.003243429749716501
Cr_2,0.006983966040358261
Cr_3,0.011284596274724557
Cr_4,0.01307045181782409
Cr_5,0.013615061611819171
Cr_6,0.011546993337487163
Fe_1,-0.008129615905116927
Fe_2,-0.002325480931071849
Fe_3,0.014086546144465929
Fe_4,0.019045500412704967
Fe_5,0.032590496663262816
Fe_6,0.03689930227316112
Cd_1,-0.0045980194096328
Cd_2,0.020022373434628538
Cd_3,0.041582019082675205
Cd_4,0.03287221772574346
Cd_5,0.02050058883859748
Cd_6,0.033393042491476635
Zn_1,0.006805816869992257
Zn_2,0.02036490377184495
Zn_3,0.03928729010862511
Zn_4,0.06002599527468407
Zn_5,0.06492021836262478
Zn_6,0.06995815214839775
Cu_1,-0.00026937942085121665
Cu_2,0.004040370870694766
Cu_3,0.008011677832175806
Cu_4,0.013774443229372622
Cu_5,0.021172088470088817
Cu_6,0.029286945518083106
Pb_1,0.0009901344000870665
Pb_2,0.00697205975936069
Pb_3,0.016961679241239702
Pb_4,0.020297590135189596
Pb_5,0.017625183272287924
Pb_6,0.01944157576340234
