,ydgC
Cr_1,0.005322508783607054
Cr_2,0.012046110346145705
Cr_3,0.016863286854736502
Cr_4,0.01891245437420113
Cr_5,0.02438728346462732
Cr_6,0.022262923984477462
Fe_1,-0.016118139964261827
Fe_2,-0.0294722436682912
Fe_3,-0.03613228931606026
Fe_4,-0.045077431400560634
Fe_5,-0.04839327168441277
Fe_6,-0.03928101871859769
Cd_1,0.0011158389082789118
Cd_2,0.007000819652254939
Cd_3,0.018082693139363167
Cd_4,0.027755315242267885
Cd_5,0.029266573903217307
Cd_6,0.034644405360466694
Zn_1,-0.04195084994910797
Zn_2,-0.06503047937019422
Zn_3,-0.07701727869546958
Zn_4,-0.07269565933636916
Zn_5,-0.05288159982143487
Zn_6,-0.03586037946675525
Cu_1,-8.033590707295686e-06
Cu_2,0.0123590671115628
Cu_3,0.024292170501135912
Cu_4,0.031261810087292015
Cu_5,0.03685561046584333
Cu_6,0.04233529575696919
Pb_1,-8.963131742044809e-05
Pb_2,0.0009617922409298117
Pb_3,0.008714017267097566
Pb_4,0.018439555526983595
Pb_5,0.02682770023591335
Pb_6,0.037249081717454134
