,A,LevR
R2,,0.1127475525357503
xmin,,7.5382
xmid,,
xmax,,10.7584
ystart,,-3.1930212950577967
yend,,3.720146381998589
LBexp_1,-4.7999986942,8.132
LBexp_2,-3.6549372439,8.1503
LBexp_3,-3.6254614934,8.0529
LBtran_1,8.3016145067,8.0504
LBtran_2,4.3261652743,7.7375
LBtran_3,2.4317647118,8.1944
LBstat_1,2.4766673767,8.8741
LBstat_2,1.8257332753000002,8.8314
LBstat_3,1.7298513134,8.788
LBGexp_1,-8.2720341888,7.9203
LBGexp_2,-7.9759723805,8.1058
LBGexp_3,-8.1775813548,8.1064
LBGtran_2,-3.0496024612,8.165
LBGtran_3,-4.3510478070000005,8.5403
LBGstat_1,-0.39884987920000003,7.6872
LBGstat_2,-1.2231091095,7.6598
LBGstat_3,-3.8400048461000003,8.1888
S0_1,0.022523900200000002,8.3942
S0_2,-0.8272613948,9.05
S0_3,-0.8079459232,8.894400000000001
S1_1,-1.3300697172,9.473
S1_2,-0.9082930488000001,9.3367
S1_3,0.0796512624,9.452
S2_1,-1.0614092867,9.7
S2_2,-0.2100078199,9.7415
S2_3,-0.7677969291000001,9.4024
S3_1,-1.9982642751,10.1103
S3_2,-0.1281307672,10.2447
S4_1,2.0616998514000002,10.3236
S4_2,1.7326044104,10.0449
S4_3,2.5256759821,9.8332
S5_1,1.7196514379,10.1357
S5_2,1.7153244044,10.3265
S5_3,2.2764071286,10.4778
S6_1,3.7950471331,9.469
S6_2,13.784383182500001,7.836
S6_3,3.2652511275,9.9481
S6/t_1,2.2323888793,9.445
S6/t_2,10.7324339111,7.8311
S6_4,1.3359273232,9.2042
S6_5,2.7720900963,9.687100000000001
S6_6,2.4720686018,9.6459
S7_4,1.1647762524,9.4641
S7_5,0.28877957320000003,9.2785
S7_6,0.5723020462,9.7542
S8_4,-0.351911285,9.2163
S8_5,2.5900481088,9.0109
G135_1,-5.134764568,8.1974
G135_3,-2.039758568,7.7108
G150_1,-3.757102089,8.4484
G150_2,-6.0047923115,8.5236
G150_3,-5.9290917471,8.6419
G180_1,-4.9557534678,8.1584
G180_2,-7.1903801083,8.1514
G180_3,-4.5737269535,7.7099
C30_1,-4.0676852342,9.0053
C30_2,-3.3916827668,9.189
C90_1,-8.5870108021,8.4048
C90_2,-10.0926911615,8.1379
BI_1,1.7658327090000001,9.7141
BI_2,2.6084232262000002,9.67
BC_2,6.9480899038,9.278
BC/t_1,4.8614845546000005,8.9421
BC/t_2,3.8114718372,9.3474
BC_1,4.5067828127,8.9904
Sw_1,1.4647261256,9.6353
Sw_2,2.7907199774,10.1174
BT_1,2.3441904429,9.7747
BT_2,2.6918326945,9.0723
B36_1,2.3394496031,8.7831
B36_2,0.35111942700000004,8.8828
B60_1,18.4857642122,8.5628
B60_2,18.2734153241,8.6752
M9exp_1,-0.2865822997,10.1168
M9exp_2,-0.2800337792,9.7871
M9exp_3,0.5666160789,9.7744
M9tran_1,4.8717970952,9.7304
M9tran_2,4.0627174251,9.5765
M9tran_3,3.6788102626,9.7372
M9stat_1,-1.5048020872999999,8.7492
M9stat_2,-0.2511870812,8.6043
M9stat_3,-0.3534225024,8.388
M+G_1,-3.0070955787,9.4526
M+G_2,-0.7597519842,9.352
M+G_3,-0.2603843972,9.3091
Glu_1,3.9959976691,9.8484
Glu_2,4.792085307,9.7586
Glu_3,5.000263734,9.8756
Fru_1,17.6763149126,10.2999
Fru_2,13.1469314777,10.011
Fru_3,12.0665882513,9.5894
Mal_1,-0.9489327066000001,9.1639
Mal_2,-1.2320330475,9.4024
Mal_3,-0.4268098631,9.7018
G+S_2,0.23140799110000002,9.3748
G+S_3,0.2584901033,9.7993
Pyr_1,-2.5266934971,9.0806
Pyr_2,-1.2596586514,9.5506
Pyr_3,-2.1610235252,9.415
Gly_1,1.0596988849,8.9427
Gly_2,2.2113717711,9.5579
Gly_3,0.4305184811,8.7262
Glucon_1,-2.0037373019,9.056
Glucon_2,-1.7279650805,9.2438
Glucon_3,-2.1574919652,9.3228
aero_1,-7.3082939125,8.5715
aero_2,-6.3686744894,8.0516
aero_3,-6.5297171968,8.5509
nit_1,4.1775636111,8.9197
nit_2,6.1692014662,9.5342
nit_3,5.0502899984,9.0352
ferm_1,7.1721866615,9.2841
ferm_2,9.7156229498,9.0664
ferm_3,7.1568605222,9.3071
T-5.40H_1,2.9833550819,10.5505
T-4.40H_1,3.9296120838,10.1879
T-3.40H_1,4.3235003764,10.273
T-2.40H_1,4.2783812437,10.0245
T-1.40H_1,4.8681140219,9.823
T-1.10H_1,6.0319247668,9.9747
T-0.40H_1,2.8500468828,9.4911
T0.0H_1,3.8110623006,9.5436
T0.30H_1,8.3731241387,9.5928
T1.0H_1,2.8566642634,9.8363
T1.30H_1,1.6908872884,9.6142
T2.0H_1,0.3999478976,9.5233
T2.30H_1,0.5136688685,10.1262
T3.0H_1,0.16662279130000002,9.3888
T3.30H_1,-0.15389106700000002,9.6262
T4.0H_1,0.0684129492,9.5534
T5.0H_1,-1.6105859093000001,9.2053
HPh_1,4.3002388407,9.3382
HPh_2,4.8999128577,8.9587
HPh_3,5.9961546146,9.3078
LPh_1,5.6536487094,9.202
LPh_2,6.7074113801,9.707699999999999
LPh_3,7.1962170213,9.4974
LPhT_1,3.2598745332,9.1412
LPhT_2,3.5912567715,9.1269
LPhT_3,3.2302299316,9.3813
SMMPr_1,1.3788577455,9.2597
SMMPr_2,1.7086733483,9.3271
SMMPr_3,1.7821796074,9.3626
HiTm_1,-9.6077081084,10.181
HiTm_2,-8.6573676549,10.1741
HiTm_3,-10.2531891211,10.1875
LoTm_1,-3.7843735702,8.6393
LoTm_2,-3.1440241717,8.4282
LoTm_3,-3.9052288553,8.4017
HiOs_1,1.3991281488,10.7248
HiOs_2,0.5581259438,10.4098
HiOs_3,1.8349399391,10.6807
BMM_1,-1.0886577939,9.583
BMM_2,-1.0699002783,9.3826
BMM_3,-1.0768130222,9.3992
Heat_1,-7.9987562572,9.7364
Heat_2,-8.5057462325,9.3701
Heat_3,-7.9902242185,9.4795
Cold_1,-0.7150691226,7.952
Cold_2,-2.3283129838,7.781
Cold_3,-1.6388590311,7.7639
Etha_1,-3.0216555077,8.0315
Etha_2,-3.2119852185,8.1293
Etha_3,-3.0197167302,7.9978
SMM_1,-0.8046213203,9.3706
SMM_2,-1.3208285379,9.1997
SMM_3,-1.0755624753,9.2432
Salt_1,-3.7583018521,8.5634
Salt_2,-3.8875562953,8.3092
Salt_3,-3.6182367433,8.6638
Mt0_1,-4.634524798,8.0466
Mt0_3,-2.7030197926,8.567
M0t45_1,-2.572059911,8.4625
M0t45_2,-2.6781565848,8.0633
M0t45_3,0.5937563469,8.7886
M0t90_1,4.0486136786,8.4216
M0t90_2,7.0467932174,9.0655
M0t90_3,5.317458421,8.6664
M40t45_1,-2.2015011124,8.3126
M40t45_2,6.6756784948,8.0957
M40t45_3,1.1257998555,8.8066
M40t90_1,4.3530449799,8.3086
M40t90_2,5.425298398,8.8697
M40t90_3,4.9626608181,8.8646
dia0_1,-5.6373013397000005,7.8557
dia0_2,-5.0290672576,8.1554
dia0_3,-5.732130882,8.2285
dia5_1,-4.3838807376,7.7967
dia5_2,-3.5126984243,8.0397
dia5_3,-2.7768089693,7.7234
dia15_1,-5.4435143138,8.1916
dia15_2,-4.6855954177,8.1227
dia15_3,-2.1017187228,7.8556
Diami_1,-5.2898125451,7.8098
Diami_2,-6.4862808034,7.7426
Diami_3,-5.4178161503,8.0629
Paraq_1,-6.3176976299,7.8722
Paraq_2,-8.356821954,7.938
Paraq_3,-5.5690015386,7.5382
H2O2_1,-8.4574382554,7.7617
H2O2_2,-9.3511446598,7.9005
H2O2_3,-8.492453138,7.8819
Oxctl_1,-5.9369147385000005,8.1614
Oxctl_2,-6.253678585,7.992
Oxctl_3,-8.3839714657,7.8767
GM-0.1_1,7.736717589,9.6525
GM-0.2_1,7.2150920821,9.6663
GM+5_1,6.6928214467,9.3272
GM+15_1,6.5337076971,9.8276
GM+25_1,4.5759596511,9.895199999999999
GM+45_1,3.1919727709,9.7653
GM+60_1,1.8459614197,9.6677
GM+90_1,1.8736374559,9.7482
GM+120_1,1.3429848281,9.3444
GM+150_1,0.7856561364,9.4326
GM-0.1_2,7.6357518471,10.0808
GM-0.2_2,6.9403988022,10.2286
GM+5_2,7.4238642297,9.5374
GM+10_2,7.4367945812,9.5433
GM+15_2,5.6912469382,9.4502
GM+25_2,4.491721644,9.4788
GM+45_2,2.3730140166,8.6549
GM+60_2,1.6171919748999999,8.9468
GM+90_2,0.21721885230000001,9.7839
GM+150_2,8.0016513212,9.5625
GM-0.1_3,5.3049114903,9.9275
GM-0.2_3,5.4910447475,9.6925
GM+5_3,4.002116326,9.7821
GM+10_3,3.1053308584,8.9549
GM+15_3,3.342897711,9.7819
GM+25_3,1.2394781858,9.5663
GM+45_3,-1.2559363993,9.5002
GM+60_3,-0.1864739685,9.1646
GM+90_3,0.2672376616,9.588799999999999
GM+120_3,-1.0539334377,9.6468
GM+150_3,-1.3883220441000002,9.4047
MG-0.1_1,0.8215808959,10.0441
MG+5_1,-1.5262911098,9.7523
MG+10_1,-3.9173770061,10.0924
MG+15_1,-3.8524107965,9.3575
MG+25_1,-4.883913777,9.715
MG+45_1,-3.076142435,9.626
MG+120_1,-2.6060356974000003,9.0797
MG+150_1,3.3141798866,9.6919
MG-0.1_2,0.6576200144000001,9.4369
MG-0.2_2,0.740434665,9.8839
MG+5_2,-1.5625759334,9.7422
MG+10_2,-3.0004484694,9.8537
