locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LevR,link
BSU_27060,0.28383068,levE,"fructose-specific [[category|SW 1.2.2|PTS]], EII component",Carbohydrate transport and metabolism,levD->sacC,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27060
BSU_27070,0.282351529,levD,"fructose-specific [[category|SW 1.2.2|PTS]], EIIA component",Carbohydrate transport and metabolism,levD->sacC,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27070
BSU_27040,0.264009276,levG,"fructose-specific fructose-specific [[category|SW 1.2.2|PTS]], EIID component",Carbohydrate transport and metabolism,levD->sacC,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27040
BSU_27050,0.262342688,levF,"fructose-specific [[category|SW 1.2.2|PTS]], EIIC component",Carbohydrate transport and metabolism,levD->sacC,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27050
new_2760077_2760232_c,0.256488588,S1019,intergenic region,No COG category,,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2760077_2760232_c
BSU_27030,0.222014703,sacC,levanase,Carbohydrate transport and metabolism,levD->sacC,"SigL,LevR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27030
