,ykgH
Cr_1,0.001071551067562698
Cr_2,-0.00656041536707163
Cr_3,-0.009830831823673893
Cr_4,-0.012117784818704631
Cr_5,-0.011309471188548229
Cr_6,-0.013814428675201385
Fe_1,-0.026646689840289176
Fe_2,-0.06244467119986322
Fe_3,-0.09098171971699494
Fe_4,-0.12421447233492545
Fe_5,-0.14427219940382285
Fe_6,-0.15521389832922594
Cd_1,0.002489458309162745
Cd_2,0.006085204717755854
Cd_3,0.009057817855977677
Cd_4,0.010253939957226359
Cd_5,0.009567436413408029
Cd_6,0.013563933171359996
Zn_1,0.018891180262186023
Zn_2,-0.02327020198039272
Zn_3,-0.032941367498695605
Zn_4,-0.029447083934525543
Zn_5,-0.009809743928849694
Zn_6,-0.00817586254025892
Cu_1,0.001964644151136602
Cu_2,0.005983391077134269
Cu_3,0.015235059685259978
Cu_4,0.01981849941704704
Cu_5,0.02316842636011963
Cu_6,0.031276922671267395
Pb_1,0.004953036438675873
Pb_2,0.01258843050255388
Pb_3,0.015496863457409063
Pb_4,0.02621923280973471
Pb_5,0.043041049929699336
Pb_6,0.056934569253524886
