,-0.05875767647968379,-0.029378838239841897,-6.938893903907228e-18,0.029378838239841887,0.058757676479683774,0.08813651471952567,0.11751535295936756,0.14689419119920943,0.17627302943905132,0.20565186767889326,0.23503070591873515,0.26440954415857704,0.2937883823984189,0.3231672206382608,0.3525460588781027,0.3819248971179446,0.41130373535778647,0.44068257359762836,0.4700614118374703,0.4994402500773122
thresh,-0.04406825735976284,0.04406825735976284,2,,,,,,,,,,,,,,,,,
unreg,0,63,3970,45,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fur,1,8,85,13,6,2,2,0,1,2,3,0,1,2,1,0,0,0,0,0
unreg_genes,[],[],[],[],['cstA' 'yncE' 'efeO'],['efeB' 'ybiI'],[],[],['ybiX'],[],[],[],[],[],[],[],[],[],[],[]
Fur_genes,['fhuF'],['feoA' 'ndh' 'rcnB' 'exbB' 'rcnA' 'tonB' 'sodA' 'metH'],"['gltF' 'mntH' 'feoB' 'fecI' 'katG' 'glnD' 'fumB' 'sdhD' 'gltB' 'gspJ'
 'gspF' 'gltD' 'fumC' 'gspG' 'feoC' 'cyoA' 'zinT' 'ftnA' 'nac' 'flhD'
 'exbD' 'oppC' 'gspL' 'flhC' 'sdhB' 'ompF' 'gspM' 'ydfN' 'sdhA' 'cyoE'
 'cyoB' 'oppB' 'fnr' 'garL' 'gnd' 'soxR' 'ygaC' 'soxS' 'gpmA' 'nrdH'
 'sdhC' 'oppF' 'aspC' 'garR' 'nohA' 'pyrC' 'katE' 'hmp' 'zwf' 'oppD' 'fur'
 'sucC' 'garK' 'cyoC' 'sucD' 'oppA' 'metJ' 'yhhY' 'gspH' 'lpd' 'fecR'
 'sucB' 'cyoD' 'amtB' 'garP' 'gspD' 'gspE' 'gspK' 'gspO' 'glnK' 'purR'
 'fecD' 'rpoS' 'gdhA' 'grcA' 'sufA' 'fecC' 'ompW' 'nfeF' 'tfaQ' 'fecA'
 'sucA' 'yjjZ' 'sufB' 'fepD']","['fecE' 'mntP' 'fhuA' 'fecB' 'gspC' 'nrdI' 'sufC' 'sufD' 'fepB' 'sufE'
 'fhuC' 'fhuD' 'sufS']",['nrdE' 'fhuB' 'fepE' 'fepG' 'entS' 'entC'],['nrdF' 'fepC'],['fhuE' 'fes'],[],['entD'],['ybdZ' 'cirA'],['entF' 'fiu' 'fepA'],[],['entE'],['entH' 'entA'],['entB'],[],[],[],[],[]
