,ykgC
Cr_1,0.002035555477050859
Cr_2,0.00279414248859685
Cr_3,-0.002416521355993129
Cr_4,0.003312314027480806
Cr_5,0.007561162287698524
Cr_6,0.022799530590114143
Fe_1,-0.004543266039825636
Fe_2,-0.015754797473143938
Fe_3,-0.01881355226957388
Fe_4,-0.018874764957261727
Fe_5,-0.012124847949967816
Fe_6,-0.0014503589220076375
Cd_1,0.02267305066001508
Cd_2,0.04090250588107072
Cd_3,0.05839097958690043
Cd_4,0.06940274523403403
Cd_5,0.07187891746962276
Cd_6,0.08021000139262227
Zn_1,-0.008247342886422895
Zn_2,-0.008361898783106916
Zn_3,-0.011646582985131965
Zn_4,-0.01056730684266038
Zn_5,-0.013007555423073622
Zn_6,-0.013305127928052796
Cu_1,0.0007182374205187501
Cu_2,0.0032272088457407488
Cu_3,0.0037638702493920967
Cu_4,0.010017316386748892
Cu_5,0.016962639316180788
Cu_6,0.02795897729121592
Pb_1,0.0006447639793878965
Pb_2,0.002476571022232453
Pb_3,0.008557422225167827
Pb_4,0.009038202469882609
Pb_5,0.01083254050363567
Pb_6,0.01420261213041789
