,katG
Cr_1,-0.008559054877314797
Cr_2,-0.01087853181594368
Cr_3,-0.008850271515557555
Cr_4,-0.002825871886288729
Cr_5,-0.004317358328500449
Cr_6,-0.004928153849226883
Fe_1,-0.02649520093924672
Fe_2,-0.05708233942283055
Fe_3,-0.09876759486768263
Fe_4,-0.1252780206583884
Fe_5,-0.1406545871079811
Fe_6,-0.14424633306597692
Cd_1,0.002752009218745442
Cd_2,0.008774432496621784
Cd_3,0.012961080776166908
Cd_4,0.014293226201443254
Cd_5,0.010151325226289216
Cd_6,0.014621950941443685
Zn_1,-0.00734980714241358
Zn_2,-0.04261081235484852
Zn_3,-0.042281106378140615
Zn_4,-0.028075263673736618
Zn_5,0.008553112607980352
Zn_6,0.0028242963653645685
Cu_1,0.004793226750258564
Cu_2,0.013055823833036244
Cu_3,0.021771421957536532
Cu_4,0.02756508963914168
Cu_5,0.0313201760576654
Cu_6,0.038562379335628165
Pb_1,0.004825193132431578
Pb_2,0.021219617602628055
Pb_3,0.03690377587601259
Pb_4,0.04197742672788219
Pb_5,0.05304845665567453
Pb_6,0.062414004914133826
