,torY
Cr_1,-0.002126480563332186
Cr_2,0.0008316056932035621
Cr_3,0.008082801430766626
Cr_4,0.01984334854795129
Cr_5,0.01898434212097595
Cr_6,0.025104532673151957
Fe_1,-0.010197799260535692
Fe_2,-0.0298478032371152
Fe_3,-0.045251435169689866
Fe_4,-0.06464833622686494
Fe_5,-0.06791129432314075
Fe_6,-0.0829244876629244
Cd_1,0.007033811600911085
Cd_2,0.017262121329349643
Cd_3,0.027093855322717863
Cd_4,0.02558749856260632
Cd_5,0.023917684854066024
Cd_6,0.03304457372798892
Zn_1,0.004469607563796103
Zn_2,0.02094648197518797
Zn_3,0.04778493908853003
Zn_4,0.0740919994728882
Zn_5,0.09493331703197208
Zn_6,0.0983076371143554
Cu_1,-0.0038374041096152093
Cu_2,-0.0015084942574577892
Cu_3,0.013996037828964641
Cu_4,0.02441712556820496
Cu_5,0.03288581312406245
Cu_6,0.03595013527171576
Pb_1,0.010632202316591123
Pb_2,0.021264175716020437
Pb_3,0.03097887559890923
Pb_4,0.036554315133931314
Pb_5,0.04155411797488528
Pb_6,0.04860193866157609
