,ybcW
Cr_1,0.00041925436720108923
Cr_2,0.002984048121589652
Cr_3,0.010027823212628474
Cr_4,0.02250798515957576
Cr_5,0.03624535844428097
Cr_6,0.04580886291484403
Fe_1,-0.01101725632845565
Fe_2,-0.03878474579209873
Fe_3,-0.07763132086675757
Fe_4,-0.13115753164844568
Fe_5,-0.17289122466450166
Fe_6,-0.20757634780057949
Cd_1,0.0018757044701717296
Cd_2,0.00673752059874574
Cd_3,0.01371378425157747
Cd_4,0.018718189427752028
Cd_5,0.019776540859902426
Cd_6,0.0281506488694234
Zn_1,-0.0038528411197851853
Zn_2,-0.0039788152009962606
Zn_3,0.006239656840481396
Zn_4,0.026808806258366416
Zn_5,0.04379838421081508
Zn_6,0.061329125489215125
Cu_1,-0.0010076303851159556
Cu_2,0.00045215040613885655
Cu_3,0.004895793085922803
Cu_4,0.006929833137969726
Cu_5,0.007516771616705321
Cu_6,0.011826539847262566
Pb_1,0.0012441843984190993
Pb_2,0.003472542975792055
Pb_3,0.008990963616079685
Pb_4,0.013282480674600826
Pb_5,0.021457825115989357
Pb_6,0.03793947491097103
