,-0.14136777631730338,-0.10995271491345818,-0.07853765350961298,-0.047122592105767774,-0.015707530701922573,0.01570753070192263,0.04712259210576783,0.07853765350961303,0.10995271491345823,0.14136777631730343,0.17278283772114864,0.20419789912499384,0.23561296052883904,0.26702802193268427,0.29844308333652947,0.32985814474037467,0.36127320614421987,0.3926882675480651,0.4241033289519103,0.4555183903557555
thresh,-0.15707530701922598,0.15707530701922598,8,,,,,,,,,,,,,,,,,
unreg,0,0,0,17,2000,1780,21,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,0,55,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,0,5,97,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and Fnr,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and NarL,0,0,0,1,48,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoN, Fnr, and NarL",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NikR, RpoN, Fnr, and NarL",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],[],[],[],"['pspD' 'aslB' 'rtcR' 'flhD' 'patA' 'pspE' 'zraP' 'glnL' 'hisM' 'rtcA'
 'potH' 'yeaG' 'rutE' 'hisP' 'gltK' 'flhC' 'rtcB' 'atoB' 'potG' 'zraS'
 'gltL' 'rhaD' 'prpD' 'hisJ' 'gltJ' 'ssnA' 'rutF' 'hycH' 'rutB' 'radD'
 'yhjC' 'astA' 'ntrC' 'gltI' 'pspC' 'potI' 'atoD' 'glnA' 'prpE' 'chaC'
 'astC' 'rpoH' 'pspB' 'argT' 'yahE' 'rutA' 'gnsA' 'relA' 'potF' 'rutC'
 'hycI' 'pspA' 'yaaU' 'yeaH' 'ygfK']","['rseC' 'prpC' 'actP' 'zraR' 'hisQ' 'hycG' 'astE' 'yhdW' 'atoE' 'astB'
 'ddpB' 'rutD' 'htpG' 'yhdX' 'yhdZ' 'rseB' 'ddpD' 'hycB' 'astD' 'atoA'
 'rpoE' 'hydN' 'yhdY' 'prpB' 'rutG' 'ibpB' 'glnQ' 'ddpC' 'ddpA' 'ddpF'
 'rseA' 'hypA' 'xapB' 'hycA' 'hycF' 'pspG' 'rseD' 'acrD' 'hypF' 'dcuD'
 'hycC' 'glnH' 'hycE' 'glnP' 'emrD' 'ddpX' 'hycD']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
