,A,NikR,Fnr,NarL,RpoN
R2,,0.0482264565274112,0.02006364940997163,0.013765553346480996,0.0036725198463202213
xmin,,-3.2514474250000003,-9.786193262000001,-3.3278448574369563,-2.3873792415000006
xmid,,0.4191548610399631,,0.4874485774271097,-0.8487885411796264
xmax,,2.541323145,2.044364117999999,1.2829432884999994,1.3623595312507586
ystart,,3.232548508660942,5.9498316093612855,3.3667414382492193,3.0707173902994507
yend,,10.751445074271514,2.612952863981536,6.959575463509671,4.235789334865022
control__wt_glc__1,0.1546867193702674,0.2304926570000001,-0.0526320000000009,0.0046058085000000295,-0.0046102245000003705
control__wt_glc__2,-0.1546867193703003,-0.2304926570000001,0.05263199999999912,-0.0046058085000000295,0.004610224499998594
fur__wt_dpd__1,2.0904020545396538,0.6285456069999995,-0.2233275490000004,0.7958407655000004,0.7030172054999984
fur__wt_dpd__2,2.3129547843374083,0.25497680699999936,-0.20726320800000053,0.7809120795000002,0.8161369584999996
fur__wt_fe__1,-0.0619133815250511,-0.146359393,-0.559124369000001,0.08602043750000021,-0.09844324150000183
fur__wt_fe__2,0.015742148323004,-0.09143501700000024,-0.5180337210000019,0.1956717155000005,-0.014624519500001654
fur__delfur_dpd__1,1.9841265712045264,0.17321444799999952,-0.35869387400000186,0.6368233544999997,0.5910067834999992
fur__delfur_dpd__2,2.02945224050451,0.260573967,-0.3499676950000019,0.6053562415,0.7714851734999986
fur__delfur_fe2__1,0.5067378893550655,0.42428156099999903,-0.2728296990000008,0.2292959385,0.15829583549999882
fur__delfur_fe2__2,0.5993859851087766,0.2534373490000004,-0.2654058500000005,0.31020635650000017,0.09519432949999818
acid__wt_ph5__1,0.2450145839085444,0.18158359499999926,-0.5248469310000008,0.7226422634999999,0.15184900549999902
acid__wt_ph5__2,0.1206415091979593,0.4332575359999993,-0.5394919760000008,0.6039874684999997,0.2254091014999986
acid__delgadx_ph5__2,1.3185598260650946,0.2312070249999989,-0.4808098230000013,0.7064404204999999,0.21891853049999987
acid__delgadw_ph5__1,-0.1203346615383452,0.30008959300000004,-0.5694477410000012,0.6671839154999999,0.18450770449999965
acid__delgadw_ph5__2,0.5640890831783762,0.21146766099999947,-0.5457824470000006,0.6889960855000004,0.14576261749999908
acid__delgade_ph5__1,0.2920200249117251,0.05775541399999984,-0.4965959550000018,0.4548568884999993,0.1606162704999985
