,A,TreR
R2,,0.09265500269693405
xmin,,5.1185962701
xmid,,
xmax,,9.3976820247
ystart,,-3.449496876769091
yend,,0.6259443400012277
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,0.343055408,8.9308447764
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.10868081,8.5518891111
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-1.212603179,8.4303606068
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-1.7737119520000002,8.3646975838
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-1.608852626,8.3495359522
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,1.167407094,8.924822498
USA300_LAC_U01-Set001_CAMHB_Control_2,0.10868081,8.5982226993
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-1.042176604,8.4696386407
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-1.279903158,8.4720096466
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-0.769599798,8.4840121606
USA300_TCH1516_U01-Set000_CAMHB_Control_1,1.954710134,6.9334159865
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.303038934,6.6287323264
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,0.12527823600000002,6.7316532951
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-1.153177083,5.780470152
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-2.027933435,6.1212377169
USA300_LAC_U01-Set001_R10LB_Control_1,-0.48203715700000005,5.6144139057
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-1.251170629,5.6697878501
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-1.229697226,5.9114466512
USA300_LAC_U01-Set001_R10LB_Control_2,-0.976363979,5.78344619
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-1.241448731,5.5319404144
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-1.796006479,6.0343417195
USA300_TCH1516_U01-Set000_R10LB_Control_1,-1.080282286,5.7009937113
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-2.985177247,5.6929489701
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-3.229220511,5.7926239908
USA300_TCH1516_U01-Set000_R10LB_Control_2,-1.36380959,5.6361421008
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-2.922303432,5.5264215004
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-3.903889093,5.5447671441
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,0.513557052,8.8359663253
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,1.308353119,8.8832622631
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-1.954710134,6.5160408209
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,1.041669891,6.5286116
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.33727824900000003,6.5750170436
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,2.930755198,8.2284843279
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,1.946743534,7.7659616681
USA300_LAC_U01-Set004_CAMHB_Control_1,1.715480544,8.7637133572
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,1.469769276,9.2090550979
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,0.9656103690000001,9.2122132701
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,0.728684938,7.9437978253
USA300_LAC_U01-Set004_CAMHB_Control_2,2.335701956,8.6323207474
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,1.148564314,8.856420363
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,1.351525747,9.1275880954
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-0.122583012,7.7101531082
USA300_LAC_U01-Set004_R10LB_Control_1,0.49204798,5.3122348726
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,1.295896411,5.6273418051
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,1.620867626,5.8937271058
USA300_LAC_U01-Set004_R10LB_Control_2,1.243137212,5.6185957496
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,1.499936263,5.7929929157
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,1.316516811,5.9492253122
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-10.04717744,5.8453336015
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-12.83105922,5.6194417123000004
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-5.830839215,6.7909164876
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,2.3036309470000003,7.4735498669
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-11.92949886,5.8393443352
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-11.73803425,5.8630144954
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-4.131557798,7.1938714265
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,1.691748382,8.133294073
USA300_LAC_ICA-Set001_R10LB_Control_1,-0.569124348,5.1185962701
USA300_LAC_ICA-Set001_R10LB_Control_2,-0.015231859,5.4868864385
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-0.698745642,5.1194090173
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-0.938979561,5.6153394516
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-0.037605283,5.8196840691
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,0.067663862,5.965041425
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,0.937031385,5.5860528628
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,0.503654395,5.4464721314
USA300_TCH1516_BK-Set001_THB_Control_1,4.643003992,6.8789762222
USA300_TCH1516_BK-Set001_THB_Control_2,-5.05576364,6.3654922818
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-10.11035467,6.1315505829
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-9.324444763,5.9469989797
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-2.367408491,6.3322410246
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-3.943252555,6.3383376087
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,8.879269311,7.5465479725
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,3.333901104,6.713038535
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-0.223595643,9.3039312116
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-0.848002871,9.2749333722
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,1.194882563,6.5905358972
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,2.282135343,6.5299815588
USA300_LAC_ICA-Set002_CAMHB_Control_1,0.8386303060000001,8.942278925
USA300_LAC_ICA-Set002_CAMHB_Control_2,1.126951792,8.881164062
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,0.11268174600000001,6.0926919082
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-0.33658654600000004,6.0815527939
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,-0.719998702,6.8241388446
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,-0.655708014,6.6932192556
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-0.016217106000000002,9.3382839926
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,0.66798106,9.3976820247
USA300_SNFM1_ICA-Set002_R10LB_Control_1,0.039278478000000006,6.3668801843
USA300_SNFM1_ICA-Set002_R10LB_Control_2,1.096343431,6.5489765169
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-0.730256511,9.2714568658
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,-1.675983922,9.2848374788
USA300_SNFR19_ICA-Set002_R10LB_Control_1,-0.036420892,6.6802438675
USA300_SNFR19_ICA-Set002_R10LB_Control_2,0.13195035800000002,6.7442059822000004
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-1.044714541,9.1549951178
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,1.044714541,8.8862786217
USA300_TCH1516_ICA-Set002_R10LB_Control_1,-4.869295751,6.3154859291
USA300_TCH1516_ICA-Set002_R10LB_Control_2,-2.507758298,6.166915696
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,-3.000761772,7.0220124441
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-1.663651199,8.9942900664
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-1.912309078,6.8769597863000005
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-1.834298023,8.8335032691
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-9.622281097,6.3226897112
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-7.269495018,6.3879287309
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-8.59041479,6.5388481537
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-8.81260929,6.4331547503
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-5.209254242,8.8571092042
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-6.181323431,8.007494313
USA300_TCH1516_ICA-Set003_Control_1,-7.350371834,7.0868365054
USA300_TCH1516_ICA-Set003_Control_2,-7.937444112,6.9656157856
USA300_TCH1516_ICA-Set003_StationaryPhase_1,-14.14302379,5.4515149827
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-13.32179603,5.3033628709
