locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TreR,link
USA300HOU_RS02390,0.15506281700000002,treP,PTS ascorbate transporter subunit IIA,Carbohydrate transport and metabolism,"treP,treC","TreR,CcpA",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002190000
USA300HOU_RS13765,0.136383095,glcB,PTS glucoside EIICBA component,Carbohydrate transport and metabolism,glcB,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006195000
USA300HOU_RS02395,0.10765928300000001,treC,glucohydrolase,Carbohydrate transport and metabolism,"treP,treC","TreR,CcpA",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002191000
USA300HOU_RS08940,-0.100744659,gapB,aldehyde dehydrogenase,Carbohydrate transport and metabolism,gapB,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004309000
