,-0.09596437886705453,-0.07677150309364363,-0.05757862732023272,-0.03838575154682182,-0.019192875773410917,-1.3877787807814457e-17,0.01919287577341089,0.038385751546821806,0.057578627320232695,0.07677150309364358,0.0959643788670545,0.11515725464046542,0.1343501304138763,0.1535430061872872,0.17273588196069814,0.19192875773410903,0.21112163350751992,0.2303145092809308,0.2495073850543417,0.26870026082775267
thresh,-0.047982189433527264,0.047982189433527264,2,,,,,,,,,,,,,,,,,
unreg,2,1,0,21,601,3132,340,31,6,3,1,0,0,0,0,0,0,0,0,0
CodY,0,3,4,3,14,71,25,14,26,6,10,3,1,2,3,2,0,0,0,0
unreg_genes,['nhaC' 'yppF'],['steT'],[],[],[],[],[],[],['gmuF' 'yfmB' 'yjnA' 'gmuG' 'pucG' 'yhzC'],['yjcL' 'pucF' 'ykwB'],['yocS'],[],[],[],[],[],[],[],[],[]
CodY_genes,[],['oppA' 'oppF' 'oppD'],['oppC' 'oppB' 'guaB' 'braB'],['nprE' 'ackA' 'guaC'],"['ansZ' 'fliE' 'fliF' 'tyrS' 'phrC' 'fliG' 'fliJ' 'fliH' 'flgB' 'flgE'
 'bacD' 'swrD' 'cheY' 'bacB']","['fliI' 'fliY' 'fliP' 'rocA' 'flgC' 'fliM' 'bacC' 'ylxF' 'ilvK' 'fliZ'
 'aprE' 'flgD' 'ilvA' 'fliK' 'trmFO' 'rapC' 'bacF' 'metQ' 'flhG' 'srfAD'
 'comS' 'clpQ' 'hag' 'fliL' 'srfAC' 'ypmP' 'srfAB' 'bacA' 'codV' 'flhF'
 'codY' 'thrC' 'flhB' 'thrB' 'cheA' 'clpY' 'citB' 'cheD' 'cheB' 'srfAA'
 'phrE' 'cheC' 'bkdR' 'yneN' 'kapB' 'hom' 'bacE' 'argF' 'flhA' 'bkdAB'
 'sigD' 'bkdAA' 'ilvB' 'metN' 'cheW' 'ilvC' 'ilvH' 'fliQ' 'bcd' 'metP'
 'buk' 'bkdB' 'carB' 'bacG' 'ptb' 'pksC' 'lpdV' 'ilvD' 'rocD' 'fliR'
 'swrB']","['argI' 'pksD' 'ureA' 'scoC' 'argC' 'rocE' 'phrA' 'ureC' 'hutG' 'leuB'
 'argJ' 'leuD' 'argB' 'comK' 'leuC' 'ybfJ' 'pksR' 'leuA' 'kinB' 'rapE'
 'mpr' 'carA' 'pksN' 'pksE' 'ureB']","['argD' 'hutI' 'rapA' 'hutM' 'acsA' 'hutU' 'gabP' 'hutH' 'thrD' 'pksM'
 'yxaM' 'pksL' 'pksI' 'pksJ']","['asnH' 'pksG' 'rocB' 'putP' 'ylmA' 'eepC' 'appF' 'pksH' 'hutP' 'acpK'
 'ispA' 'pksF' 'appD' 'appC' 'appB' 'vpr' 'putB' 'putC' 'aeeB' 'ykfD'
 'appAc' 'rocC' 'dppB' 'appAn' 'yxbD' 'ldcA']",['dppD' 'dppE' 'yxnB' 'yxbC' 'dppA' 'dppC'],['nupQ' 'nupP' 'nupN' 'yxbA' 'yhjC' 'yuiA' 'nupO' 'yhjB' 'yuiB' 'yxbB'],['ycgA' 'bcaP' 'spsC'],['amhX'],['ilvE' 'frlP'],['frlB' 'frlO' 'frlD'],['frlN' 'frlM'],[],[],[],[]
