,dinG
Cr_1,-0.004350630172498284
Cr_2,0.0008222470197473841
Cr_3,0.012850456913517123
Cr_4,0.026277200815793413
Cr_5,0.03954606712397754
Cr_6,0.053118449431061934
Fe_1,-0.011382277232495115
Fe_2,0.001583709881949859
Fe_3,0.02740280549985404
Fe_4,0.045831161655587135
Fe_5,0.046420028387604055
Fe_6,0.0373385418744192
Cd_1,-0.002156732120787834
Cd_2,-0.0010168936769075153
Cd_3,-0.0007075288355585407
Cd_4,0.001207641935884734
Cd_5,-0.004103135571359264
Cd_6,-0.0025914842920201357
Zn_1,0.0009717369904407546
Zn_2,0.03094268242752596
Zn_3,0.0648666755398858
Zn_4,0.08544614110753161
Zn_5,0.0998303287208769
Zn_6,0.1015561520186425
Cu_1,-0.0014966439575466875
Cu_2,0.003927621040659326
Cu_3,0.024892838215229772
Cu_4,0.04619249945626601
Cu_5,0.06680012122827643
Cu_6,0.07987698612140398
Pb_1,0.00731332792504968
Pb_2,0.01957594174571044
Pb_3,0.028619166816878167
Pb_4,0.040341575702908514
Pb_5,0.05285566061311663
Pb_6,0.07199727324372845
