,A,Fur
R2,,0.0013719983641228284
xmin,,-9.893921886
xmid,,
xmax,,2.690967164
ystart,,1.5655444103585503
yend,,-2.850930917563025
control__wt_glc__1,0.10711726740000001,-0.05856442
control__wt_glc__2,-0.10711726740000001,0.05856442
fur__wt_dpd__1,6.0458490407,-0.195719219
fur__wt_dpd__2,6.1081212551,-0.214364089
fur__wt_fe__1,-1.9054510237,-0.127927685
fur__wt_fe__2,-3.5649140321,-0.036050093000000005
fur__delfur_dpd__1,6.3759753438,-9.893921886
fur__delfur_dpd__2,5.9830410402,-9.018917863
fur__delfur_fe2__1,7.1928888863000005,-9.893921886
fur__delfur_fe2__2,7.1656487678,-9.893921886
acid__wt_ph5__1,-0.8342858929,-0.38185324400000004
acid__wt_ph5__2,-1.1754553529,-0.429145386
acid__delgadx_ph5__2,-2.0032512909,-0.37117846200000004
acid__delgadw_ph5__1,-9.2763845695,-0.452975416
acid__delgadw_ph5__2,-9.5168477173,-0.39381758800000005
acid__delgade_ph5__1,-1.3348047592,-0.353113338
acid__delgade_ph5__2,-1.4089954462,-0.38769100100000004
oxidative__wt_pq__1,4.7492289065,0.358912004
oxidative__wt_pq__2,5.1715400074,0.424605604
oxidative__deloxyr_pq__1,5.136566646,0.7270403440000001
oxidative__deloxyr_pq__2,5.3302708874,0.680972684
oxidative__delsoxr_pq__1,6.047977275,-0.46000364200000005
oxidative__delsoxr_pq__2,6.0841225832,-0.471555094
oxidative__delsoxs_pq__1,5.5941385073,-0.492841931
oxidative__delsoxs_pq__2,5.6139327512,-0.53716116
nac_ntrc__wt_csn__1,-0.5665737211,0.35313890400000003
nac_ntrc__wt_csn__2,-0.6486884430000001,0.217593104
nac_ntrc__wt_cytd__1,1.6402809738,0.346499224
nac_ntrc__wt_cytd__2,1.3988087342,0.345243954
nac_ntrc__wt_gln__1,-5.0520249819,-0.107863365
nac_ntrc__wt_gln__2,-6.0558911215,-0.193602928
nac_ntrc__bw_delnac_csn__1,0.4091403203,0.189864784
nac_ntrc__bw_delnac_csn__2,2.8915173267,0.311143514
nac_ntrc__bw_delnac_cytd__1,-0.2610372738,-0.02804138
nac_ntrc__bw_delnac_cytd__2,-0.47077251740000003,-0.165441159
nac_ntrc__bw_delnac_gln__1,1.5524850244000001,-0.358506798
nac_ntrc__bw_delnac_gln__2,1.6357110969000002,-0.237658523
nac_ntrc__bw_delnac_nh4__1,0.7676897413,-0.48028834600000003
nac_ntrc__bw_delnac_nh4__2,0.6549884047,-0.45890349
misc__wt_no_te__1,5.9125665025,-0.380946999
misc__wt_no_te__2,6.7546239296,-0.424414491
misc__bw_delcbl__1,3.5685599168,-0.46137134300000004
misc__bw_delcbl__2,3.6105751833,-0.424360053
misc__bw_delfabr__1,-0.163722467,-0.5693764170000001
misc__bw_delfabr__2,-0.5327829013000001,-0.613082707
misc__bw_delfadr__1,5.2121396306,-0.44849048700000005
misc__bw_delfadr__2,5.2907667764,-0.440752898
misc__nitr_031__1,1.4733057614,-0.50327982
omics__wt_glu__1,-8.5703330731,-0.630133567
omics__wt_glu__2,-8.3231151318,-0.588191276
omics__wt_gly__1,-2.4076103923,-0.904279075
omics__wt_gly__2,-2.6362945478,-0.918647058
omics__wt_thr__1,-9.4011369723,-0.50309914
omics__wt_thr__2,-9.5574083369,-0.609504574
omics__bw_ac__1,-1.1518831185,-0.059433047
omics__bw_ac__2,-0.7607934372,-0.031227748000000003
omics__bw_fum__1,-0.7783579035,-0.005709301
omics__bw_fum__2,-0.8599360066,0.06492178400000001
omics__bw_glc__1,0.403083864,-0.011917744000000001
omics__bw_glc__2,0.3287717618,0.042641122000000004
omics__bw_pyr__1,-0.10683400180000001,-0.189724267
omics__bw_pyr__2,-0.5286022086000001,-0.117464833
ompr__wt_nacl__1,3.5929921958,-0.400303825
ompr__wt_nacl__2,3.9009562432,-0.504065686
ompr__bw_delompr_nacl__1,0.6068266912,-0.632963179
ompr__bw_delompr_nacl__2,0.6677410094,-0.543296344
minspan__wt_ade__1,-8.8354457127,0.19507696400000002
minspan__wt_glc__2,-7.0080999392,-0.5062775780000001
minspan__wt_glc__3,-7.3230733042,-0.44786492600000005
minspan__wt_glc__4,-6.2643795734,-0.415952254
minspan__wt_glc_anaero__1,-20.5400278584,-0.8732856050000001
minspan__wt_glc_anaero__2,-20.7218004537,-1.157357443
minspan__wt_trp__1,-23.1021939325,-0.868235834
minspan__bw_delcra_glc__2,-19.0083906456,-0.918542673
minspan__bw_delcra_trp__1,-22.341959236,-1.00502228
minspan__bw_delmntr__1,-19.2895992449,-0.6837856210000001
minspan__bw_delnac_ade__1,-2.7953715368000003,-0.107717401
minspan__bw_delnac_glc__1,-14.8770298897,-0.467616242
cra_crp__wt_ac__1,1.7535843498,-0.418468514
cra_crp__wt_ac__2,1.9678262828,-0.483728046
cra_crp__wt_fru__1,-2.3006667744,-0.592770205
cra_crp__wt_fru__2,-2.1190350843,-0.568478295
cra_crp__delcra_ac__1,6.4786407291,-0.24041298600000002
cra_crp__delcra_ac__2,6.5615718669,-0.248563267
cra_crp__delcra_fru__1,6.1570163151,-0.480410486
