,nagB
Cr_1,0.003182272544220641
Cr_2,0.004192229436310675
Cr_3,0.0064813338231137115
Cr_4,0.005268361805773047
Cr_5,0.0007265696544581528
Cr_6,-0.0014513313637313226
Fe_1,-0.010577277945672928
Fe_2,-0.031886932471072243
Fe_3,-0.05433285054004325
Fe_4,-0.07893478382110647
Fe_5,-0.09317846006922216
Fe_6,-0.0980938121909472
Cd_1,-0.0009930005506523832
Cd_2,-0.0003118481691306967
Cd_3,0.0007954563619140287
Cd_4,0.0029514768303797226
Cd_5,-0.00047119399022790636
Cd_6,-0.001077561141838506
Zn_1,-0.002941524152779143
Zn_2,-0.010696847472303848
Zn_3,-0.015331669694713604
Zn_4,-0.013222104381411243
Zn_5,-0.015483939443615709
Zn_6,-0.023566019718870727
Cu_1,0.004712759969047419
Cu_2,0.00950737809246085
Cu_3,0.01795605595119119
Cu_4,0.025461193015763287
Cu_5,0.03214901020769398
Cu_6,0.04371672989340905
Pb_1,0.003558925850293446
Pb_2,-0.00034632934279870347
Pb_3,-0.008428132362662691
Pb_4,-0.015090064908750481
Pb_5,-0.017359848914600188
Pb_6,-0.015083286655977312
