,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.14667209085190683,3.0,0.0,0.0604504882,1.0,-0.1672362148,2.0,0.1067857266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.9720798230333334,0.6779874074044528,3.0,3.0,-1.3136678117,4.0,-1.4113310394,5.0,-0.191240618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-1.5054754579666667,0.17739056786708712,3.0,6.0,-1.6329432864,7.0,-1.5805989458,8.0,-1.3028841416999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.761899869130221e-12,0.1536199046039677,21.0,9.0,0.0551612493,10.0,-0.0979181618,11.0,-0.1233088083,12.0,-0.1315513082,13.0,-0.048474536000000006,14.0,0.015679563,15.0,-0.040894969100000005,16.0,-0.1483005862,17.0,-0.19004468870000002,18.0,-0.0738628394,19.0,-0.3739446028,20.0,-0.0284051333,21.0,0.1574892789,22.0,-0.062319650500000004,23.0,0.1000076037,24.0,0.104635457,25.0,0.18416336020000001,26.0,0.25261706300000003,27.0,0.1993546235,28.0,0.1214247737,29.0,0.1284923121
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-0.4051825638095239,0.19756533250093478,21.0,30.0,-0.21736858050000002,31.0,-0.7617001073,32.0,-0.7651603463000001,33.0,-0.32601266,34.0,-0.3418712841,35.0,-0.21950244600000002,36.0,-0.04824996,37.0,-0.33191772750000004,38.0,-0.3086932859,39.0,-0.4282325649,40.0,-0.27936210640000003,41.0,-0.7106126068,42.0,-0.4185469416,43.0,-0.4685285877,44.0,-0.505037631,45.0,-0.5134263135,46.0,-0.5974395942,47.0,-0.5546180146,48.0,-0.2790590249,49.0,-0.31699876,50.0,-0.11649529680000001
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-5.782411586589357e-19,0.02768544209157077,3.0,51.0,-0.0316807678,52.0,0.0195458417,53.0,0.0121349261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.710006819275,0.058932886787340634,4.0,54.0,-0.7761296054,55.0,-0.7080824313,56.0,-0.7225316729,57.0,-0.6332835675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.5000002068509275e-11,0.05793672642442942,4.0,58.0,-0.044068636800000005,59.0,0.0834756859,60.0,-0.005859750600000001,61.0,-0.033547298600000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.1175328947,0.11520962670084016,4.0,62.0,-0.1656329698,63.0,0.054991590800000004,64.0,-0.1791360103,65.0,-0.1803541895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.07406290932500001,0.016025367370188188,4.0,66.0,-0.0940859212,67.0,-0.0630956714,68.0,-0.059331288600000004,69.0,-0.0797387561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
