,-0.05173087722022972,-0.017243625740076575,0.017243625740076568,0.05173087722022972,0.08621812870038285,0.12070538018053599,0.15519263166068914,0.18967988314084228,0.2241671346209954,0.25865438610114855,0.2931416375813017,0.3276288890614548,0.362116140541608,0.39660339202176115,0.4310906435019143,0.46557789498206736,0.5000651464622206,0.5345523979423737,0.5690396494225268,0.60352690090268
thresh,-0.06897450296030629,0.06897450296030629,8,,,,,,,,,,,,,,,,,
unreg,1,2032,1736,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,57,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,91,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and Fnr,0,56,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and Fnr,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, RpoN, and Fnr",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NikR, NarL, RpoN, and Fnr",0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],"['torD' 'yeaR' 'hyaD' 'hybO' 'yoaG' 'hybE' 'hybF' 'ogt' 'ydeP' 'hybD'
 'hybC']",['hyaF' 'hyaA' 'hyaB' 'hybA' 'torC' 'hyaC' 'hybG' 'hybB' 'hyaE' 'torA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],"['aslB' 'potI' 'astC' 'potH' 'rutA' 'hycF' 'flhD' 'rutD' 'zraS' 'hisM'
 'prpD' 'yeaG' 'pspD' 'hisJ' 'ibpB' 'hisQ' 'astA' 'dcuD' 'glnL' 'gltJ'
 'relA' 'zraP' 'gltL' 'flhC' 'hycH' 'prpE' 'rutE' 'ddpD' 'gltK' 'hycC'
 'hycG' 'potF' 'yhjC' 'gltI' 'radD' 'hycD' 'yeaH' 'rseC' 'atoD' 'zraR'
 'ddpC' 'ddpA' 'ddpB' 'atoB' 'rutF' 'astB' 'rtcA' 'ddpF' 'potG' 'rseB'
 'patA' 'prpC' 'rtcB' 'rpoE' 'hisP' 'pspE' 'rseA']","['ntrC' 'rpoH' 'astE' 'hydN' 'ygfK' 'atoA' 'pspC' 'rtcR' 'yaaU' 'argT'
 'actP' 'yhdW' 'atoE' 'ssnA' 'glnA' 'htpG' 'glnP' 'hycI' 'acrD' 'pspB'
 'hycA' 'xapB' 'astD' 'chaC' 'glnQ' 'gnsA' 'hypA' 'yhdZ' 'yahE' 'rseD'
 'pspA' 'hycB' 'glnH' 'prpB' 'rutG' 'rutC' 'ddpX' 'pspG' 'rhaD' 'yhdX'
 'rutB' 'emrD' 'yhdY' 'hypF' 'hycE']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],"['acrE' 'glpA' 'yffS' 'fumC' 'gdhA' 'feoA' 'yecR' 'ccp' 'ysgA' 'cyoA'
 'sodA' 'tdcC' 'cyoC' 'cyoB' 'phoU' 'malP' 'hlyE' 'aer' 'gnd' 'acnA'
 'garL' 'sdhC' 'malQ' 'tpx' 'gadX' 'cyoD' 'cydA' 'tdcE' 'caiD' 'ssuA'
 'pykA' 'cheY' 'aroP' 'fumA' 'emrY' 'ssuE' 'fixB' 'thrA' 'fes' 'dppA'
 'moaA' 'trmD' 'cheZ' 'ydfZ' 'tdcG' 'hemA' 'garR' 'ychO' 'cyoE' 'yfcZ'
 'hmp' 'garK' 'narX' 'bcsB' 'katG' 'dcuC' 'scpC' 'ortT' 'pstB' 'rplC'
 'prfA' 'bcsZ' 'rpsJ' 'ybdN' 'rplW' 'grcA' 'cydB' 'cadC' 'sdhA' 'rplS'
 'sdhB' 'rpsI' 'glpC' 'viaA' 'ssuB' 'glpB' 'prmC' 'mltA' 'ssuD' 'aspC'
 'ndh' 'caiT' 'rpsP' 'tdcA' 'rplD' 'rimM' 'gapC' 'pstC' 'glpT' 'puuA'
 'tdcF']","['gadA' 'gcvH' 'fnr' 'acrF' 'rpsS' 'dppC' 'yibN' 'scpA' 'ackA' 'dppF'
 'rplT' 'garP' 'dppB' 'rplB' 'uxaC' 'feoB' 'cheB' 'ydfO' 'ravA' 'emrK'
 'argK' 'gcvT' 'soxR' 'rplV' 'uxaA' 'rplP' 'sucA' 'nrdD' 'moaC' 'ydeJ'
 'rpmC' 'caiE' 'purN' 'purM' 'uraA' 'fixC' 'ung' 'narL' 'iraD' 'aldA'
 'upp' 'sdhD' 'zwf' 'rpsQ' 'gltF' 'rplM' 'ompX' 'tap' 'caiC' 'fepE' 'pepT'
 'pstA' 'tdcB' 'garD' 'dppD' 'msrB' 'feoC' 'gcvP' 'moaB' 'pitA' 'cheR'
 'glnD' 'yeiL' 'gadW' 'sucC' 'soxS' 'aceF' 'arcA' 'scpB' 'tdcD' 'rpsC'
 'gltB' 'ygbA' 'entF' 'pdeF' 'nfeR' 'ssuC' 'aceE' 'pstS' 'moaD' 'tar'
 'sucB' 'moaE' 'iraM' 'sucD' 'ycaC' 'ynfK' 'lpd' 'nrdG' 'caiB' 'caiA'
 'fixA' 'gltD' 'ybdZ' 'pdhR']",['ansB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL and Fnr_genes,[],"['ompW' 'napD' 'ccmG' 'narI' 'citD' 'dmsA' 'narG' 'ydhW' 'ubiC' 'hcr'
 'ccmC' 'ydhU' 'ydhT' 'citC' 'dmsD' 'nuoC' 'citE' 'nuoK' 'napC' 'dpiA'
 'citX' 'narK' 'adhE' 'nrfG' 'ccmD' 'nuoA' 'ccmA' 'ccmH' 'nuoL' 'ytfE'
 'nuoH' 'ccmB' 'ccmF' 'ynfH' 'nuoF' 'nuoG' 'nirB' 'fumB' 'frdB' 'nirD'
 'cydD' 'frdA' 'nrfC' 'dmsB' 'nuoM' 'nuoI' 'ydhX' 'dcuA' 'nuoB' 'aspA'
 'moeA' 'ubiA' 'nrfF' 'dcuS' 'ynfE' 'cydC']","['nuoN' 'dpiB' 'ynfG' 'napB' 'ydhY' 'nuoJ' 'moeB' 'nuoE' 'nrfB' 'nrfA'
 'poxB' 'napA' 'narJ' 'pflB' 'ydhV' 'dcuR' 'ccmE' 'napH' 'citF' 'dmsC'
 'nrfD' 'ynfF' 'focA' 'napG' 'frdC' 'frdD' 'cysG' 'dcuB' 'nrfE' 'hcp'
 'nirC' 'narH' 'caiF' 'citG' 'napF' 'fdnI' 'fdnH' 'fdnG']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN and Fnr_genes,[],"['hyfA' 'hyfE' 'focB' 'hyfG' 'glpQ' 'hyfJ' 'nac' 'ymjE' 'hyfI' 'xdhA'
 'puuP' 'hyfR' 'hyfC' 'hyfH' 'glnK' 'hyfF' 'hyfB' 'xdhC']",['xdhB' 'hyfD' 'hypC' 'hypB' 'hypE' 'amtB' 'hypD' 'fhlA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"NarL, RpoN, and Fnr_genes",[],['fdhF' 'norW'],['norV'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"NikR, NarL, RpoN, and Fnr_genes",[],[],[],[],['nikR'],[],[],[],[],[],[],['nikE'],['nikD'],['nikC' 'nikB'],['nikA'],[],[],[],[],[]
