,yjbI
Cr_1,0.004795474617074874
Cr_2,0.004717307276752087
Cr_3,0.0129915090380942
Cr_4,0.01721088701595786
Cr_5,0.02280915368464156
Cr_6,0.023381799387665287
Fe_1,-0.009835722328957814
Fe_2,-0.027973487848343772
Fe_3,-0.04590373270258565
Fe_4,-0.06166400206855348
Fe_5,-0.06671683585082147
Fe_6,-0.0706490770048997
Cd_1,-0.00032431506560232835
Cd_2,0.0008969717565695541
Cd_3,0.003913530172221479
Cd_4,0.010964068837712004
Cd_5,0.008412950278196772
Cd_6,0.009547665316429206
Zn_1,-0.0012698744243160314
Zn_2,-0.012888363295400223
Zn_3,-0.0313137668043325
Zn_4,-0.053122541273480005
Zn_5,-0.08953229200867248
Zn_6,-0.12664866408548692
Cu_1,-0.003141142775628234
Cu_2,-0.002165188573767765
Cu_3,0.002598552798510761
Cu_4,0.01096060659468942
Cu_5,0.020693122196043176
Cu_6,0.03530449646829513
Pb_1,0.005765757582741728
Pb_2,0.00861590454488117
Pb_3,0.015032085925070875
Pb_4,0.02024476799114872
Pb_5,0.024436197852431937
Pb_6,0.02636553202389231
