,focA
Cr_1,0.010515433070404643
Cr_2,0.027010018736881452
Cr_3,0.048102359837262715
Cr_4,0.06796617213280154
Cr_5,0.08626043683046357
Cr_6,0.10295490220634712
Fe_1,-0.0011958857602128792
Fe_2,-0.021433205134051274
Fe_3,-0.05618875168276887
Fe_4,-0.10152299465482867
Fe_5,-0.14171422722213742
Fe_6,-0.17659565264082228
Cd_1,0.010023187171393702
Cd_2,0.016886469114890366
Cd_3,0.018582888550496036
Cd_4,0.02273589667355396
Cd_5,0.025252195860175925
Cd_6,0.03308221173512452
Zn_1,-0.006307693308198277
Zn_2,-0.012610591154385785
Zn_3,-0.014251679932420169
Zn_4,-0.01346540145323498
Zn_5,-0.019139661265846042
Zn_6,-0.021446839286821468
Cu_1,0.0016712999872571573
Cu_2,0.0072084380038487765
Cu_3,0.01325855492862232
Cu_4,0.020077195802054717
Cu_5,0.027745997603194128
Cu_6,0.0375144481387165
Pb_1,0.005090016393742168
Pb_2,0.014601651885916597
Pb_3,0.023942532488778208
Pb_4,0.034393790925235763
Pb_5,0.042853228514791314
Pb_6,0.05191366210989705
