,-0.08510337422222222,-0.06382753066666666,-0.0425516871111111,-0.021275843555555535,2.7755575615628914e-17,0.02127584355555559,0.04255168711111115,0.06382753066666672,0.08510337422222228,0.10637921777777784,0.1276550613333334,0.14893090488888897,0.17020674844444453,0.1914825920000001,0.21275843555555565,0.23403427911111122,0.25531012266666675,0.2765859662222223,0.2978618097777779,0.31913765333333344
thresh,-0.095741296,0.095741296,2,,,,,,,,,,,,,,,,,
unreg,1,4,35,702,4153,642,25,2,1,1,0,0,0,1,0,1,0,0,0,0
AauR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['PA1336'],[],[],[],['ansB'],[],['ggt'],[],[],[],[]
AauR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PA1342'],['PA1339' 'PA1340'],['PA1341'],[],[],[]
