,mrp
Cr_1,-0.00015639936736556293
Cr_2,0.002694756144570725
Cr_3,0.0069950953314351465
Cr_4,0.007668682098489913
Cr_5,0.010588598385927976
Cr_6,0.010152255636304177
Fe_1,-0.0656843393416552
Fe_2,-0.18230417958890072
Fe_3,-0.20616595722322528
Fe_4,-0.2380202883348401
Fe_5,-0.2573440331875693
Fe_6,-0.2491914856256068
Cd_1,-0.0015514532339355911
Cd_2,-0.0024356008935855185
Cd_3,-0.0019113100528678
Cd_4,0.0008692645250881952
Cd_5,-0.0013574838874822837
Cd_6,0.001926932481459172
Zn_1,-0.0307196699815847
Zn_2,0.005893654876691202
Zn_3,0.10316168576856667
Zn_4,0.29868153637388106
Zn_5,0.3102573160802386
Zn_6,0.2494666380468044
Cu_1,0.001385804200369552
Cu_2,-0.0022002645322414124
Cu_3,-0.00664582972947818
Cu_4,-0.00853705455811069
Cu_5,-0.007562539387577869
Cu_6,-0.0004026446801460997
Pb_1,0.022203056235891704
Pb_2,0.1030590408404773
Pb_3,0.09521931388550443
Pb_4,0.03366701543854636
Pb_5,0.06258199773379437
Pb_6,0.09925163016018117
