,ybhD
Cr_1,0.004098981815972907
Cr_2,-0.01313216351713606
Cr_3,-0.004917528100491343
Cr_4,-0.01205475859892972
Cr_5,-0.016152841186471967
Cr_6,-0.02584953459135236
Fe_1,-0.05646871957248761
Fe_2,-0.11458041790422042
Fe_3,-0.14606612517939024
Fe_4,-0.18320034796629275
Fe_5,-0.19946259346968184
Fe_6,-0.2048220648005988
Cd_1,0.0074117400532276514
Cd_2,0.009820470047143108
Cd_3,0.013203602650591324
Cd_4,0.022208030817663097
Cd_5,0.018636571951917588
Cd_6,0.018063354308854227
Zn_1,-0.1367435721105296
Zn_2,-0.1823847481760788
Zn_3,-0.20031241939381694
Zn_4,-0.19184828385437566
Zn_5,-0.1829658248864183
Zn_6,-0.18919076210170024
Cu_1,0.002304124689487713
Cu_2,0.001996715636387802
Cu_3,0.00043766753454751073
Cu_4,0.0065726689597272
Cu_5,0.0027066159529282666
Cu_6,0.0010961251498196368
Pb_1,0.007090519779315167
Pb_2,-0.0050312511730988075
Pb_3,0.007418408227530602
Pb_4,0.017961839440285638
Pb_5,0.015520027231020004
Pb_6,0.021963183882445943
