,A,GutM,SrlR,Crp,hns
R2,,0.6783671974000627,0.5384604853008315,0.05995022512659709,0.02482803213381568
xmin,,-3.0330392435,-5.2517830100000005,-9.852476477,-1.9979766210000007
xmid,,-0.06948724736862527,0.3694049485473694,0.225051886040851,
xmax,,5.9659222965,3.874958549999999,1.6003325529999994,2.380163549999999
ystart,,0.3982675379245823,0.1562684273023638,0.7429750679537006,-0.991666650535669
yend,,26.57338288038364,19.637895985571433,5.983549412920962,3.7695732388518133
control__wt_glc__1,-0.0856080976652963,0.04251778750000002,0.009999968999999886,0.012478645999999928,0.11716060999999912
control__wt_glc__2,0.0856080976652844,-0.04251778750000002,-0.009999968999999886,-0.012478645999999928,-0.11716061000000087
fur__wt_dpd__1,-1.6987584109739218,-0.03943819150000039,0.13161071499999988,0.07757413100000042,-0.21220296000000086
fur__wt_dpd__2,-2.168335603194013,0.5418170464999998,0.07407350199999918,-0.0906821709999992,-0.15081341000000134
fur__wt_fe__1,0.255655792204067,-0.3308035605000001,-0.25788856200000065,-0.030513672999999738,-0.56740864
fur__wt_fe__2,0.5282457546409401,-0.2957650055000003,0.0365833689999997,0.0581907200000007,-0.5750199200000008
fur__delfur_dpd__1,-2.147964968240513,0.044346433499999886,-0.3308394200000002,-0.10598198399999957,0.02821881999999931
fur__delfur_dpd__2,-2.9451080677391297,-0.08235032850000001,-0.04687623700000021,-0.22346684100000047,0.13773748999999924
fur__delfur_fe2__1,0.1317918313626789,0.21315402649999984,0.10605835699999933,0.4364299129999996,-0.3889403100000006
fur__delfur_fe2__2,0.1148965394801888,-0.3659235015000002,-0.06042081100000107,0.36756339300000107,-0.41893693000000104
acid__wt_ph5__1,-0.4715735237545138,0.2177188444999998,0.010986259999999248,0.3455225730000002,-0.14121664000000145
acid__wt_ph5__2,-0.2585819579002576,-0.4519271265000002,0.04505495100000001,0.34313646300000045,-0.1173053700000004
acid__delgadx_ph5__2,-0.7467692588059913,-0.6857601135000002,0.08098298399999937,0.3393877130000007,0.03221591999999873
acid__delgadw_ph5__1,0.5017731922837598,-0.10617458650000032,0.1628532639999989,0.3838637929999997,-0.05329887999999983
acid__delgadw_ph5__2,0.7014474920897809,-0.8245732204999999,0.12081378700000035,0.3398617829999999,-0.07889036000000083
acid__delgade_ph5__1,-0.4606967692335234,-0.07082151050000007,0.04840256799999931,0.432408723,-0.15523974000000074
acid__delgade_ph5__2,-0.6690431381097877,-0.14606273550000015,0.13518692299999913,0.4824361929999999,-0.13083347999999972
oxidative__wt_pq__1,0.6519809729910051,1.0258727345,-0.01305487600000088,0.17662370300000066,0.4866831099999995
oxidative__wt_pq__2,1.1831200962153066,0.6433079134999997,0.122024841,0.24038529300000103,0.3823035299999997
oxidative__deloxyr_pq__1,-0.5742427548435363,0.4434385325000001,0.3010162169999999,0.5131550130000004,0.5592633899999999
oxidative__deloxyr_pq__2,-0.4469506534458889,0.6494603624999997,0.3650379739999989,0.5363373029999998,0.6406210599999991
oxidative__delsoxr_pq__1,-0.4843828719551176,0.20077803750000006,0.08171511299999956,0.3346725330000009,0.30159601999999985
oxidative__delsoxr_pq__2,-1.0171938843516428,0.08262328050000001,0.1442243449999996,0.3870598730000001,0.248399899999999
oxidative__delsoxs_pq__1,-0.0914552792885653,0.9920291734999998,0.3445925739999991,0.5134629630000003,0.32007260999999865
oxidative__delsoxs_pq__2,-0.5422768676096428,0.7456489915000001,0.2181907179999989,0.5104807529999995,0.3146657899999994
nac_ntrc__wt_csn__1,-2.6293963185371148,-0.1817319245000002,-0.11761608000000034,-0.0727968299999997,-0.14105018000000058
nac_ntrc__wt_csn__2,-1.8781268027494635,0.2523302254999997,-0.2186515240000002,-0.09324395099999984,-0.20188571999999996
nac_ntrc__wt_cytd__1,-0.8017448980521596,-0.17329270249999995,0.020107313999999654,-0.043119613,0.01979153999999994
nac_ntrc__wt_cytd__2,-1.178940284729736,-0.5427592065000004,0.007058196999999211,-0.07348926000000056,0.16168657999999958
nac_ntrc__wt_gln__1,-2.6970103197327053,0.45134061649999996,0.2352133389999995,0.16383650300000066,0.3798369399999988
nac_ntrc__wt_gln__2,-1.6388461915187431,0.4875879335,-0.10204456600000088,0.11651884599999995,0.4188996199999995
nac_ntrc__bw_delnac_csn__1,-1.2089038159404164,0.4817520975000002,-0.3990356500000001,0.16921202300000004,-0.7250022100000013
nac_ntrc__bw_delnac_csn__2,-1.176490804941066,0.3007853675000001,-0.6240289830000005,0.03216219000000109,-1.0669142899999997
nac_ntrc__bw_delnac_cytd__1,-0.983996287337006,-0.15039695350000004,-0.11843253199999992,0.2936758630000007,-0.14804482000000085
nac_ntrc__bw_delnac_cytd__2,-0.9595806929429264,-0.4543952545000001,-0.008491270000000384,0.2286386530000009,-0.2630813500000002
nac_ntrc__bw_delnac_gln__1,-2.923788538217994,-0.2418053985000004,0.09149005799999976,0.5051051429999998,0.03699666999999885
nac_ntrc__bw_delnac_gln__2,-1.5469509570861255,0.6608584024999997,0.18153351499999992,0.563775123000001,0.1266707699999987
nac_ntrc__bw_delnac_nh4__1,0.8951413931289482,-0.8453227735000004,0.08315348999999994,0.3391651030000009,-0.2424922700000014
nac_ntrc__bw_delnac_nh4__2,0.8213869630256759,-0.5611382865000003,0.002493580999999523,0.3602350630000011,-0.2669652300000003
misc__wt_no_te__1,0.549521955589163,0.7281367824999996,-0.17120872400000042,0.3221691629999999,0.18538133999999928
misc__wt_no_te__2,0.2884556613448851,-0.4446271005,-0.04557590400000056,0.3159875930000009,0.04769500999999998
misc__bw_delcbl__1,1.058408184628332,0.14566947949999998,0.07618796099999957,0.30577407300000026,-0.2500818599999999
misc__bw_delcbl__2,0.7462843621033798,-0.0652159255,0.19574860399999935,0.3225694130000001,-0.2246719300000013
misc__bw_delfabr__1,1.7399929274547086,-0.1680711035,-0.1753310000000008,0.1944652930000004,-0.4287578700000001
misc__bw_delfabr__2,1.42939809539537,-0.24323137550000015,0.05268177299999977,0.13385438500000113,-0.4429400300000008
misc__bw_delfadr__1,0.1418124910047392,-0.22893718350000025,0.01308782899999894,0.325118883,-0.24506315
misc__bw_delfadr__2,-0.6596105973226336,-0.040222415500000164,-0.16343777500000026,0.3434663330000003,-0.18162453000000056
misc__nitr_031__1,-1.5370000955060097,-0.20723970050000015,0.1170813879999999,0.2155988630000003,0.07557949999999991
omics__wt_glu__1,1.071632388889599,1.6349662215,0.563631656000001,0.3481259330000004,-0.34721862000000137
omics__wt_glu__2,1.1569335282263025,1.2991740644999998,0.3975348989999992,0.31989882300000083,-0.1983287400000009
omics__wt_gly__1,0.3913071364030113,0.8179880574999996,-0.3447835480000005,0.3121818130000005,-0.8712711200000012
omics__wt_gly__2,0.7475330333643606,1.1335409375000003,-0.3138976290000004,0.3489800729999999,-0.8541786299999998
omics__wt_thr__1,4.0582426833025735,2.4246539855,2.013167865,0.8835606830000007,-0.4445151599999999
omics__wt_thr__2,3.7640423368988656,2.4346785775,1.9476105839999995,1.127551423,-0.5067728500000008
omics__bw_ac__1,0.9654834612193258,0.2279079294999997,0.6447792189999992,0.4643589929999994,0.07924672999999949
omics__bw_ac__2,0.3356959845503414,-0.5554734195000002,0.414821484,0.4618822229999999,0.14440284999999875
omics__bw_fum__1,1.6027950714586807,-0.27561281950000005,0.2854294819999996,0.446647853,0.5290582599999993
omics__bw_fum__2,1.5042652475778966,-0.7106755045000002,0.10630024999999944,0.4952586530000005,0.50611535
omics__bw_glc__1,-1.0051729305272052,-0.23790025749999974,-0.07950836300000041,0.31995135300000044,0.3401018799999989
omics__bw_glc__2,-0.97778177553931,0.11686951349999974,-0.13992451100000114,0.3609335930000004,0.3089811499999993
omics__bw_pyr__1,-1.0247089110628376,-0.4573096995000001,0.565499602,0.8061810030000007,0.4012276499999992
omics__bw_pyr__2,-0.8203607437387872,-0.08550222450000032,0.014074492999999856,0.7644674929999997,0.4222074099999986
ompr__wt_nacl__1,-1.823787016079156,-0.8218413885000002,-0.4786871630000009,-0.6865814769999989,0.2401362200000001
ompr__wt_nacl__2,-1.4301864719197883,-0.2437657895000003,-0.7513322230000004,-0.620927,0.09760655000000007
ompr__bw_delompr_nacl__1,-1.8284112387801363,-0.2487134795000001,-0.4647278200000002,-1.0462482019999992,-0.1648590900000002
ompr__bw_delompr_nacl__2,-0.6177565243029705,0.5972822774999997,-0.10179813300000083,-1.071490686999999,-0.15346479000000102
minspan__wt_ade__1,-0.5906023462694392,-0.4015492004999999,0.19248892499999928,-0.09169608400000052,0.3116969100000002
minspan__wt_glc__2,0.4016179167946438,0.5493320035,0.3893772749999993,-0.17147671399999884,-0.4047781000000015
minspan__wt_glc__3,-0.1137838593059702,-0.5644547405,0.2562121270000004,-0.2165117989999992,-0.4256495300000012
minspan__wt_glc__4,-0.5131468814145247,0.5507218945000001,0.25951478799999883,-0.23779414300000035,-0.471480230000001
minspan__wt_glc_anaero__1,-2.6677760236298824,-0.32457362550000024,0.586217907,0.09730802400000016,-0.0111642000000014
minspan__wt_glc_anaero__2,-2.8564795387926227,0.012768589499999816,0.8003840229999994,0.0007891440000005191,-0.3631015900000012
minspan__wt_trp__1,5.716691989828004,0.9821857514999994,1.9159862559999998,0.379309933,-0.7176507500000007
minspan__bw_delcra_glc__2,2.262563720623449,-0.07083322150000004,1.38516308,0.2077464830000011,-0.3468561300000008
minspan__bw_delcra_trp__1,3.842590779688283,0.4061817545,1.4139899949999997,0.245706203000001,-0.35391567000000107
minspan__bw_delmntr__1,4.085666836486667,0.4816352174999996,1.7555752609999995,0.3950805430000006,-0.9349273000000001
minspan__bw_delnac_ade__1,-4.238355795285117,-0.6296881894999999,-0.3241950500000001,0.005806081999999435,-0.6470931499999999
minspan__bw_delnac_glc__1,-1.915018645082575,-0.2103880315000004,-0.0826132330000009,0.19238992300000035,0.01202466999999885
cra_crp__wt_ac__1,3.24890777653583,1.6725628754999995,0.7716059319999999,0.7848307329999997,0.04067144999999961
cra_crp__wt_ac__2,3.29952900170706,1.6200604084999997,0.7179057210000009,0.774460393,-0.07536716999999983
cra_crp__wt_fru__1,3.7496330214716886,1.5427254264999997,0.353376269,0.3134937529999995,0.038598009999999405
cra_crp__wt_fru__2,3.343612472212649,1.3027742555,0.4295761009999994,0.3732440629999996,0.16989900999999996
cra_crp__delcra_ac__1,3.306366387777492,0.3674305834999996,0.21123718099999955,0.20535391299999967,-0.5463671000000012
cra_crp__delcra_ac__2,3.0228585427310866,0.2788990574999999,0.2869341229999991,0.15922527300000056,-0.6016438100000006
cra_crp__delcra_fru__1,-0.7617212431528315,-0.001741981500000378,-0.007771606000000375,0.12650519299999985,0.08214940999999952
cra_crp__delcra_fru__2,-0.3077968539794133,0.3347774044999996,0.3139897509999994,0.1631474930000003,0.05128609999999867
cra_crp__delcra_glc__1,0.2670023557620561,-0.5589312535000004,-0.14523511100000075,0.046791002000000866,-0.21585034000000114
cra_crp__delcra_glc__2,0.3716566599051797,0.08632025550000001,-0.1404822250000004,-0.014761103999999747,-0.17183222000000065
rpoB__wt_031__1,4.537671249219946,-0.09199910650000033,0.9064952860000012,0.271760703,-0.032658709999999765
rpoB__wt_044__1,-0.6065418566373766,-0.7875291315000004,0.005470031999999847,0.2048586730000004,-0.2832320199999998
rpoB__wt_lb__1,5.768180181297259,0.058789666499999615,0.5427764489999989,0.2472729529999995,0.3108347699999996
rpoB__wt_lb__2,6.350553993551114,0.2676284055,0.5908191239999994,0.2041545229999997,0.30948264999999964
rpoB__rpoBE546V_031__1,1.3358392721964991,-0.7792004545000002,0.30961123899999965,0.4571714629999999,0.180852419999999
rpoB__rpoBE546V_044__1,0.1719878766384976,-1.9205814985000005,0.03258828600000019,0.37625628299999997,0.08944963999999977
rpoB__rpoBE546V_lb__1,6.450735927450064,0.8477294494999996,0.7817073649999999,0.1174804819999995,0.1865911199999992
rpoB__rpoBE546V_lb__2,6.578630023762994,0.3490659364999997,0.6966283329999987,0.1254229630000001,0.17551240999999962
rpoB__rpoBE546V_glc__1,0.7602339087632675,0.1980045654999993,-0.01181093800000088,-0.004082425000000001,-0.37339942000000015
rpoB__rpoBE672K_glc__1,0.8066328693324087,-0.7808999765000002,-0.2550297610000003,-0.6662891799999997,-0.3009745300000013
rpoB__rpoBE672K_glc__2,0.484893034584087,-0.4907601075000003,-0.6053164760000005,-0.5708984560000001,-0.31629168000000085
rpoB__rpoBE672K_lb__1,4.336608774156652,-2.0775745655,-0.5569122610000008,-0.2288451829999989,-0.4581385100000013
rpoB__rpoBE672K_lb__2,4.0980076137171135,-1.8723499065,-0.4000944240000006,-0.18410035800000024,-0.42975629000000026
crp__wt_fru__1,2.7568245852484834,0.30871130350000003,0.04874225799999987,-0.13483747499999946,-0.03152985000000008
crp__wt_glyc__1,3.1566696965440766,-0.2746589975,-0.05583690000000008,-0.06971342199999953,-0.040884830000001315
crp__wt_glyc__2,2.7490188502491373,-0.5921157804999999,-0.0005385830000008697,0.000271048000000107,-0.034881650000000874
crp__delar1_glyc__1,3.0766865340447165,0.4461729114999997,1.0730184589999991,0.7684826630000003,0.3411874199999989
crp__delar1_glyc__2,2.3005784384994383,0.1952165244999997,1.3063504009999996,0.9809746629999996,0.31353833999999914
crp__delar1ar2_glyc__1,-0.8124146192417868,0.4536193604999999,-0.026577241000000917,0.2916550830000002,0.3196629499999997
crp__delar1ar2_glyc__2,-0.3981831136161303,0.18174228849999974,0.15856344799999889,0.2567226429999998,0.2700164899999997
crp__delar1ar2_glyc__3,-1.2889271502243544,0.016907702500000173,0.23422005099999946,0.37124749300000026,0.2978521399999998
crp__delar2_glyc__1,0.7250392309661134,-0.6056798845000002,0.5612132089999999,1.4298253029999994,0.693886169999999
crp__delar2_glyc__2,1.0599578170075128,0.08675298949999988,0.6227285749999991,1.3004454830000007,0.6681157599999992
crp__delar2_glyc__3,0.8735276817689585,0.4198656834999999,0.9436833729999988,1.2369035230000005,0.7580082499999996
crp__delcrp_fru__1,-2.027333201518336,0.19575635649999998,0.11458176199999935,-9.852476477,-0.15127237000000093
crp__delcrp_fru__2,-2.426758996250214,-0.010546728500000048,-0.024616413000000392,-9.107951936000001,-0.3201969200000008
crp__delcrp_fru__3,-2.059621464716435,0.16231713250000013,0.25373355799999864,-9.852476477,-0.1709768399999998
crp__delcrp_glc__1,-2.4259435409722507,0.3621028444999999,-0.09870953600000032,-9.025871704,-0.32083217000000097
crp__delcrp_glc__2,-2.049561371714393,0.4287773074999999,-0.3519380380000001,-9.566616581,-0.31347470000000044
crp__delcrp_glc__3,-2.47415433373453,-0.2541635705000003,-0.3209605530000008,-9.852476477,-0.2187686400000004
crp__delcrp_glyc__1,-1.7247368346141885,-0.15934996550000013,-0.4155788310000004,-9.852476477,0.029668420000000136
crp__delcrp_glyc__2,-0.9009972521096156,0.35108864149999963,-0.036071376000000654,-9.852476477,0.025375529999999813
crp__delcrp_glyc__3,-1.881447393134617,-0.28292200050000016,-0.20875971600000032,-9.852476477,0.04325832999999868
glu__glu_ale3__1,2.938122271212161,0.6935891824999998,1.6586874989999991,1.4385551630000002,1.36832476
glu__glu_ale4__1,3.044333701300135,0.10690415749999982,0.2816020289999992,0.1237046330000009,0.7732091399999987
glu__glu_ale5__1,3.540386177926393,-0.7090119335000002,0.1406969449999993,0.23737495299999975,-0.10871100000000132
glu__glu_ale6__1,2.1754244846974,-0.4128762745000003,-0.5434661570000001,-0.2669721739999993,0.6560654699999997
glu__glu_ale8__1,3.0500707619355585,0.7735297034999999,2.059734388999998,1.5517659029999995,1.9212684199999988
glu__glu_ale9__1,2.144443712273642,0.057127875499999974,1.2645624039999994,0.736260553000001,1.1268581799999993
glu__glu_ale10__1,1.0382641940263129,-0.0613302185000002,1.4997433629999994,1.2484999630000004,0.12353770999999902
42c__wt_42c__1,2.761391248511872,-0.3301756074999997,0.5418136559999995,-0.02289376299999901,-0.6767080200000013
42c__42c_ale1__1,7.773039197847725,1.4073673744999995,2.237862108999998,0.578078713,-0.6842368800000003
42c__42c_ale2__1,1.9204076180350744,0.07049661249999994,0.2276678999999993,-0.001157444000000396,-0.10393026000000027
42c__42c_ale3__1,-0.1711008031447796,0.4470069644999999,-0.1385187030000008,-0.16365086199999898,-0.3812468200000012
42c__42c_ale4__1,2.802104355504401,1.0273555565,1.1737282129999986,0.18829674300000046,0.011000229999998723
42c__42c_ale5__1,-0.3192413721757006,0.016980116499999642,0.01608572099999961,-0.2550904079999992,-0.12419577000000005
42c__42c_ale6__1,5.921830787908658,1.0959640175,1.5740890829999987,0.5847098129999999,-1.1300725700000012
42c__42c_ale8__1,1.1241420868744252,1.1753102954999992,1.8441563389999995,0.898060053,0.012841429999999932
42c__42c_ale9__1,1.7239003854910069,0.07405292049999934,0.4166153409999991,0.2344509129999999,1.1612874499999997
42c__42c_ale10__1,2.5408104229580943,1.0737096965000001,1.981412656,0.5824345429999997,0.21495587999999974
ssw__wt_ac__1,0.376953272627925,0.05665229649999981,0.2742496870000002,0.155824183,-0.40042136000000106
ssw__wt_glc__1,-2.052894290027551,0.1231946934999999,-0.1872798600000003,0.08995910700000033,0.25344145999999945
ssw__wt_glyc__1,3.070865199531445,0.4214022634999997,0.2800880749999992,0.2646295629999997,-0.6075529300000007
ssw__wt_xyl__1,1.0198405668935453,0.8031527934999998,-0.061034901000001085,0.6151089029999994,0.2818695399999989
ssw__glc_ale1__1,0.6566590110048538,-0.3916400085,0.4473703739999992,0.31199771300000023,0.2292362899999993
ssw__glc_ale2__1,-0.0317256681774012,-0.06045813150000035,1.2654166139999994,0.5353218630000001,0.33127165999999875
ssw__glc_ale3__1,1.7346066237724558,-0.41765059150000017,1.4088916599999992,0.4454840030000007,0.4004928999999997
ssw__glyc_ale1__1,0.4438910934416202,-0.022287059499999984,0.5701681220000001,0.2988789030000003,0.13415037999999946
ssw__glyc_ale2__1,2.6056518898914187,0.14844348649999972,1.2079499239999991,0.3021156230000006,0.25161889999999865
ssw__xyl_ale1__1,0.9640671082191276,1.1146552964999996,0.4519511939999994,-0.2147884219999998,-0.18116071000000036
ssw__xyl_ale2__1,-0.135104426743193,-0.3935965545000002,0.42858657499999975,0.026451148999999674,0.09598590999999956
ssw__xyl_ale3__1,1.419469744317589,0.5151435525000001,0.4776170879999988,-0.3138359289999997,0.12971207999999912
ssw__glc_ac_ac2__1,4.1667171937838186,0.6120238944999996,1.4659801039999991,0.5069351229999999,0.015256449999998978
ssw__glc_ac_glc1__1,-0.6190107574901001,0.05402300649999958,-0.7783692790000005,-0.42053636400000016,0.06730451999999865
ssw__glc_glyc_glc__1,0.5680112941307016,0.4378036095,0.752331582,0.565682133000001,0.13046632999999908
ssw__glc_glyc_glyc__1,0.9305358120153092,-0.7425926945000003,0.891759351000001,0.3070424930000009,0.17749526999999965
ssw__glc_xyl_glc__1,0.5737169771204919,-0.9737330925000004,1.0265356509999997,0.029020071999999782,-0.4713074500000012
ssw__glc_xyl_xyl__1,1.6026025641289563,-0.7763673805000004,-0.08986197400000062,-0.2438474470000003,-0.31135607000000043
ica__wt_glc__1,3.0252910696897284,-0.7690555935000001,0.11796347699999997,-0.02120516499999958,-0.08233707000000122
ica__wt_glc__2,2.551362902529937,-0.6640758685000003,-0.007610735000000091,-0.013075077999999962,-0.07183076000000099
ica__wt_glc__3,0.958871623523582,-1.4163893965000005,0.13727471799999869,0.0930502690000008,-0.019951300000000668
ica__wt_glc__4,0.6559282073228492,-1.0813504295000005,0.07493400499999936,0.399858493,0.21698170999999888
ica__arg_sbt__1,23.394008175148493,5.556650458500002,3.5135183970000003,0.17296083299999945,0.11541416000000028
ica__arg_sbt__2,23.294105918597115,5.572778094499999,3.413900111,0.4931735029999995,0.21647351000000012
ica__cytd_rib__1,10.660943688581028,0.9157640335,1.6768140579999988,0.5032386530000004,0.8105376599999996
ica__cytd_rib__2,10.324609993426895,0.8176364534999996,1.5689416869999997,0.4864851229999996,0.9543906999999994
ica__gth__1,-2.099714209763231,-0.23323857350000002,-0.4783091220000006,-0.3447319570000005,-1.2213092100000011
ica__gth__2,-1.4850485077201503,-0.8427697195000001,-0.5821857170000007,-0.5509396859999995,-1.3163212800000004
ica__leu_glcr__1,1.8673955124439583,-0.9082764345000004,0.19456251299999927,1.0260792930000004,0.5716676099999987
ica__leu_glcr__2,1.4127425825248654,-0.5820529135000001,0.1930070139999991,0.964590953,0.53828122
ica__met_glc__1,2.458247138780779,-1.9154207815,0.12646094299999874,-0.0020434050000002198,-0.04509509000000023
ica__met_glc__2,2.165579907226123,-1.2823809405000002,-0.08479511100000002,-0.06998528999999998,-0.11313505000000035
ica__no3_anaero__1,-0.7485861550433469,-0.0802433395000004,0.389002079,0.16601552300000044,0.05643902999999995
ica__no3_anaero__2,-0.8735550404766667,-0.1431910805000003,0.4402797009999997,0.1659366630000001,0.09295958999999954
ica__phe_acgam__1,2.126554291723409,-0.3627583735000002,-0.06188481000000045,0.08710832000000046,-0.29743363000000045
ica__phe_acgam__2,1.9477692845793604,-0.9177462705,-0.022418952000000655,0.07371453200000032,-0.3048972499999998
ica__thm_gal__1,4.91793411536027,0.006076961499999811,0.1837580919999997,0.41909228299999945,-0.17966607000000145
ica__thm_gal__2,5.266134339371444,0.3196207274999998,0.05788094799999933,0.4125785030000007,-0.27952053000000104
ica__tyr_glcn__1,0.0327793576229258,-1.0057950205,-0.09489090699999993,0.211699823,-0.052775800000000934
ica__tyr_glcn__2,0.4847213971498138,-1.0737806815000002,0.11337644099999974,0.2492893929999997,-0.016923240000000558
ica__ura_pyr__1,0.6627353773841571,-0.5726556145000004,0.36377309799999935,0.8236668229999999,0.34118300999999995
ica__ura_pyr__2,0.1821894751875423,-0.5986735405000001,0.4794123849999998,1.104333543000001,0.21316320999999935
ica__wt_glc__5,2.078580499290011,-0.5257675495000003,0.00892863999999971,0.3105034530000008,0.10117200999999908
ica__wt_glc__6,1.841043948753656,-0.6079702005000001,0.07610271699999949,0.3376528430000008,0.10903987000000016
ica__bw_delpurR_cytd__1,1.047992856320324,-1.2074306205000005,-0.020750963000000237,-0.14178576699999998,-0.2489077900000005
ica__bw_delpurR_cytd__2,0.0568224616737702,-1.0503438704999999,-0.2122946170000004,0.2554834630000009,0.2796028699999997
ica__ade_glc__1,0.1575220623780721,-1.2876621385000002,-0.26250625800000016,0.27079068299999953,0.22180329999999948
ica__ade_glc__2,0.9254578260681008,-1.1034070865000003,0.09610095099999948,-0.10748262699999957,-0.2393472800000005
ytf__wt_glc__1,1.2908226674445915,-0.6869943955000002,0.8324981249999999,0.34000217300000024,0.01989654999999857
ytf__wt_glc__2,1.6434844256897727,-0.08087463250000004,1.3609379529999988,0.487174103000001,0.09547225999999932
ytf__delyafC__1,5.139382432598925,0.8306051095,1.875728666,0.518280163,0.16531804999999974
ytf__delyafC__2,4.13467120567462,0.5139837945000001,1.856515011,0.558626223000001,0.22712903999999945
ytf__delyeiE__1,2.1745507377954705,0.09589814549999964,0.6376940370000002,0.4528218430000006,0.2868095799999999
ytf__delyeiE__2,2.1426441297258463,-1.1132368565,0.35632455799999896,0.3693801830000005,0.28896509999999864
ytf__delyiaJ__1,1.9270215860681967,0.2521971325000001,1.7850093739999997,0.4900788630000008,0.19941649999999989
ytf__delyiaJ__2,1.9910877146558232,0.21998821849999967,1.3483571679999988,0.4743345229999996,0.4284913799999988
ytf__delyieP__1,1.1638289538401465,0.1432890754999998,1.9463426719999999,0.8306116230000011,0.1938585899999996
ytf__delyieP__2,1.0384739246912582,0.06504957549999935,1.7965096139999996,0.7498248230000009,0.3012283299999989
ytf__wt_ph5__1,0.0264669800596361,-0.2428677375000001,0.4526491119999996,0.3985759630000008,-0.04215270999999987
ytf__wt_ph5__2,-0.1253085809037157,-0.2962868955000002,0.5601889689999995,0.4747397030000009,0.02936957000000007
ytf__wt_ph8__1,-1.1992352661439656,0.1370638275,0.20969504499999925,0.2756429229999995,0.025758629999998558
ytf__wt_ph8__2,-1.121104563164042,-1.8985047815,0.527883213,0.2681548629999995,0.03968197999999923
ytf__delybaO__1,5.351589693858077,0.5583042304999997,1.9748683139999992,0.5823761830000009,0.09406904999999988
ytf__delybaO__2,3.98533904098798,0.1862554765,2.099645024999999,0.6367440230000003,0.07805087999999928
ytf__delybaQ__1,0.5617875474908907,-0.05462637450000018,0.2295174589999993,0.3329404930000006,0.004060179999999747
ytf__delybaQ__2,0.6724769137944878,-0.051498424500000084,0.2830775449999994,0.3236855130000009,0.05017508999999976
ytf__delybiH__1,2.156536362534819,-0.5079177125000003,1.2040106579999987,0.6363319829999998,0.3766358399999987
ytf__delybiH__2,2.0623860245193404,0.0411485564999996,1.9748891819999992,0.5546718429999995,0.39817674000000025
ytf__delydcI_ph5__1,0.2450903748755766,-0.7796422295000003,0.3673297079999989,0.36809995299999976,-0.09853427000000003
ytf__delydcI_ph5__2,-0.4904200308944929,-1.3822389595000002,0.516452771,0.4226014830000011,-0.027439880000001082
