,-0.08175026295876683,-0.049050157775260096,-0.01635005259175336,0.016350052591753372,0.04905015777526012,0.08175026295876686,0.11445036814227358,0.14715047332578032,0.17985057850928707,0.2125506836927938,0.24525078887630056,0.27795089405980733,0.31065099924331396,0.3433511044268207,0.37605120961032745,0.4087513147938342,0.44145141997734094,0.4741515251608477,0.5068516303443544,0.5395517355278612
thresh,-0.0981003155505202,0.0981003155505202,5,,,,,,,,,,,,,,,,,
unreg,0,10,1898,1691,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,1,256,218,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS,0,0,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and H-NS,0,0,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crp, GutM, SrlR, and H-NS",0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],['rhaT'],"['galS' 'melB' 'sucA' 'dadA' 'malT' 'yiaK' 'tnaB' 'ycdZ' 'lsrA' 'feaR'
 'aceE' 'aceF' 'lpd' 'mtlR' 'bhsA' 'malS' 'malK' 'sgcX' 'gltF' 'glpQ'
 'ygcW' 'paaZ' 'rbsC' 'glpT' 'prpE' 'mlc' 'ppdD' 'serA' 'sucB' 'mtlD'
 'prpB' 'melA' 'chiP' 'crr' 'dadX' 'tam' 'deoA' 'rbsA' 'glgS' 'fucP'
 'mtlA' 'mhpD' 'rspB' 'idnT' 'pck' 'sgcC' 'glpX' 'gcvT' 'xylR' 'nfuA'
 'fixX' 'rbsD' 'sucC' 'ynfK' 'sdhB' 'grcA' 'psuK' 'nupG' 'mhpC' 'xylE'
 'crp' 'abgR' 'fucK' 'araJ' 'hofP' 'sgcR' 'glpE' 'dcuR' 'tsx' 'fis' 'exuT'
 'aceA' 'araE' 'fiu' 'chbC' 'sucD' 'nanT' 'rpsF' 'yiaO' 'aceB' 'glpC'
 'paaE' 'rspA' 'pdhR' 'fadL' 'fucA' 'preT' 'rpsR' 'mpl' 'dpiA' 'metK'
 'marA' 'fucU' 'hpt' 'fixC' 'priB' 'lyxK' 'proP' 'idnD' 'dgoD' 'nupC'
 'fadH' 'idnO' 'ldtB' 'araC' 'cspE' 'fucR' 'yiaL' 'zraS' 'paaG' 'lacI'
 'hyfF' 'yjhI' 'cirA' 'rhaS' 'cyoB' 'malI' 'chbB' 'glpA' 'guaB' 'nanK'
 'sgcQ' 'focA' 'puuR' 'prpD' 'rplM' 'rbsK' 'paaA' 'yaeP' 'pncB' 'paaF'
 'xylA' 'ortT' 'glnL' 'udp' 'dpiB' 'idnR' 'gntT' 'ygeA' 'dgoT' 'ntrC'
 'rpsI' 'rpoH' 'csqR' 'ascF' 'guaA' 'narQ' 'ychH' 'deoB' 'dgoK' 'xylB'
 'glgA' 'ulaD' 'hicA' 'fecD' 'xylH' 'glpF' 'malY' 'rplI' 'ygeW' 'glpR'
 'gcvH' 'idnK' 'dgoA' 'hicB' 'paaC' 'fecC' 'yahN' 'aldA' 'gntK' 'gcvP'
 'hyfB' 'sdhA' 'nadC' 'yhfA' 'ascB' 'dctA' 'ompA' 'comR' 'rseC' 'nanS'
 'sdhC' 'hofO' 'serC' 'psuG' 'fucO' 'ppiA' 'fadD' 'hofB' 'sgcE' 'xylG'
 'fumA' 'gltA' 'glpG' 'gltB' 'sdhD' 'prpC' 'gatY' 'nagA' 'manY' 'ampD'
 'entA' 'ubiG' 'umpH' 'glgP' 'plaR' 'deoC' 'glgC' 'ampE' 'pflB' 'mokB'
 'mdh' 'uxaB' 'mhpE' 'hupA' 'cpdB' 'hfq' 'manZ' 'sgbE' 'chbA' 'lsrD'
 'aroA' 'rpoS' 'ptsH' 'hflX' 'rbsB' 'yhgH' 'aceK' 'entD' 'yqeF' 'ebgC'
 'argG' 'hofN' 'tnaA' 'raiA' 'ompW' 'glnA' 'epd' 'fixA' 'nanM' 'dksA'
 'rof' 'aldB' 'hyfJ' 'chbF' 'yjhG' 'puuD' 'psiE' 'mhpA' 'rpsO' 'hflK'
 'marR' 'yhcH' 'exuR' 'rseB' 'pgk']","['manA' 'envZ' 'hofM' 'cytR' 'sgbH' 'sgcA' 'modB' 'hofC' 'araG' 'ugpA'
 'nagB' 'dcuA' 'ugpB' 'uidA' 'fecA' 'fbaA' 'yaeQ' 'hyfG' 'aaeR' 'hflC'
 'hyfR' 'paaB' 'gntU' 'cyoD' 'lsrR' 'uxuR' 'puuC' 'glcC' 'gltD' 'araH'
 'hyfD' 'pnp' 'aaeB' 'mhpB' 'fecE' 'rseA' 'grpE' 'nlpE' 'acnA' 'nagC'
 'fumB' 'fucI' 'yiaM' 'patZ' 'fecB' 'putP' 'entB' 'lgoD' 'yiaN' 'tdcG'
 'yeiP' 'ykgR' 'ulaA' 'nanE' 'nagE' 'modC' 'arfB' 'preA' 'citE' 'rhaD'
 'hyfI' 'fumC' 'gyrA' 'cyoE' 'lsrG' 'lsrK' 'tdcF' 'nanA' 'entC' 'paaI'
 'tdcE' 'gcd' 'araB' 'entH' 'dgoR' 'paaD' 'aspA' 'aaeA' 'ptsI' 'oxyR'
 'rpoE' 'trxA' 'gpsA' 'ybiT' 'fur' 'glpB' 'ompR' 'cyaA' 'gapA' 'glpD'
 'ulaE' 'dsdX' 'uxaA' 'rimP' 'modA' 'rbsR' 'lsrF' 'paaJ' 'gdhA' 'ebgA'
 'manX' 'gadB' 'sohB' 'rseD' 'rhaR' 'uidC' 'puuB' 'paaK' 'rhaA' 'zraR'
 'feaB' 'citC' 'chbG' 'yjhH' 'rmf' 'ulaF' 'nusA' 'mhpR' 'sgbU' 'paaH'
 'marB' 'lamB' 'sodB' 'agp' 'lsrB' 'hupB' 'cdd' 'murP' 'malM' 'fixB'
 'sfsA' 'puuE' 'focB' 'dusB' 'uhpT' 'ulaC' 'murQ' 'malX' 'uxaC' 'truB'
 'chbR' 'speC' 'deoD' 'chiQ' 'tdcC' 'galP' 'lsrC' 'gatZ' 'cyoC' 'xylF'
 'ugpC' 'gatC' 'aer' 'secB' 'aegA' 'lgoR' 'nanC' 'cyoA' 'citF' 'prpR'
 'uidB' 'cas3' 'hyfE' 'btsT' 'araF' 'ugpQ' 'dcuB' 'melR' 'rbfA' 'cstA'
 'agaV' 'ptsG' 'agaA' 'infB' 'citG' 'yjcH' 'tdcB' 'ilvN' 'sgcB' 'ilvB'
 'gntP' 'hyfC' 'fepA' 'osmY' 'gatB' 'araD' 'rhaB' 'treC' 'glpK' 'trg'
 'rihA' 'citX' 'sodA' 'acs' 'gadC' 'ompF' 'treB' 'acnB' 'uxuB' 'gatA'
 'hyfH' 'tdcD' 'dsdA' 'mhpF' 'hyfA' 'ulaB' 'uxuA' 'entE' 'actP' 'gatD'
 'ugpE' 'kbaZ' 'sbmC' 'araA' 'xseA' 'agaW' 'yeiW' 'mglA']",['ansB' 'mglC' 'tdcA' 'aaeX' 'mglB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
H-NS_genes,[],[],"['gadW' 'yciF' 'mdtJ' 'garK' 'adiY' 'ilvH' 'stpA' 'slp' 'hchA' 'hdfR'
 'nhaA' 'fliA' 'yjjP' 'gspL' 'garR' 'ilvI' 'mdtI' 'ybdZ' 'cadC' 'ydeO'
 'hisP' 'asr' 'garL' 'nrdG' 'yciE' 'gspB' 'fimB' 'gspD' 'hisJ' 'cydA'
 'fliZ' 'hdeA' 'evgS' 'yjjQ' 'dctR' 'degP' 'fimI' 'yhiM' 'entF' 'fimA'
 'cmoM' 'gspJ' 'gspH' 'nhaR' 'gspE' 'evgA' 'fimC' 'hisQ' 'fes' 'yhiD'
 'mukF' 'cysW' 'cysU' 'proW' 'bolA' 'fliC' 'gspO' 'fau' 'yciG']","['ftnA' 'fimE' 'gspI' 'gspA' 'hdeD' 'fimD' 'chiA' 'dps' 'nrdD' 'fimG'
 'rcsA' 'mukB' 'cydB' 'cysA' 'gspF' 'hns' 'rcsD' 'fepE' 'acrF' 'gspC'
 'mukE' 'cysP' 'rcsB' 'gspK' 'gspM' 'fimF' 'hisM' 'acrE' 'cysM' 'tcyJ'
 'appY' 'garP' 'fimH' 'hdeB' 'leuO' 'gspG' 'cadA' 'cadB' 'proX' 'proV'
 'adiA' 'ydeP' 'osmC' 'bglJ' 'adeD' 'lrp' 'cspA']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp and H-NS_genes,[],[],"['csgE' 'mdtE' 'nirC' 'mdtF' 'csgD' 'bglB' 'casD' 'lacZ' 'malE' 'gadX'
 'galT' 'cysG' 'galK' 'gadE' 'cas1' 'casB' 'bglF' 'caiE' 'malF' 'caiT'
 'galE' 'malG' 'csgG']","['caiA' 'galM' 'cas2' 'casC' 'cspD' 'hlyE' 'gadA' 'flhD' 'gabD' 'mazE'
 'caiB' 'lacA' 'nirB' 'relA' 'csgF' 'flhC' 'csiE' 'caiF' 'nrdA' 'yfaE'
 'lacY' 'caiC' 'casE' 'caiD' 'nrdB' 'mazF' 'casA' 'lhgO' 'nirD' 'csiD'
 'gabT' 'bglG' 'gabP']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
