,fdhF
Cr_1,0.006994353486916049
Cr_2,0.014811166335790016
Cr_3,0.02315906729106665
Cr_4,0.0307087482325306
Cr_5,0.03620945737316696
Cr_6,0.040707009838284826
Fe_1,-0.0034837511434572077
Fe_2,-0.015190590041329562
Fe_3,-0.029360742053456637
Fe_4,-0.04749173171626312
Fe_5,-0.061437655647185126
Fe_6,-0.07229619741279024
Cd_1,0.004551845802319803
Cd_2,0.0082264668421637
Cd_3,0.010961619407560113
Cd_4,0.014956906467095969
Cd_5,0.017589337401431874
Cd_6,0.02584302276970487
Zn_1,-0.0010063312741325472
Zn_2,-0.002764693750626729
Zn_3,0.002659828752664493
Zn_4,0.00959821802331987
Zn_5,0.02061516429101432
Zn_6,0.03279826403753086
Cu_1,0.004919595886814248
Cu_2,0.00920822406856344
Cu_3,0.015272481078444184
Cu_4,0.01969225631882061
Cu_5,0.028305514798598618
Cu_6,0.036036414562459006
Pb_1,0.009250930532287262
Pb_2,0.019460107853674774
Pb_3,0.03091608198782585
Pb_4,0.04295007613377323
Pb_5,0.056048606404660604
Pb_6,0.06970251610287305
