,pgsA
Cr_1,0.0005513848122034299
Cr_2,0.001656177016868423
Cr_3,-0.0004760300382192447
Cr_4,-0.004171115585849324
Cr_5,-0.006362535545364711
Cr_6,-0.01245644251021055
Fe_1,-0.008486846810734144
Fe_2,-0.02422739430094252
Fe_3,-0.042577994981951764
Fe_4,-0.06295200405856881
Fe_5,-0.07078956227574353
Fe_6,-0.07375877528599108
Cd_1,-0.0004128694189057712
Cd_2,-0.0016448753544604788
Cd_3,-0.002413529347048493
Cd_4,0.0008607208383964418
Cd_5,-0.004458307782422824
Cd_6,-0.0002748928363038854
Zn_1,-0.005069134160201229
Zn_2,-0.012344350209040594
Zn_3,-0.013981936320908087
Zn_4,-0.007253830154748813
Zn_5,0.004174754487740452
Zn_6,0.017161499404685275
Cu_1,0.0016190962579093835
Cu_2,0.0050566677582439675
Cu_3,0.010633339129584606
Cu_4,0.008754109048714428
Cu_5,0.011786416173427443
Cu_6,0.013933704696146276
Pb_1,0.0026526529455902573
Pb_2,0.010687864273902007
Pb_3,0.02259146594617292
Pb_4,0.035114397283279
Pb_5,0.046549163995000885
Pb_6,0.06107152138503327
