,new_3061289_3061624_c
M9exp_1,13.6107
M9exp_2,13.144
M9exp_3,12.9364
M9tran_1,12.7618
M9tran_2,12.681
M9tran_3,13.2023
M9stat_1,12.3373
M9stat_2,12.3581
M9stat_3,12.2192
MG-0.1_1,13.1031
MG-0.1_2,12.0292
MG-0.1_3,13.9778
MG-0.2_2,12.9233
MG-0.2_3,13.2622
MG+5_1,13.3321
MG+5_2,13.1085
MG+5_3,12.9554
MG+10_1,13.6928
MG+10_2,13.4276
MG+10_3,12.0981
MG+15_1,12.8022
MG+15_2,14.2018
MG+15_3,13.6252
MG+25_1,13.4226
MG+25_2,13.0942
MG+25_3,13.5461
MG+45_1,13.275
MG+45_2,12.5733
MG+45_3,13.839
MG+60_2,12.9348
MG+60_3,12.9259
MG+90_2,12.4857
MG+90_3,13.3599
MG+120_1,11.8334
MG+120_2,13.3338
MG+120_3,12.7485
MG+150_1,13.2057
MG+150_3,13.4813
GM-0.1_1,13.1236
GM-0.1_2,13.5851
GM-0.1_3,13.653
GM-0.2_1,13.1801
GM-0.2_2,14.0247
GM-0.2_3,13.4455
GM+5_1,12.9641
GM+5_2,13.3677
GM+5_3,13.5838
GM+10_2,13.4223
GM+10_3,12.3709
GM+15_1,13.2597
GM+15_2,13.4
GM+15_3,13.168
GM+25_1,13.6578
GM+25_2,13.6557
GM+25_3,12.7051
GM+45_1,13.6952
GM+45_2,12.335
GM+45_3,12.2794
GM+60_1,13.5242
GM+60_2,12.2989
GM+60_3,12.0477
GM+90_1,13.5033
GM+90_2,13.307
GM+90_3,12.9969
GM+120_1,12.1982
GM+120_3,12.8026
GM+150_1,13.0084
GM+150_2,12.3933
GM+150_3,13.1561
BT_1,12.0341
BT_2,11.0965
B36_1,12.7108
B36_2,12.5169
B60_1,13.7187
B60_2,13.6849
S0_1,12.144
S0_2,12.4559
S0_3,12.2922
S1_1,13.289
S1_2,13.5514
S1_3,13.5433
S2_1,12.612
S2_2,12.3996
S2_3,11.9909
S3_1,12.9185
S3_2,12.9749
S4_1,13.1438
S4_2,12.4544
S4_3,12.4581
S5_1,12.6013
S5_2,12.542
S5_3,13.0726
S6_1,12.8692
S6_2,9.799
S6_3,12.6353
S6/t_1,12.6741
S6/t_2,9.3106
S6_4,11.387
S6_5,12.2838
S6_6,12.216
S7_4,12.0002
S7_5,11.6487
S7_6,11.7292
S8_4,11.5145
S8_5,10.5836
G135_1,12.8642
G135_3,11.2925
G150_1,12.6121
G150_2,13.3081
G150_3,12.6863
G180_1,12.8704
G180_2,12.9444
G180_3,12.2676
T-5.40H_1,13.832
T-4.40H_1,13.3943
T-3.40H_1,13.5559
T-2.40H_1,12.890999999999998
T-1.40H_1,12.8607
T-1.10H_1,12.833
T-0.40H_1,12.9287
T0.0H_1,12.5606
T0.30H_1,12.8565
T1.0H_1,12.9186
T1.30H_1,13.106
T2.0H_1,12.5331
T2.30H_1,13.5118
T3.0H_1,13.0038
T3.30H_1,13.2121
T4.0H_1,13.0112
T5.0H_1,12.3216
LBexp_1,13.1442
LBexp_2,13.2063
LBexp_3,12.7892
LBtran_1,12.4416
LBtran_2,12.7085
LBtran_3,12.1524
LBstat_1,12.9169
LBstat_2,12.6396
LBstat_3,12.3865
LBGexp_1,12.855
LBGexp_2,11.5335
LBGexp_3,12.4903
LBGtran_2,11.8785
LBGtran_3,12.6055
LBGstat_1,12.7591
LBGstat_2,12.3738
LBGstat_3,11.7679
Mt0_1,12.6653
Mt0_3,12.8761
M0t45_1,12.2738
M0t45_2,12.7674
M0t45_3,12.8544
M0t90_1,11.713
M0t90_2,13.5403
M0t90_3,11.9948
M40t45_1,11.6347
M40t45_2,12.4902
M40t45_3,13.0108
M40t90_1,11.9829
M40t90_2,13.297
M40t90_3,12.6463
dia0_1,12.889
dia0_2,12.7851
dia0_3,13.1274
dia5_1,11.7869
dia5_2,12.5563
dia5_3,12.7694
dia15_1,13.5876
dia15_2,13.7679
dia15_3,10.6849
C30_1,12.0798
C30_2,12.5824
C90_1,12.4849
C90_2,12.698
SMM_1,13.3441
SMM_2,13.4087
SMM_3,13.198
