,hslV
Cr_1,0.0032844361139036764
Cr_2,0.009574442052453223
Cr_3,0.020649683317057327
Cr_4,0.03517951459904965
Cr_5,0.0480704576172543
Cr_6,0.05631244918769196
Fe_1,0.0061832281779368135
Fe_2,-0.0078072335692800435
Fe_3,-0.007502401911228918
Fe_4,-0.0077268275018163544
Fe_5,0.004529932748201277
Fe_6,0.021408926017987856
Cd_1,0.0033811339879847194
Cd_2,0.013360691391069143
Cd_3,0.028308219546798564
Cd_4,0.04108714076994895
Cd_5,0.048402320203961034
Cd_6,0.0665907438347134
Zn_1,-0.005356776291005856
Zn_2,-0.007150369388630776
Zn_3,-0.0009622904291956863
Zn_4,0.023374782622987623
Zn_5,0.050986256141149586
Zn_6,0.07618265317150211
Cu_1,-0.0011870315468978695
Cu_2,-0.0009331539092853172
Cu_3,0.0019276189042358245
Cu_4,0.0043225342551587755
Cu_5,0.005744051854491691
Cu_6,0.00987455483782165
Pb_1,0.004716736860814056
Pb_2,0.012326897126167555
Pb_3,0.025851288070002632
Pb_4,0.04236105774047117
Pb_5,0.0604260156164016
Pb_6,0.08332732930126475
