,PSPTOB0027
SRX1828913,-0.0749314071
SRX1828914,1.2599087182
SRX1828915,0.38054387970000003
SRX1828916,1.1493234021
SRX1828917,-0.3056124726
SRX1828918,0.4120223713
SRX3983989,1.5086521342
SRX3983990,0.3747259377
SRX3983993,2.3683183207000003
SRX3983994,1.8778790258
SRX3983995,0.9967631353
SRX3983996,2.4841583369
SRX3983997,2.9922219035
SRX3983998,0.7548774582000001
SRX3983999,1.3152844328
SRX3984000,1.6572295846
SRX3984001,3.1408093162
SRX3984002,3.2612642256
SRX3984003,2.9605419563
SRX3984004,0.7470156113
SRX3984005,1.6336610065000001
SRX3984006,3.4346360886
SRX3984007,1.4601454262
SRX3984008,1.2579309734
SRX3984009,0.4489827308
SRX3984010,4.035908944
SRX3984011,0.9922320897
SRX3984012,0.5279187282
SRX3984013,0.7231371668000001
SRX3984014,0.7397171149
SRX3984015,2.6591607563
SRX3984016,0.8507526834
SRX3984017,4.0738341023
SRX3984019,0.3256047231
SRX3984020,3.8567398496000003
SRX3984021,4.0285258894
SRX3984022,3.941549324
SRX3984023,0.0208952248
SRX3984024,1.0378498962
SRX3984025,1.5531998481
SRX3984026,1.6235311425
SRX3984027,1.5226944588
SRX3984028,1.2657418656
SRX3984029,1.5075306078000001
SRX3984031,3.8849906663000002
SRX3984032,4.0267176422
SRX3984034,0.0988423695
SRX3984035,0.2275866671
SRX3984036,5.2406954957
SRX3984037,5.2843175186
SRX3984038,5.2786096806
SRX3984039,5.2262207271
SRX3984040,1.4860869713
SRX3984041,5.1877086757
SRX3984042,1.5840618516
SRX3984043,0.5731483748
SRX3984045,0.5704559878000001
SRX3984046,0.1079348504
SRX3984047,3.6608323573
SRX3984048,2.9402160846000003
SRX3984049,2.5235553966
SRX3984050,2.0814906866
SRX3984051,3.4321598028
SRX3984052,0.8920228671
SRX3984056,3.6695656809
SRX3984057,3.7002720322
SRX3984058,4.0451637653
SRX3984059,0.6562828731
SRX3984061,0.5303125623
SRX3984062,0.8212994633
SRX3984063,0.8822655079
SRX3984064,1.0179221011
SRX3984065,0.8990810572
SRX3984066,0.7493453083
SRX3984067,0.8002121151
SRX3984068,0.8317612477
SRX3984069,2.1431274566
SRX3984070,3.015680492
SRX3984071,2.7315156026
SRX3984073,1.1408963708
SRX3984074,1.3827169659
SRX3984077,0.3351908807
SRX3984078,0.4173048178
SRX3984079,3.5365116323
SRX3984080,-0.2276724447
SRX3984082,0.8510486403
SRX3984084,3.830905767
SRX6997963,0.0955023789
SRX6997964,-0.504254662
SRX6997965,-0.4214412455
SRX6997967,-0.0798780258
SRX6997968,-0.2416894313
SRX6997969,-0.4654880651
SRX6997971,-0.0156243531
SRX6997972,-0.3792693883
SRX6997973,-0.7521474275000001
SRX3159100,-0.0734150981
SRX3159101,-0.0937739142
SRX3159102,0.2521245871
SRX3159103,-0.0849355748
SRX3159000,-0.6344844564000001
SRX3159001,-0.6645668288000001
SRX3159002,-0.2072635789
SRX3159003,-0.5060759195
SRX3159004,-0.20882990440000002
SRX3159005,-0.1832934772
SRX3159006,-0.22007115600000002
SRX3159007,0.0028472645
SRX3159008,-0.0287131004
SRX3159009,-0.1000782981
SRX3159010,-0.6924175330000001
SRX3159012,-0.6670286254000001
SRX3159013,-0.3546231281
SRX3159014,-0.4053801286
SRX3159015,-0.5256222693
SRX3159016,-0.2879553025
SRX3159017,-0.38490816910000003
SRX3159018,0.33348291290000004
SRX3159019,0.3360985272
SRX3159020,-0.080470629
SRX3159021,-0.25926970320000003
SRX3159022,0.1232563542
SRX3159023,-0.18710096680000002
SRX3159024,0.5005931535
SRX3159025,0.2269886424
SRX3159026,-0.1785527753
SRX3159027,-0.6113172439
SRX3159028,-0.5791315208
SRX3159029,-1.0112582799
SRX3159030,-0.490455599
SRX3159034,-1.1629887864
SRX3159036,0.0456037573
SRX3159037,-0.0417407894
SRX3159041,0.6625945053
SRX3159042,-0.0028918612
SRX3159043,-0.0721150928
SRX3159045,0.1537400405
SRX3159047,0.0724759122
SRX3159048,0.11563549990000001
SRX3159049,-0.6441661346
SRX3159050,-0.3101205327
SRX3159051,-0.5841366269
SRX3159052,-0.2375553599
SRX3159053,0.12815884930000002
SRX3159054,-0.3481591787
SRX3159055,0.4134726792
SRX3159056,-0.2764489064
SRX3159057,0.0538716105
SRX3159058,-0.0566194021
SRX3159060,0.39065523490000004
SRX3159061,0.6389087203
SRX3159062,0.8282432287
SRX3159063,-0.2222037402
SRX3159066,-0.4387072681
SRX3159069,-0.22097279860000002
SRX3159070,-0.5710885742
SRX3159071,0.1464286391
SRX3159073,0.1408724744
SRX3159074,0.2589618078
SRX3159075,-0.3279054977
SRX3159076,-0.7884234912
SRX3159080,-0.3928902939
SRX3159082,0.20884224640000001
SRX3159083,0.2333442336
SRX3159086,-0.4238257807
SRX3159087,-0.3354808661
SRX3159088,-0.5222412833
SRX3159089,-0.4185128595
SRX3159090,-0.39251687100000004
SRX3159091,0.0833326573
SRX3159092,0.5509540343
SRX3159093,0.28972737060000003
SRX3159094,0.7168575151000001
SRX3159095,0.5578435378000001
SRX3159096,0.5783385761000001
SRX3159097,0.63387591
SRX3159098,0.0616658059
SRX3159099,0.5767594238
SRX3158988,-0.1308727258
SRX3158989,0.6127930141
SRX3158990,0.6245253535
SRX3158991,0.6724090057000001
SRX3158992,0.1068101354
SRX3158996,0.0240625904
SRX3644656,-0.1765263226
SRX3644657,-0.009857122000000001
SRX3644658,0.1863834446
SRX3644659,-0.2630336075
SRX3644660,-0.058471669100000005
SRX3644661,0.1528589242
SRX3644662,-0.6367538428
SRX3644663,-0.30081869510000003
SRX3644664,-0.0817316269
SRX3644665,0.15874657420000002
SRX3644666,0.11580546080000001
SRX3644667,0.6044876066
SRX3644668,-0.6382444180000001
SRX3644669,-0.4589932249
SRX3644670,-0.4564629739
SRX3644671,-0.0313719118
SRX3644672,0.1858082626
SRX3644673,0.3591661304
