,mdtO
Cr_1,0.0005738237387081673
Cr_2,-0.0007113203798139477
Cr_3,0.0007243522548098089
Cr_4,-0.0043986410173668155
Cr_5,-0.007717111198043611
Cr_6,-0.01233501208032204
Fe_1,-0.006718745535336346
Fe_2,-0.021572794858169642
Fe_3,-0.032850191462572384
Fe_4,-0.04410330095451572
Fe_5,-0.04779278901088522
Fe_6,-0.05032717070226428
Cd_1,-0.003388126101944732
Cd_2,-0.003601980234231825
Cd_3,-0.00368298192705277
Cd_4,-0.00419676754627156
Cd_5,-0.009810164584268984
Cd_6,-0.005697595239931518
Zn_1,-0.007693576624803171
Zn_2,-0.008442821952490876
Zn_3,-0.00037840075693260593
Zn_4,0.014271828472085163
Zn_5,0.0218916151239021
Zn_6,0.02850376421775318
Cu_1,0.0009532961529940322
Cu_2,0.0038566541801071078
Cu_3,0.0026298255378058143
Cu_4,0.004668583711817218
Cu_5,0.007739630122177584
Cu_6,0.015364794804511334
Pb_1,0.01053632496292464
Pb_2,0.020160612260524968
Pb_3,0.027502109253434427
Pb_4,0.0421905310844385
Pb_5,0.048025947823179614
Pb_6,0.06424542368392397
