,mglA
Cr_1,0.003395096218236769
Cr_2,0.009314740450297973
Cr_3,0.013953733136090041
Cr_4,0.021108631326944342
Cr_5,0.029041671230224393
Cr_6,0.035475754828614564
Fe_1,-0.010441344776170373
Fe_2,-0.03109828686920921
Fe_3,-0.058307782826999874
Fe_4,-0.08897860888949455
Fe_5,-0.10929703730148628
Fe_6,-0.1286291407654547
Cd_1,0.0014837632931690044
Cd_2,0.004392887228927356
Cd_3,0.006555535056388372
Cd_4,0.00871255634682689
Cd_5,0.0085994839824561
Cd_6,0.01037319477319719
Zn_1,-0.0014575001295410225
Zn_2,-0.009022329226523646
Zn_3,-0.014917717220318281
Zn_4,-0.007303903281504416
Zn_5,-0.003111248593847861
Zn_6,-0.007302403343469048
Cu_1,0.0033752779775879692
Cu_2,0.004118001993992382
Cu_3,0.003799697077792932
Cu_4,0.004526442455086314
Cu_5,0.006316343536134577
Cu_6,0.013142073071124593
Pb_1,0.007967584830410178
Pb_2,0.015885266213401732
Pb_3,0.02423945719457932
Pb_4,0.03593687688968965
Pb_5,0.04835567406546375
Pb_6,0.05928721541445173
