,A,IscR,ihfB,NsrR,Fur,OxyR
R2,,0.2607719889559661,0.07509131979350236,0.040225614413468835,0.022273243789692976,0.014548958912289578
xmin,,-4.0695735795,-2.3858350260000005,-0.8970826360000004,-9.893921886000001,-7.3223905695000004
xmid,,-0.8792784291540221,0.125183669727852,2.743347789327343,-1.0211639765915859,-0.6062603218841005
xmax,,2.4171227035000005,1.6466498449999991,5.797296702,2.690967163999998,1.5249456786265156
ystart,,-3.4580215575524047,-2.1011157856068388,-1.677492531017755,-2.4295016187275387,-1.7199869292955072
yend,,4.744148977447734,3.252290290986885,3.010051872803979,1.4507299154109505,2.0956692937275716
control__wt_glc__1,-0.429887092034372,0.04566272449999964,0.08337238499999877,0.020173296999999483,-0.05856442000000151,-0.10812528549999988
control__wt_glc__2,0.429887092034355,-0.04566272449999964,-0.08337238500000055,-0.020173297000000368,0.05856441999999973,0.10812528550000078
fur__wt_dpd__1,8.919075479048589,1.8478925534999997,0.7158603249999995,0.02132923399999953,-0.1957192190000008,-0.3918510385000005
fur__wt_dpd__2,8.992567412157173,1.9558987335,0.8566654449999991,-0.0926817420000008,-0.2143640890000018,-0.4480737175000016
fur__wt_fe__1,-1.8851912323956437,-0.5951839574999997,-0.0769950650000002,-0.16230739300000074,-0.1279276850000013,-0.19961092449999995
fur__wt_fe__2,-1.98974591542684,-0.8290032915000012,-0.08671744500000145,0.13387232699999976,-0.03605009300000184,-0.3065217235000004
fur__delfur_dpd__1,8.214241568818416,1.6672951534999996,0.6898034449999989,0.13012690299999985,-9.893921886000001,-0.3722405594999998
fur__delfur_dpd__2,8.589642559081135,1.6137390934999996,0.621869414999999,0.014325488999999969,-9.018917862999999,-0.4208417975000014
fur__delfur_fe2__1,4.071234720680745,0.1947629795000001,0.3658187149999996,0.056326930999999185,-9.893921886000001,-0.13705346650000028
fur__delfur_fe2__2,3.735906015126586,0.24935814050000005,0.33581042499999825,0.10458706799999984,-9.893921886000001,-0.1774416935000005
acid__wt_ph5__1,0.2489001019569905,-0.16279294050000104,0.2842574349999989,0.06713789499999923,-0.381853244000002,-0.16790930650000035
acid__wt_ph5__2,0.1278130721760847,-0.1503057615000003,0.3016573449999989,0.18047799799999972,-0.42914538600000185,-0.1816553825000016
acid__delgadx_ph5__2,0.158658622777867,-0.5434340894999998,0.03620512499999862,-0.1433996440000005,-0.3711784620000014,-0.3418093025000015
acid__delgadw_ph5__1,-0.7915873264885214,-0.15551004249999956,0.19517709499999825,0.3132534259999993,-0.4529754160000011,-0.31403319250000017
acid__delgadw_ph5__2,-0.196119406627315,-0.35314321350000105,0.1831834249999993,0.06219739199999896,-0.393817588000001,-0.3209036405000001
acid__delgade_ph5__1,-0.4509374190911815,-0.025704217499999515,0.3321859449999991,0.08034080999999915,-0.3531133380000018,-0.14734041550000046
acid__delgade_ph5__2,0.2279755550649152,0.04895864249999882,0.2395609849999989,0.2892667349999991,-0.3876910010000003,-0.1243442374999999
oxidative__wt_pq__1,5.354131647386152,-0.2712843035000017,0.9466146249999988,1.942484969999998,0.3589120039999987,0.4065757564999988
oxidative__wt_pq__2,5.1993778634527095,-0.21936645250000095,0.948808184999999,0.7757423549999984,0.4246056039999981,0.4663710914999992
