,yafK
Cr_1,-0.002895249755358866
Cr_2,-0.0040116109561869045
Cr_3,-0.0046429229805275895
Cr_4,-0.003342777065572089
Cr_5,-0.0015201302007713743
Cr_6,-0.004466741054646591
Fe_1,-0.008616509754892691
Fe_2,-0.025933078277471062
Fe_3,-0.04097974740048625
Fe_4,-0.05526889113264743
Fe_5,-0.06005687316910911
Fe_6,-0.06097727515171335
Cd_1,-0.0029157385990325226
Cd_2,-0.00597424882965299
Cd_3,-0.010015992450917352
Cd_4,-0.011053629101551844
Cd_5,-0.014772116310290066
Cd_6,-0.015658940971170644
Zn_1,0.0021530355002931786
Zn_2,0.011575053562710212
Zn_3,0.034747321199617674
Zn_4,0.06496523567847115
Zn_5,0.0977697203783722
Zn_6,0.12615445521212984
Cu_1,0.0016582713290568226
Cu_2,0.0018803258855338953
Cu_3,0.0017616322797745468
Cu_4,-0.0027045870549506482
Cu_5,-0.0016134868855093565
Cu_6,0.002683186123776611
Pb_1,0.007764426021027456
Pb_2,0.011818122406435748
Pb_3,0.02183092513111581
Pb_4,0.03715720071872235
Pb_5,0.04997295880167822
Pb_6,0.06440376885939865
