,fliF
Cr_1,-0.007367655049827756
Cr_2,-1.601758101969484e-05
Cr_3,0.003372753423499139
Cr_4,0.0023823726420741827
Cr_5,0.005289850408114194
Cr_6,0.0027008521029743197
Fe_1,-0.008510169027500273
Fe_2,-0.0252116318116146
Fe_3,-0.02454772291276321
Fe_4,-0.020404447391446253
Fe_5,-0.020512411598738543
Fe_6,-0.024724742480098663
Cd_1,-0.00517915798259164
Cd_2,-0.009984146830577164
Cd_3,-0.008468430579365832
Cd_4,-0.009390355259088441
Cd_5,-0.012728128495992056
Cd_6,-0.010243312586254218
Zn_1,-0.0015844728309438428
Zn_2,0.003743825869535664
Zn_3,0.01453617003000108
Zn_4,0.02327378287338892
Zn_5,0.034962218073089774
Zn_6,0.042750667042517315
Cu_1,0.006457531146355554
Cu_2,0.008633209431587643
Cu_3,0.007504299722048917
Cu_4,0.001488206606842498
Cu_5,-0.004201099390701315
Cu_6,0.001147565434459974
Pb_1,-0.0010436440756896217
Pb_2,0.010732591275129148
Pb_3,0.02417833821507585
Pb_4,0.029022549224380467
Pb_5,0.028837073128221664
Pb_6,0.030691775096150013
