,A,PrpR
R2,,0.35643107859330314
xmin,,0.0
xmid,,2.6236458369149913
xmax,,8.2746311844
ystart,,0.000977711315710117
yend,,13.585370076225882
control__wt_glc__1,-0.1826332938,3.464643712
control__wt_glc__2,0.1826332938,4.00757649
fur__wt_dpd__1,6.0954203301,5.2657250049
fur__wt_dpd__2,6.8233968818,5.4382603750000005
fur__wt_fe__1,-0.047995620600000004,3.4848418261000003
fur__wt_fe__2,-0.16347318260000002,3.3909128198
fur__delfur_dpd__1,4.0701970048,5.3219567274
fur__delfur_dpd__2,3.5162578374,5.0859297075
fur__delfur_fe2__1,0.3552123534,4.117014013
fur__delfur_fe2__2,0.5700711839,4.1975718455
acid__wt_ph5__1,2.1397798241,4.2899814626
acid__wt_ph5__2,2.4395570076,4.1681713603
acid__delgadx_ph5__1,1.226674055,4.5278665518
acid__delgadx_ph5__2,1.9706301582,3.9765698736
acid__delgadw_ph5__1,1.1522368886,4.2763378344
acid__delgadw_ph5__2,1.6401391802,4.2152567464
acid__delgade_ph5__1,1.6686569715,4.4951943998
acid__delgade_ph5__2,1.9657505443,4.6031915272
oxidative__wt_pq__1,5.3427508218,5.5405985003
oxidative__wt_pq__2,4.7286188991,5.5229379198
oxidative__deloxyr_pq__1,2.4550201283,5.2806224362
oxidative__deloxyr_pq__2,2.5028496004000003,5.1193045913
oxidative__delsoxr_pq__1,5.0035239531,5.4044352599
oxidative__delsoxr_pq__2,4.71004633,5.8343300312
oxidative__delsoxs_pq__1,3.8955251743,5.9026702682
oxidative__delsoxs_pq__2,4.4789952146,5.8741238821
nac_ntrc__wt_csn__1,5.6493388821,4.8843282725
nac_ntrc__wt_csn__2,5.3860254896,4.6944925857
nac_ntrc__wt_cytd__1,6.9260567553,4.6327362603
nac_ntrc__wt_cytd__2,6.9879825851,4.5911860929
nac_ntrc__wt_gln__1,9.5171118856,5.0691484564
nac_ntrc__wt_gln__2,8.562811274,5.0291689833
nac_ntrc__bw_delnac_csn__1,6.8307719229,4.927865741
nac_ntrc__bw_delnac_csn__2,7.2316783655,4.7122344137
nac_ntrc__bw_delnac_cytd__1,6.2723085338,4.0711111565
nac_ntrc__bw_delnac_cytd__2,6.3887313845,4.025996139
nac_ntrc__bw_delnac_gln__1,8.0076488654,4.8330512351
nac_ntrc__bw_delnac_gln__2,7.8465502525,4.7426798478
nac_ntrc__bw_delnac_nh4__1,-0.45122238400000003,2.4476096519
nac_ntrc__bw_delnac_nh4__2,1.3028266025,2.9878717006
misc__wt_no_te__1,2.2124973779,4.5285087242
misc__wt_no_te__2,0.23294428080000001,4.4090507667
misc__bw_delcbl__1,1.2848903237,3.2662233189
misc__bw_delcbl__2,1.1553425781,3.2934762874
misc__bw_delfabr__1,1.2675368427,2.8158598054
misc__bw_delfabr__2,1.9113981562000002,2.4788315825
misc__bw_delfadr__1,1.1764838072,3.6927015737
misc__bw_delfadr__2,1.5493807253,3.6641894524
misc__nitr_031__1,4.9588900765,4.6956419229
omics__wt_glu__1,1.7774548507999999,3.6474665449
omics__wt_glu__2,1.0611425542,3.4099824606
omics__wt_gly__1,1.420615886,3.4738384594
omics__wt_gly__2,2.6626678516,3.8244560798
omics__wt_thr__1,5.795160884,4.4361494361
omics__wt_thr__2,4.8841531088,3.5201285238
omics__bw_ac__1,0.9104773069000001,5.8795818281
omics__bw_ac__2,0.9375834108000001,5.8804383945000005
omics__bw_fum__1,0.269178381,4.3095562896
omics__bw_fum__2,0.5567251962,4.3751136234
omics__bw_glc__1,-1.0336742246,3.6586749237
omics__bw_glc__2,-1.2553819511,3.6836232638
omics__bw_pyr__1,-0.7153062368,4.5632733371
omics__bw_pyr__2,-0.21532171600000002,4.5216110194
ompr__wt_nacl__1,5.5196742582,5.0386794607
ompr__wt_nacl__2,4.8892568954,4.6772562928
ompr__bw_delompr_nacl__1,5.50386425,4.0561475823
ompr__bw_delompr_nacl__2,6.6777606042,4.2185353168
minspan__wt_ade__1,-2.0812340041,2.663607132
minspan__wt_glc__1,-0.7347023353000001,3.1007360775
minspan__wt_glc__2,-0.5733454555,3.1019334944
minspan__wt_glc__3,-1.0387822586,3.3903063161
minspan__wt_glc__4,-0.7762983929,3.2649259719
minspan__wt_glc_anaero__1,-1.2231996524,0.9344390852000001
minspan__wt_glc_anaero__2,-0.9060544565,0.0
minspan__wt_trp__1,-2.1682827383,0.8707512067000001
minspan__bw_delcra_glc__1,-0.37640652750000003,1.5147019311
minspan__bw_delcra_glc__2,-0.4055347327,1.0112143847
minspan__bw_delcra_trp__1,0.0720763034,1.7301760238
minspan__bw_delmntr__1,-1.3971056715999999,0.7934510553
minspan__bw_delnac_ade__1,-0.9523992643,3.5725588943
minspan__bw_delnac_glc__1,0.7650202446000001,3.4108591836
cra_crp__wt_ac__1,12.232572961,5.5437534126
cra_crp__wt_ac__2,11.3208282364,5.5075086881
cra_crp__wt_fru__1,1.2304591888,4.1102729738
cra_crp__wt_fru__2,1.5319192954,4.2477429594
cra_crp__delcra_ac__1,6.1192229168,5.6470979642
cra_crp__delcra_ac__2,6.3091316182,5.617145392
cra_crp__delcra_fru__1,2.0702569447,4.0517106072
cra_crp__delcra_fru__2,1.2826769588,3.8586835742
cra_crp__delcra_glc__1,1.3112199674,3.4593828441
cra_crp__delcra_glc__2,1.3022208186,3.6740972017
rpoB__wt_031__1,5.5556965623,5.9508569193
rpoB__wt_044__1,2.4425347196000002,4.4261352874
rpoB__wt_lb__1,3.7273104017,7.8192071624
rpoB__wt_lb__2,4.4107471055000005,7.8432916354
rpoB__rpoBE546V_031__1,4.7059208979000005,5.066264132
rpoB__rpoBE546V_044__1,3.4048502384,4.7074399442
rpoB__rpoBE546V_lb__1,1.6455985148,6.4214358114
rpoB__rpoBE546V_lb__2,0.41162235680000003,6.1940518469
rpoB__rpoBE546V_glc__1,0.0955649823,3.4045079213
rpoB__rpoBE672K_glc__1,0.7738944413000001,2.4004358812
rpoB__rpoBE672K_glc__2,0.8353493204,1.3060390628
rpoB__rpoBE672K_lb__1,0.057109574,2.5034402643
rpoB__rpoBE672K_lb__2,-0.13924294850000002,2.7668717619
crp__wt_fru__1,-0.7569220355,4.2282711786
crp__wt_glyc__1,2.0020646266,4.0813340916
crp__wt_glyc__2,2.6328015449,4.1635809888
crp__delar1_glyc__1,2.3436923532,1.3689055787
crp__delar1_glyc__2,0.9371467050000001,1.1333073074
crp__delar1ar2_glyc__1,1.5550186945,4.3401503738
crp__delar1ar2_glyc__2,2.6456789152,4.5091126034
crp__delar1ar2_glyc__3,1.8440958465000001,4.3083399358
crp__delar2_glyc__1,4.4761884599,2.3682056358
crp__delar2_glyc__2,3.8529655631,2.3182266333
crp__delar2_glyc__3,3.4764179968,1.6808034291
crp__delcrp_fru__1,3.0087060314,4.9375308661
crp__delcrp_fru__2,3.2425714411,4.5726129559
crp__delcrp_fru__3,3.9208737629,4.5088877262
crp__delcrp_glc__1,4.3655505156,4.8825946116
crp__delcrp_glc__2,3.1269433205,5.2411073609
crp__delcrp_glc__3,4.2520540409,5.1616680082
crp__delcrp_glyc__1,3.1975418672,4.6860963848
crp__delcrp_glyc__2,3.480977337,4.8292578795
crp__delcrp_glyc__3,2.8980680619,4.6155324366
glu__glu_ale3__1,-1.8282234762,1.1724920307
glu__glu_ale4__1,-1.4324908105,0.24858524380000002
glu__glu_ale5__1,-0.23358963160000001,2.0061358938
glu__glu_ale6__1,-1.3293483946,1.7686769293
glu__glu_ale8__1,-1.0495820394,0.5143256423
glu__glu_ale9__1,-1.5652357144,0.5059812565
glu__glu_ale10__1,-1.6227194559,0.8335454606
42c__wt_42c__1,1.6455234600000002,2.9815945759
42c__42c_ale1__1,-0.0830276686,0.979764807
42c__42c_ale2__1,-0.1210897315,1.6619494724
42c__42c_ale3__1,0.8765513178000001,1.3853767146
42c__42c_ale4__1,-0.7575789242000001,0.5515351805
42c__42c_ale5__1,0.0989144495,1.7692418476
42c__42c_ale6__1,-0.6707495659,0.7535975486000001
42c__42c_ale8__1,-0.8197757645,0.6566876183
42c__42c_ale9__1,-0.2352074935,2.0846793949
42c__42c_ale10__1,-1.8594732641,0.7016198603
ssw__wt_ac__1,14.3505604823,5.0866574169
ssw__wt_glc__1,-1.3993044539000001,2.7966469426
ssw__wt_glyc__1,5.1832306758,2.9150069016
ssw__wt_xyl__1,2.1690011688,0.9983535012
ssw__glc_ale1__1,-1.1566295156,1.2216620083
ssw__glc_ale2__1,0.0483189898,1.1114937865
ssw__glc_ale3__1,-0.5709030281,0.368017896
ssw__glyc_ale1__1,0.025563890500000002,1.5028314594999999
ssw__glyc_ale2__1,-0.7291207249,2.0231146681
ssw__xyl_ale1__1,3.086830153,1.8296726252000002
ssw__xyl_ale2__1,6.1312459959,1.4409903459
ssw__xyl_ale3__1,2.6959695113,2.0063833629
ssw__glc_ac_ac2__1,9.6612362008,4.7842446275
ssw__glc_ac_glc1__1,1.4776251336000001,2.3233944358
ssw__glc_ac_glc2__1,-0.7704806717,1.454993758
ssw__glc_glyc_glc__1,-0.0927095287,1.3668935673
ssw__glc_glyc_glyc__1,0.3161832351,1.3442368671
ssw__glc_xyl_glc__1,-0.2501910238,1.1924253664
ssw__glc_xyl_xyl__1,0.9907874871000001,1.7708515500000002
pgi__glu4_delpgi__1,4.4382229651,4.2296048363
pgi__pgi_ale1__1,0.4081494191,3.8192996679
pgi__pgi_ale2__1,6.5700394119,4.5768008076
pgi__pgi_ale3__1,0.3068859854,3.4415779508
pgi__pgi_ale5__1,1.359186374,3.8738891886999998
pgi__pgi_ale6__1,0.254637732,3.327063173
pgi__pgi_ale7__1,2.0455490583,3.7835092277999998
pgi__pgi_ale8__1,0.9017312249,2.5240820212
ica__wt_glc__1,-0.08563179010000001,2.1727689076
ica__wt_glc__2,-0.5041204716000001,1.7329760481
ica__wt_glc__3,1.0897569165,2.245930258
ica__wt_glc__4,-0.014807143600000001,2.5273447147
ica__arg_sbt__1,8.172970679,3.368024526
ica__arg_sbt__2,7.2121529889,2.8330599110000003
ica__cytd_rib__1,6.5637846051,8.2746311844
ica__cytd_rib__2,7.3254845099,8.2446494816
ica__gth__1,6.3382040392,4.8171578363
ica__gth__2,7.7000195826,4.5264554823
ica__leu_glcr__1,4.6365206821000005,2.8037482232
ica__leu_glcr__2,4.1432612224,2.7021448159
ica__met_glc__1,0.7041973747,2.1373744875
ica__met_glc__2,0.3046445729,2.4006715632
ica__no3_anaero__1,-0.19203400510000002,1.1041638637
ica__no3_anaero__2,0.51790344,0.9128177599
ica__phe_acgam__1,0.0650478369,2.3813824091
ica__phe_acgam__2,0.4640443175,2.3515648262
ica__thm_gal__1,19.2263141333,4.2420803412
ica__thm_gal__2,19.3341247896,4.3441722741
ica__tyr_glcn__1,3.0853897952000002,1.8682063956000001
ica__tyr_glcn__2,3.6388266268000002,2.1162865633
ica__ura_pyr__1,3.4545706063,3.4522112711
ica__ura_pyr__2,4.2590235511,3.9696330094
ica__wt_glc__5,-0.7715785934,2.3681647778
ica__wt_glc__6,-0.3015328115,2.4025462696
ica__bw_delpurR_cytd__1,-0.557588784,1.6805277825
ica__bw_delpurR_cytd__2,-0.019236799500000002,1.5950087252
ica__ade_glc__1,-1.3858762586,1.9479452999
ica__ade_glc__2,-1.5381772297,2.2584700223
ytf__wt_glc__1,-0.3670062356,3.1058328201
ytf__wt_glc__2,-0.5859157413,2.5873175154
ytf__delyafC__1,-0.5733839027000001,2.226745485
ytf__delyafC__2,-1.0203616113,2.0758632893
ytf__delyeiE__1,-0.652729609,2.7917562734
ytf__delyeiE__2,-2.255610957,3.4988595728
ytf__delyiaJ__1,-1.4649031744,1.8335741934
ytf__delyiaJ__2,-0.8771017529,2.0765980831
ytf__delyieP__1,-0.8724369984,2.0888439803
ytf__delyieP__2,-0.6645708098,2.2948084024
ytf__wt_ph5__1,0.0750391525,3.6100971853
ytf__wt_ph5__2,0.8358350564,4.2385594621
ytf__wt_ph8__1,-0.2959457498,3.8240717838
ytf__wt_ph8__2,-0.6869068031000001,4.0423535936
ytf__delybaO__1,-1.2215195129,2.1786068796
ytf__delybaO__2,-1.6091057055,1.9517290143000001
ytf__delybaQ__1,-0.6702787633,3.9110072907999998
ytf__delybaQ__2,0.4354926766,3.8192827176
ytf__delybiH__1,-0.8652711291,2.3766383508
ytf__delybiH__2,-0.9880367005,1.7073243150000001
ytf__delydcI_ph5__1,-0.6543306864,3.9974124792000003
ytf__delydcI_ph5__2,-1.0339530533,3.9781687175
ytf__delydcI_ph8__1,0.0060521177,3.2151630334
ytf__delydcI_ph8__2,-0.8237769545,3.012003377
ytf__delyddM__1,-0.09160548290000001,4.0195168309
ytf__delyddM__2,-0.10099077590000001,4.0048321167
ytf__delyheO__1,-1.0083398046,2.4352025739
ytf__delyheO__2,-1.0019117488,2.3229439689999998
fps__bw_glc__1,0.2778852632,3.0712382946
fps__bw_glc__2,-0.8737534128000001,2.9984992811
fps__fps_thrA_ale1__1,0.0027176484,3.4127407295
fps__fps_thrA_ale1__2,0.0852241198,3.3964497684
fps__fps_thrA_ale2__1,0.4040199266,2.8452598319
fps__fps_thrA_ale2__2,1.0696424245,2.8542475258
fps__fps_serB_ale1__1,0.6039348064,3.7020470960000003
fps__fps_serB_ale1__2,-0.0291881942,3.7395940573
fps__fps_serB_ale4__1,3.6929056189000002,4.6368381986
fps__fps_serB_ale4__2,4.0831042555,4.9668237823
fps__fps_ptsI_ale1__1,18.3711591827,5.1084909216
fps__fps_ptsI_ale1__2,18.4650088024,4.991324663
fps__fps_ptsI_ale3__1,13.8147222463,4.3163794098
fps__fps_ptsI_ale3__2,14.6294400999,4.4390582692
pal__lyx_ale2_f6__1,16.0786330382,5.7877765307
pal__lyx_ale2__1,6.9231937167,4.4015066003
pal__lyx_ale2__2,6.9154088946000005,4.5414548736
pal__lyx_ale4__1,6.9231937167,4.4015066003
pal__lyx_ale4__2,6.9154088946000005,4.5414548736
pal__5drib_ale10_f18__1,17.9787425413,5.6651934686
pal__5drib_ale10_f18__2,17.5321800087,5.9816609357
pal__5drib_ale10__1,15.9759541958,5.8823020987
pal__arab_ale14_f9__1,3.8215736889,4.7622879639
pal__arab_ale14_f9__2,3.8069831804,4.6186221604
pal__arab_ale14__1,8.8322409933,3.3864187103
pal__arab_ale14__2,8.9172177461,3.3790616165
pal__arab_ale16__1,9.7124558512,3.6650331385
pal__arab_ale16__2,12.3827849171,4.2764462813
pal__tartr_ale26_f10__1,17.8607625127,5.5091206541
pal__tartr_ale26_f10__2,17.2017334232,5.8915429295
pal__tartr_ale26__1,16.208903429,5.3414027094
pal__tartr_ale26__2,16.4360215437,5.4512488858
pal__tartr_ale28_f10__1,19.1757795575,6.4268696335
pal__tartr_ale28_f10__2,17.6857044516,6.2309679934
pal__tartr_ale28__1,10.217147267,5.0446141724
pal__tartr_ale28__2,9.138505187,4.8411656395
efeU__delmenFentC_citr__1,0.998173736,3.2818133846
efeU__delmenFentC_citr__2,-0.2501169942,2.585814049
efeU__delmenFentC__1,1.7999163265,4.6419856076
efeU__delmenFentC__2,1.8816162367,4.6110651029
efeU__menFentC_ale39__1,-1.5807063398999999,0.6703331034000001
efeU__menFentC_ale39__2,-1.4637638497,0.6962277222000001
efeU__menFentC_ale29__1,-1.3012665653,0.4197190333
efeU__menFentC_ale29__2,-0.6999921515,1.4965714518
efeU__menFentC_ale30__1,0.7298333647,2.5730307435
efeU__menFentC_ale30__2,-0.9257054652000001,1.5161438335000001
efeU__menFentCubiC_ale36__1,0.5315580938,3.6233147613
efeU__menFentCubiC_ale36__2,-0.3030316255,3.865169607
efeU__menFentCubiC_ale37__1,-0.9243134712000001,3.4749663409
efeU__menFentCubiC_ale37__2,-0.3632760295,3.9225956281
efeU__menFentCubiC_ale38__1,0.0649224232,1.605659292
efeU__menFentCubiC_ale38__2,0.3184146439,1.9495839464
