,pepB
Cr_1,-0.014952659849188497
Cr_2,-0.03884845547851029
Cr_3,-0.043657993684035626
Cr_4,-0.047081737206527134
Cr_5,-0.042073761711247534
Cr_6,-0.04195766298539151
Fe_1,-0.021135788476120482
Fe_2,-0.04321871933083938
Fe_3,-0.06848902275139675
Fe_4,-0.09344557573604677
Fe_5,-0.1125486577268364
Fe_6,-0.13225352972553991
Cd_1,0.0015927188755894982
Cd_2,-0.0005193598049236791
Cd_3,-0.001577733671118141
Cd_4,5.288720055048656e-05
Cd_5,-0.00343415354349198
Cd_6,-0.0008614386445762971
Zn_1,-0.008715290238924494
Zn_2,0.09898530666451663
Zn_3,0.07336484100829126
Zn_4,0.17826177806609864
Zn_5,0.6277516752675807
Zn_6,0.040993167725959664
Cu_1,0.005068448502492065
Cu_2,0.008502400200915422
Cu_3,0.013425507268128752
Cu_4,0.01329790301076158
Cu_5,0.017503051723304
Cu_6,0.02425873709412841
Pb_1,-0.0026919185206058733
Pb_2,-0.008151058742846959
Pb_3,-0.006597704651981321
Pb_4,0.014818006286619974
Pb_5,0.025861287658450017
Pb_6,0.026586095291922344
