,greA
Cr_1,0.005501907417507425
Cr_2,0.019449537313615574
Cr_3,0.028445607148587283
Cr_4,0.021685020404501584
Cr_5,0.024271784347456343
Cr_6,0.01843236931573866
Fe_1,-0.03435048706548464
Fe_2,-0.05356099280839482
Fe_3,-0.08362843628458723
Fe_4,-0.1321822126183067
Fe_5,-0.17673207376797676
Fe_6,-0.20564482966702027
Cd_1,0.005394400294130249
Cd_2,0.018286514157748696
Cd_3,0.027819228232839083
Cd_4,0.045007361531021854
Cd_5,0.04166914983878449
Cd_6,0.04587866036544752
Zn_1,-0.010514983256142784
Zn_2,-0.012848894301823902
Zn_3,-0.0019498434606672762
Zn_4,0.010560197492584937
Zn_5,0.015364519226560304
Zn_6,0.03948577025454755
Cu_1,0.009322063316997364
Cu_2,0.018996852581020338
Cu_3,0.027212556807317056
Cu_4,0.034180025838265106
Cu_5,0.04772914761230556
Cu_6,0.056355522021975565
Pb_1,-0.003397094213566776
Pb_2,-0.004381380231800596
Pb_3,0.001463113446061364
Pb_4,0.008676442220561846
Pb_5,0.009108392863079842
Pb_6,0.018532500712819398
