,Value,list
TF,[stringent response] / [RplJ],
reg_genes,200,"['S1200' 'S1471' 'S917' 'recJ' 'murE' 'atpI' 'ftsW' 'S1045' 'pdhD' 'atpD'
 'rplGA' 'rpoC' 'ylxX' 'recN' 'S556' 'S553' 'yjlC' 'mraY' 'murG' 'ptsG'
 'rpsO' 'ylaH' 'pdhB' 'S1423' 'dltD' 'rpsR' 'S595' 'dltB' 'rbfA' 'yqxC'
 'truA' 'S1480' 'tufA' 'ptsH' 'mbl' 'rplT' 'rpmF' 'ysdA' 'S531' 'S1472'
 'yyaF' 'rpmA' 'kinA' 'S1069' 'S588' 'gcaD' 'pyrH' 'prs' 'qoxC' 'apt'
 'rplU' 'pdhA' 'ndh' 'S558' 'trmU' 'kapB' 'S51' 'S532' 'S52' 'S916' 'murD'
 'dltA' 'qoxB' 'rpmE' 'folD' 'ypuI' 'rpsB' 'ahrC' 'atpG' 'rpmB' 'S1043'
 'qoxD' 'dltC' 'S559' 'S596' 'rpsD' 'S915' 'prp' 'ylxW' 'murB' 'S557'
 'ylxR' 'atpF' 'atpE' 'rpsI' 'S1424' 'ftsY' 'S1473' 'alsS' 'S451' 'S577'
 'tig' 'dltE' 'rnc' 'S1425' 'S1133' 'rpsP' 'S541' 'S593' 'rpmI' 'spoVE'
 'atpA' 'pnpA' 'dxs' 'yrvO' 'ctc' 'pdhC' 'sbp' 'S575' 'atpC' 'nusA' 'scpB'
 'kinB' 'S1435' 'qoxA' 'ylxS' 'scpA' 'alsD' 'atpH' 'infB' 'ylxP' 'S587'
 'S594' 'rpoB' 'rpsG' 'ylaG' 'atpB' 'S1426' 'pycA' 'S57' 'yugI' 'ylqC'
 'nusB' 'infC' 'frr' 'S580' 'smc' 'ylbN' 'S592' 'divIB' 'cymR' 'S1068'
 'ptsI' 'tsf' 'S1137' 'S1059' 'S1479' 'ywzH']"
comp_genes,0,[]
both_genes,0,"['rplQ' 'S586' 'S56' 'rplP' 'S50' 'rplL' 'rplM' 'ssbA' 'rpsL' 'rpmD'
 'rpsF' 'rplN' 'rplK' 'rpsK' 'fusA' 'ybzG' 'BSU_misc_RNA_3' 'rpsS' 'rplGB'
 'secY' 'infA' 'rplE' 'rplF' 'rplS' 'rplR' 'map' 'rpmC' 'adk' 'rpsN'
 'rplA' 'S49' 'rpsC' 'rplD' 'rplX' 'S54' 'rpoA' 'rplC' 'S1575' 'rplV'
 'S1135' 'S53' 'rplJ' 'rpsJ' 'rplB' 'rpsQ' 'rpsM' 'rplW' 'rplO' 'S55'
 'rpsH' 'rpsE' 'rpmJ']"
reg_genes2,0,
comp_genes2,52,
both_genes2,0,
reg_ops,58,
comp_ops,9,
both_ops,9,
