,A,RplJ
R2,,0.8732490522299872
xmin,,-7.876633333333329
xmid,,
xmax,,0.028466666666670193
ystart,,-57.299057324997165
yend,,-0.24715717715371346
LBexp_1,1.5937693087,-0.006933333333329017
LBexp_2,0.8450501770000001,-0.0020333333333297787
LBexp_3,2.7942082031,-0.014433333333329301
LBtran_1,-18.199521951,-2.615233333333329
LBtran_2,-1.9834501334999999,-0.668533333333329
LBtran_3,-0.9103682513,-0.4729333333333301
LBstat_1,-18.199335293,-2.9141333333333286
LBstat_2,-16.5916731786,-3.07593333333333
LBstat_3,-16.0791435813,-3.2208333333333297
LBGexp_1,2.7796713811,-0.04673333333332863
LBGexp_2,3.6211754934,-0.007733333333330705
LBGexp_3,3.9837828451,-0.016033333333329125
LBGtran_2,0.4566371952,-0.3313333333333297
LBGtran_3,-0.45689386130000004,-0.021533333333330518
LBGstat_1,10.0510571873,0.00326666666667208
LBGstat_2,10.6281885071,-0.007133333333328551
LBGstat_3,-5.9193103931,-0.9202333333333286
S0_1,3.8174051485,0.018066666666669562
S0_2,3.6964182805,-0.012933333333329244
S0_3,3.7072780117,0.01676666666667259
S1_1,-12.3053143563,-0.8874333333333286
S1_2,-12.1830709301,-1.0196333333333296
S1_3,-12.9760315037,-0.9598333333333287
S2_1,-16.0665576676,-1.838533333333329
S2_2,-14.1205235473,-1.9232333333333287
S2_3,-15.5351643432,-2.2056333333333296
S3_1,-16.4777110051,-1.5089333333333297
S3_2,-16.9128132479,-1.7314333333333298
S4_1,-18.1249376351,-1.2951333333333288
S4_2,-18.0465122933,-1.5998333333333292
S4_3,-16.1891315996,-1.7559333333333296
S5_1,-23.4597446087,-2.713533333333329
S5_2,-22.8754658858,-2.162433333333329
S5_3,-23.5629195657,-2.3036333333333285
S6_1,-20.1035463826,-2.7766333333333293
S6_2,-59.4001200643,-7.607733333333329
S6_3,-17.9563896761,-2.369833333333329
S6/t_1,-22.6315501936,-2.995533333333329
S6/t_2,-60.7056776309,-7.876633333333329
S6_4,-18.6648435182,-3.0951333333333295
S6_5,-17.8617524455,-2.592333333333329
S6_6,-16.8877496498,-2.3028333333333286
S7_4,-23.9229680152,-2.7993333333333297
S7_5,-26.9414812345,-3.089233333333329
S7_6,-24.8617968522,-2.6664333333333285
S8_4,-26.4357193656,-3.3593333333333284
S8_5,-53.533472426,-5.428333333333329
G135_1,6.7303228057,-0.017433333333329415
G135_3,15.4672596509,-0.028233333333329114
G150_1,6.8234260174,-0.0035333333333298356
G150_2,2.5636761929,-0.00023333333333042106
G150_3,3.8707722244,-0.006533333333329949
G180_1,7.2085143753,-0.01273333333332971
G180_2,4.2178749154,0.005066666666671438
G180_3,11.2999806999,-0.009833333333329364
C30_1,0.7360884954,-0.006533333333329949
C30_2,1.2440420565,-0.020233333333329995
C90_1,-17.6149532033,-1.6954333333333285
C90_2,-14.596314611,-1.57513333333333
BI_1,-5.2907113522,-0.6059333333333292
BI_2,-5.2137286256,-0.43073333333332897
BC_2,-14.6340928411,-2.088533333333329
BC/t_1,-16.3267848435,-2.2484333333333293
BC/t_2,-19.8597974858,-2.2029333333333287
BC_1,-14.0703208238,-2.13763333333333
Sw_1,-15.1475986259,-2.496233333333329
Sw_2,-13.5491211978,-2.1709333333333287
BT_1,-5.8866664149,-0.6472333333333289
BT_2,-6.5230803018,-1.2498333333333296
B36_1,-9.6938240603,-1.4614333333333285
B36_2,-11.7231271589,-1.54153333333333
B60_1,-13.6133913143,-1.5152333333333292
B60_2,-17.4367063059,-1.6544333333333299
M9exp_1,-1.7795572982,0.012066666666669335
M9exp_2,-0.4080357485,-0.012633333333329944
M9exp_3,2.1875930466,0.0005666666666712672
M9tran_1,-3.738858157,-0.17173333333332863
M9tran_2,-4.8568651421,-0.08213333333332784
M9tran_3,-3.4291867088,-0.0258333333333276
M9stat_1,-23.5611131735,-3.7583333333333293
M9stat_2,-26.8957247835,-4.5094333333333285
M9stat_3,-26.5742418967,-4.811033333333329
M+G_1,-2.5009210482,-0.05083333333332973
M+G_2,-1.4461507191,-0.038933333333329045
M+G_3,1.5051092116,-0.020633333333329062
Glu_1,-4.3551124065,-0.081633333333329
Glu_2,-2.0773389592,-0.019133333333329006
Glu_3,-2.3689584284,-0.023633333333329176
Fru_1,-0.6331948534,-0.013433333333328079
Fru_2,-4.4256070437,-0.0360333333333287
Fru_3,-2.0625015025,-0.06193333333332873
Mal_1,2.180330236,-0.23163333333332758
Mal_2,-2.259815265,-0.05383333333332985
Mal_3,-0.49903621130000003,-0.04583333333333073
G+S_2,-7.7010930504,-0.4596333333333291
G+S_3,-9.5228926391,-0.16943333333333044
Pyr_1,-10.6170834681,-1.1874333333333293
Pyr_2,-10.5033917636,-0.8530333333333289
Pyr_3,-11.7493347677,-0.9122333333333295
Gly_1,3.2883925467,-0.09473333333333045
Gly_2,2.7674300712,-0.022933333333330808
Gly_3,-1.4886712907000001,-0.7391333333333296
Glucon_1,-6.9508064113,-0.6541333333333288
Glucon_2,-5.5653628589,-0.15073333333332783
Glucon_3,-10.2268894616,-1.3109333333333293
aero_1,-2.5735511656,-0.010233333333328432
aero_2,4.9272506354,-0.001733333333330478
aero_3,-0.2817653337,0.013466666666669624
nit_1,-7.5397461684,-0.3502333333333283
nit_2,-6.193762649,-0.4400333333333286
nit_3,-8.9706128113,-0.8933333333333291
ferm_1,-7.8470732687,-0.5468333333333284
ferm_2,-3.1040371474,-0.5352333333333288
ferm_3,-7.7187490672,-0.8207333333333295
T-5.40H_1,-7.4470116102,-0.04843333333332822
T-4.40H_1,-4.6422620126,-0.01653333333332796
T-3.40H_1,-5.5487364319,-0.03403333333332981
T-2.40H_1,-4.441704071,-0.19713333333332983
T-1.40H_1,-4.7021285411000004,-0.59873333333333
T-1.10H_1,-9.8231129599,-0.9021333333333299
T-0.40H_1,-7.7840125932,-0.6693333333333289
T0.0H_1,-7.4970239876,-0.8981333333333286
T0.30H_1,-18.9992445893,-3.8618333333333297
T1.0H_1,-19.3179391998,-3.1400333333333297
T1.30H_1,-21.0366329548,-3.753933333333329
T2.0H_1,-20.3272967014,-3.4248333333333285
T2.30H_1,-17.1925588748,-2.5817333333333288
T3.0H_1,-17.876683863,-3.0422333333333285
T3.30H_1,-17.8856503259,-2.6817333333333284
T4.0H_1,-17.8884129676,-2.6661333333333292
T5.0H_1,-19.029557626,-3.3230333333333295
HPh_1,-1.2541862555,-0.0249333333333297
HPh_2,0.9800092324,-0.010433333333327965
HPh_3,0.7046896337,-0.02873333333332795
LPh_1,-1.2858009059,-0.022933333333330808
LPh_2,-3.7655310723,-0.006733333333329483
LPh_3,0.0817175207,-0.030933333333329927
LPhT_1,-8.1821191434,-1.367433333333329
LPhT_2,-8.6720112021,-1.97683333333333
LPhT_3,-8.5073516264,-1.7867333333333288
SMMPr_1,-2.9501180185,-0.03343333333332765
SMMPr_2,-2.090975382,-0.0401333333333298
SMMPr_3,-2.195858483,-0.02103333333332813
HiTm_1,0.9722096135,-0.16003333333332748
HiTm_2,-1.741392961,-0.16203333333332992
HiTm_3,-2.1656707909,-0.25013333333333065
LoTm_1,-10.9897072474,-0.4742333333333306
