,ydiY
Cr_1,-0.0061524634603748705
Cr_2,-0.013519799470092063
Cr_3,-0.021962316239723417
Cr_4,-0.030117458099554788
Cr_5,-0.03942665848545459
Cr_6,-0.046895267340306905
Fe_1,-0.0011445446199302301
Fe_2,-0.006939802535904336
Fe_3,-0.007732676979074323
Fe_4,-0.00958188040623037
Fe_5,-0.005089873314358449
Fe_6,0.0029067980099213298
Cd_1,0.0038528961302506954
Cd_2,0.007763270088086103
Cd_3,0.00829241211915873
Cd_4,0.008154905521884036
Cd_5,0.000978449871594108
Cd_6,0.00035619122254657357
Zn_1,0.0011274052578814345
Zn_2,0.010388266954479895
Zn_3,0.028086744293092263
Zn_4,0.04724325660104032
Zn_5,0.05760225422409621
Zn_6,0.06420031454760411
Cu_1,0.004764284656610421
Cu_2,0.011334158326908102
Cu_3,0.01967988666227776
Cu_4,0.032118766899056066
Cu_5,0.04474270748924485
Cu_6,0.06003266440356215
Pb_1,0.007802096640199295
Pb_2,0.01990318068995013
Pb_3,0.031802744113552134
Pb_4,0.04429579756074089
Pb_5,0.052413504512384
Pb_6,0.059125313617258535
