locus,gene_weight,gene_name,gene_product,cog,regulator,AntR,link
PA2513,0.3708899739,antB,anthranilate dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2513&e1=1&assembly=complete
PA2512,0.3435206196,antA,anthranilate dioxygenase large subunit,Inorganic ion transport and metabolism,AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2512&e1=1&assembly=complete
PA2514,0.3016961221,antC,anthranilate dioxygenase reductase,Energy production and conversion,AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2514&e1=1&assembly=complete
PA2682,0.1546730506,PA2682,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2682&e1=1&assembly=complete
PA2509,0.1471389244,catB,muconate cycloisomerase I,Cell wall/membrane/envelope biogenesis,AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2509&e1=1&assembly=complete
PA2511,0.137065173,antR,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2511&e1=1&assembly=complete
PA2508,0.1269606697,catC,muconolactone delta-isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2508&e1=1&assembly=complete
PA2507,0.12285691480000001,catA,catechol 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",AntR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2507&e1=1&assembly=complete
