,ydhH
Cr_1,-0.008132426070836165
Cr_2,-0.013077195094545626
Cr_3,-0.017621696884274462
Cr_4,-0.020539525285590037
Cr_5,-0.017544392305120747
Cr_6,-0.01643317866871651
Fe_1,-0.0370454379239081
Fe_2,-0.07594487757941118
Fe_3,-0.11370551439961682
Fe_4,-0.13240495031979596
Fe_5,-0.14789665314205788
Fe_6,-0.15222765770755492
Cd_1,-0.001938272297700432
Cd_2,0.0007819065446295829
Cd_3,0.008801168917141569
Cd_4,0.015034058979343831
Cd_5,0.015584567367918297
Cd_6,0.01884380355434996
Zn_1,-0.018062755354404537
Zn_2,-0.01858956338798541
Zn_3,-0.021878267424104203
Zn_4,-0.035536928587867875
Zn_5,-0.03961704188229263
Zn_6,-0.05453872292870235
Cu_1,0.0092546931761338
Cu_2,0.015340101326773674
Cu_3,0.021255259777918485
Cu_4,0.02145034127180896
Cu_5,0.013458364855308365
Cu_6,0.0027575549891055173
Pb_1,-0.002419230511952459
Pb_2,0.00017520256939741708
Pb_3,0.0013724823270418914
Pb_4,0.01010375438052773
Pb_5,0.016023925024944482
Pb_6,0.02064984197945214
