,A,CysB
R2,,0.24131233373781047
xmin,,-4.4330305179
xmid,,-1.8793063874401987
xmax,,3.9772486522
ystart,,-3.076642954441302
yend,,6.605548598528822
aat__00m_00s__1,-0.85916903,-0.1277888639
aat__00m_30s__1,-1.0264261035,-0.1394835766
aat__01m_00s__1,-1.1387168136,-0.0189607874
aat__02m_00s__1,-0.0425840311,0.38422940310000003
aat__05m_00s__1,3.4889925635,1.3395606398
aat__10m_00s__1,4.6699813639,1.3076250607
aat__00m_00s__2,0.3808315584,0.1269884803
aat__00m_30s__2,-0.9805344567000001,0.4347601231
aat__01m_00s__2,0.0050790603,0.5324037686
aat__02m_00s__2,1.1670327643,0.9816632017
aat__05m_00s__2,4.2836140852,1.5246939245
aat__10m_00s__2,5.5910390968,1.7517866319
aat__00m_00s__3,0.4783374716,0.0008003836
aat__00m_30s__3,-0.29333024350000003,0.0789020814
aat__01m_00s__3,-0.145930369,0.1364204376
aat__02m_00s__3,0.9568788511,0.409513528
aat__05m_00s__3,3.4893953556,1.2692347137
aat__10m_00s__3,4.9161985404,1.3613592837000001
abx_mega__dmso-2__1,-0.7254876425,0.6382570215000001
abx_mega__ery_dmso__1,1.1832627206,-0.3315318367
abx_mega__nal_naoh__1,-1.2512365559,0.5764907361
abx_mega__dmso-5__1,0.7263619217,0.0167750786
abx_mega__rif_dmso__1,3.5468608766000003,-0.750527241
abx_mega__novo_h2o__1,2.3329438695,-0.5703463240000001
abx_mega__rach_dmso__1,-1.3527770943,-0.8555429246
abx_mega__metro_dmso__1,1.2238264366,0.13888758980000002
abx_mega__dmso-6__1,-0.30418873690000003,-0.0554193082
abx_mega__chl_h2o__1,1.5918153736,0.2284818394
abx_mega__cst_h2o__1,-0.0315111547,-0.1196698382
abx_mega__tec_h2o__1,-3.6562892557,-0.3449798935
abx_mega__str_h2o__1,-2.695257281,1.1169475663
abx_mega__ctx_h2o__1,0.1183854624,-0.41485102150000003
abx_mega__nal_naoh__2,-1.2800819035,0.0507313958
abx_mega__phos_h2o__1,-1.2107641279,-0.7274179601
abx_mega__dmso-5__2,0.8305447466,-0.178849966
abx_mega__polmyx_h2o__1,-1.7809267603,-0.4623337051
abx_mega__h2o-8b__1,-0.6133301567,-0.0059149482
abx_mega__h2o-6__1,-0.3815648452,0.2578506941
abx_mega__thio_dmso__1,-2.444537912,-0.9428703262
abx_mega__phos_h2o__2,-0.8781683503000001,-0.22410519610000001
abx_mega__ctx_h2o__2,-3.1479144454,-0.9213158863
abx_mega__lzd_dmso__1,-0.9957531178000001,-0.1420263347
abx_mega__naoh-9__1,-0.5063952706,0.0499046126
abx_mega__dox_dmso__1,-1.3776643239,-0.8714365168
abx_mega__phos_ethanol__1,-0.39028232830000004,0.050923295300000004
abx_mega__teix_dmso__1,-1.1288817814,-1.2156187584
abx_mega__dmso-10__1,0.0567851861,-0.1479042026
abx_mega__van_dmso__1,-0.1809934567,-1.6984036122
abx_mega__ramo_h2o__1,0.016522942500000002,-0.7096658302000001
abx_mega__tec_h2o__2,-2.7029763545,-1.1675629643
abx_mega__h2o-7__1,-1.9173828528999999,-0.8004458663
abx_mega__cro_h2o__1,-2.3450700276,-0.7581876553
abx_mega__tric_ethanol__1,-0.2887862312,-0.4149425651
abx_mega__nor_naoh__1,-0.38960777,0.2654321007
abx_mega__teix_dmso__2,-1.6249701839,-0.5713505280000001
abx_mega__nal_naoh__3,-1.1173475368,0.08557556990000001
abx_mega__novo_h2o__2,0.7669556476,-0.7039500648
abx_mega__dmso-10__2,-0.2377472668,-0.029483668900000003
abx_mega__phos_h2o__3,-0.015347220600000001,0.477140883
abx_mega__dmso-6__2,-0.41067360470000003,-0.254379026
abx_mega__rfp_ethanol__1,0.4552295354,-0.6794357417
abx_mega__dmso-5__3,0.5433760612,0.1655219721
abx_mega__amyc-d_dmso__1,1.4041081399,1.2737312755999999
abx_mega__sxt_dmso__1,-0.7617081571000001,-1.3039878138
abx_mega__dmso-1__1,-0.48615824150000003,-0.3585026432
abx_mega__pen_h2o__1,-1.4205955283,-0.4365184614
abx_mega__dmso-10__3,-0.0961530765,-0.1612514081
abx_mega__nal_naoh__4,-1.2103155276,-0.33153991200000005
abx_mega__cip_naoh__1,-1.0990197685,-0.6348405651
abx_mega__pen_h2o__2,-0.9837249763,-0.3200119741
abx_mega__ery_dmso__2,0.9160150546,-0.4444153279
abx_mega__dmso-2__2,-2.7817325873,1.2585524715
abx_mega__van_dmso__2,0.2849424681,-1.3723799895
abx_mega__h2o-1b__1,-0.4832461503,-0.4908106057
abx_mega__ery_h2o__1,-0.8372853604,-0.1305869494
abx_mega__bacit_h2o__1,-1.8815235419,-1.7433654145
abx_mega__chl_h2o__2,1.8056929577,-0.0013947216
abx_mega__str_h2o__2,-3.9689630679,1.4866050731
abx_mega__rfp_ethanol__2,1.3445300337,-0.2640412325
abx_mega__polmyx_h2o__2,-1.3619982818,-0.7181229062000001
abx_mega__tric_h2o__1,0.0896859653,0.665466915
abx_mega__cip_naoh__2,-0.6679546083,0.1864304155
abx_mega__novo_h2o__3,1.1714292424,-1.0224591735
abx_mega__bacit_dmso__1,-0.1312813971,-0.5937793484
abx_mega__gen_h2o__1,1.9007277422,1.0941587765
abx_mega__bacit_dmso__2,0.6837960061,-0.46431013060000004
abx_mega__chl_dmso__1,1.8285371686,-0.1644565626
abx_mega__bacit_h2o__2,-0.3252635239,-1.1875707491
abx_mega__lvx_dmso__1,-1.8452022045,-0.9643255846000001
abx_mega__bacit_h2o__3,-1.2849924962000001,-1.3495922889
