,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.6821279206453356,3.0,0.0,0.1713560207,1.0,0.5801119984,2.0,-0.7514680191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,1.2373275929666667,0.648207801063049,3.0,3.0,1.5173810439,4.0,1.6984255649,5.0,0.49617617010000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,1.0259665897333334,0.09794826302736374,3.0,6.0,0.979751977,7.0,1.1384719912,8.0,0.959675801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761841714590836e-12,1.8879220893917292,21.0,9.0,2.1409965712,10.0,0.9491769121,11.0,1.938518147,12.0,1.6524033613,13.0,0.7326347854,14.0,1.6210730281,15.0,-2.4424308476,16.0,-2.6161995723,17.0,-2.2844221408,18.0,1.6616538757,19.0,2.0129927288,20.0,0.0955359825,21.0,0.904405816,22.0,2.2293194153,23.0,2.0315977346,24.0,-1.4356610893,25.0,-0.6479167874,26.0,-1.5518067579000001,27.0,-2.0498997452,28.0,-2.2728677419,29.0,-2.6691036757
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.40811811387619057,1.9746269842723176,21.0,30.0,1.6408823841,31.0,1.2956737685,32.0,2.2011408439,33.0,2.4256163021,34.0,1.5520086775,35.0,2.3069336994,36.0,-1.7289258069,37.0,-2.4242925449,38.0,-2.2212999709,39.0,2.3555729637000002,40.0,2.5548796782,41.0,1.7951208812,42.0,1.9666072158,43.0,1.6916704180000002,44.0,2.2549388186,45.0,-1.5783144233000002,46.0,-0.0773715515,47.0,-0.9157410798000001,48.0,-1.9335494207,49.0,-2.0467193637,50.0,-2.5443510979
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-1.1564823173178714e-17,0.2938998709574675,3.0,51.0,-0.2743437007,52.0,0.3101712277,53.0,-0.035827527000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-1.9638799685500001,0.34308242457303745,4.0,54.0,-1.549068004,55.0,-2.2593042465,56.0,-1.8154326694,57.0,-2.2317149543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.06390978651288537,4.0,58.0,-0.0231564894,59.0,0.0031634538,60.0,0.085849307,61.0,-0.0658562714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.907262316925,0.38141049045678443,4.0,62.0,-0.9647771712000001,63.0,-1.3034584767,64.0,-0.9746989174,65.0,-0.3861147024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-1.4353926808750002,0.2883582611778917,4.0,66.0,-1.0053259407,67.0,-1.5373369526,68.0,-1.6110566664000001,69.0,-1.5878511638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.6031515648250001,0.08784317383659311,4.0,70.0,0.6608281156,71.0,0.6045685947,72.0,0.6686696246,73.0,0.47853992440000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,9.25185853854297e-18,0.9487406378028981,6.0,74.0,0.3769294984,75.0,1.2962916230000001,76.0,0.7245380650000001,86.0,-1.0713605136,88.0,-0.9138591588,90.0,-0.41253951400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,1.3858915019833333,0.6915269962499391,6.0,77.0,1.9495676562000002,78.0,1.9425551763,79.0,2.1289281645,87.0,0.7868190613,89.0,0.916863728,91.0,0.5906152256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-0.46587190383333343,0.08350275663478753,3.0,80.0,-0.5536624344000001,82.0,-0.45650673300000005,84.0,-0.3874465441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,0.8370424041666668,0.18782157014546652,3.0,81.0,0.9802885524,83.0,0.6243968213000001,85.0,0.9064418388000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,3.33333360913457e-11,0.2155971009192068,3.0,92.0,0.2487563677,93.0,-0.11587453260000001,94.0,-0.132881835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,1.2044766710333332,0.39027512073929194,3.0,95.0,1.4175934802,96.0,1.4417941003,97.0,0.7540424326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,3.4407046511000003,0.4065541353184383,3.0,98.0,3.0341527513,99.0,3.4407001801,100.0,3.8472610219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,2.8448855335,0.658806668107138,3.0,101.0,3.5809762832,102.0,2.3105451434,103.0,2.6431351739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,0.8715699037333334,0.06262427425520048,3.0,104.0,0.9065451945,105.0,0.9088941777,106.0,0.799270339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,1.7151590304666666,0.44074279066739064,3.0,107.0,1.9726648297,108.0,1.9665669916000001,109.0,1.2062452701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,4.417949758033333,0.3743251899821082,3.0,110.0,3.9896567845,111.0,4.6825263397,112.0,4.5816661499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,2.9430719690666667,0.17339513314768618,3.0,113.0,3.1291512162,114.0,2.7860264275,115.0,2.9140382635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
