,yadR
Cr_1,-0.006103891541699256
Cr_2,-0.010490996572001345
Cr_3,-0.015554699034962259
Cr_4,-0.021324306088168987
Cr_5,-0.02814077466998437
Cr_6,-0.043444523386675364
Fe_1,0.027512971374754027
Fe_2,0.06689522415934096
Fe_3,0.1173541376123604
Fe_4,0.17998155868419452
Fe_5,0.2502175803025836
Fe_6,0.3232740180689537
Cd_1,0.005446623417652798
Cd_2,0.011328470392952105
Cd_3,0.014138146520197582
Cd_4,0.02146494706075759
Cd_5,0.02278632773437388
Cd_6,0.030283069435342463
Zn_1,-0.00903353322534066
Zn_2,-0.01451036518813211
Zn_3,-0.011916345191594863
Zn_4,-0.01890039145353298
Zn_5,-0.02604843863549405
Zn_6,-0.036401190691905116
Cu_1,0.01023984108177946
Cu_2,0.010866993672046731
Cu_3,0.01746458185157051
Cu_4,0.022243739088165827
Cu_5,0.02604865947704873
Cu_6,0.028909905240574376
Pb_1,0.003629382568871796
Pb_2,0.00790692543321523
Pb_3,0.014280606692303903
Pb_4,0.023528306065263155
Pb_5,0.02703573051601436
Pb_6,0.0342789256596391
