,ugpA
Cr_1,-0.0009612738961840623
Cr_2,0.0013788101179636307
Cr_3,-0.0036485546685669796
Cr_4,-0.009022363483651416
Cr_5,-0.012685199062450277
Cr_6,-0.0140111647677331
Fe_1,-0.014405619256926828
Fe_2,-0.019218724112868082
Fe_3,-0.030681297133903933
Fe_4,-0.03721341870724069
Fe_5,-0.03621668993810502
Fe_6,-0.033678098993947365
Cd_1,-0.0018264315334941812
Cd_2,9.435813445274448e-05
Cd_3,0.002549108233532394
Cd_4,0.000785223971311518
Cd_5,-0.00045957185549696063
Cd_6,-0.0026798085001381896
Zn_1,0.004776559074149736
Zn_2,0.004546143543318797
Zn_3,0.014721850687174987
Zn_4,0.03541001829537011
Zn_5,0.05284067609059583
Zn_6,0.06364829330701004
Cu_1,0.0007205657672586753
Cu_2,-0.0014398771193077679
Cu_3,0.00013782333983103774
Cu_4,-0.00021473933966547004
Cu_5,0.002177468859496493
Cu_6,0.00048656165800246154
Pb_1,-0.007218270352429298
Pb_2,-0.0019289713514881394
Pb_3,0.006663090359386396
Pb_4,0.006257771431083542
Pb_5,0.0037660264725575313
Pb_6,0.003260532860632386
