,kdgR
Cr_1,0.0036300967258256892
Cr_2,0.00018777939296962825
Cr_3,0.0045242708808265145
Cr_4,0.009766338631822628
Cr_5,0.016614040796650006
Cr_6,0.024303734690022224
Fe_1,-0.03470882871920893
Fe_2,-0.06768462374491077
Fe_3,-0.08585845661744981
Fe_4,-0.09998147977319376
Fe_5,-0.09754074792058087
Fe_6,-0.09541041315701776
Cd_1,-0.003025461676681645
Cd_2,-0.0008443834516439794
Cd_3,0.0051784796765142966
Cd_4,0.0053554332498241715
Cd_5,0.005519035787523489
Cd_6,0.009442799681726509
Zn_1,0.003160564490744539
Zn_2,-0.0016224615713574945
Zn_3,-0.006469698850581366
Zn_4,0.007893038820867077
Zn_5,0.020430998210422418
Zn_6,0.02399943659452074
Cu_1,-0.0003715135185750065
Cu_2,-0.001386800841047871
Cu_3,0.0021002154738995857
Cu_4,0.002759630571426867
Cu_5,0.003857958793225271
Cu_6,0.01014183210950673
Pb_1,0.003102925030703342
Pb_2,0.009376375394819312
Pb_3,0.030185725556462192
Pb_4,0.048667561138929484
Pb_5,0.06336471083553652
Pb_6,0.06415440227342895
