,lpxC
Cr_1,0.005450319123750045
Cr_2,0.0082489387884133
Cr_3,0.022147796221878242
Cr_4,0.02784538191915381
Cr_5,0.030549785235771874
Cr_6,0.027047491154988317
Fe_1,-0.012906856053676427
Fe_2,-0.0064951669895921185
Fe_3,0.007954180445020788
Fe_4,0.006927143199881135
Fe_5,0.01248395702256784
Fe_6,0.014736567360455737
Cd_1,0.007750623483852004
Cd_2,0.006813655065553518
Cd_3,0.011809738443556478
Cd_4,0.02149171439766237
Cd_5,0.01995002846630312
Cd_6,0.023690587343666948
Zn_1,-0.02315765076034611
Zn_2,-0.04083175082716934
Zn_3,-0.04788964242245638
Zn_4,-0.0546103713723858
Zn_5,-0.046949030309485634
Zn_6,-0.04669882527685024
Cu_1,0.008783314095395294
Cu_2,0.027557662823757243
Cu_3,0.03548045513609712
Cu_4,0.04906079526833956
Cu_5,0.05299810036827675
Cu_6,0.052364240497509984
Pb_1,-0.0011808026668752051
Pb_2,0.0005826275943826688
Pb_3,0.00033843234999023775
Pb_4,0.0010765998894120099
Pb_5,-0.001421515289814322
Pb_6,0.0021248400849859816
