,sodB
Cr_1,0.008746515564034428
Cr_2,0.01986598545188466
Cr_3,0.032349357007892064
Cr_4,0.04195707634250593
Cr_5,0.0462521531587005
Cr_6,0.051880557111799765
Fe_1,-0.007591307934138819
Fe_2,-0.019466938318152174
Fe_3,-0.017496282247564783
Fe_4,-0.014971143917478813
Fe_5,-0.008819545885991176
Fe_6,-0.0069264553202927565
Cd_1,0.04939321779115075
Cd_2,0.10914368077622943
Cd_3,0.18433906187316887
Cd_4,0.2738572601765545
Cd_5,0.3610701146588769
Cd_6,0.44061105022711416
Zn_1,-0.004751232729297193
Zn_2,-0.00903950016055578
Zn_3,-0.006825997672273088
Zn_4,0.002067046096569024
Zn_5,0.009966243311358498
Zn_6,0.02351284746419434
Cu_1,0.006832699469168433
Cu_2,0.01381644700325018
Cu_3,0.02175053552974721
Cu_4,0.032732295858380604
Cu_5,0.04398746910342007
Cu_6,0.0547468869812781
Pb_1,-0.004758665966234547
Pb_2,-0.008395111051055245
Pb_3,-0.01006826840766694
Pb_4,-0.012599549190619579
Pb_5,-0.020841788602642117
Pb_6,-0.022488442858186644
