,A,FliA
R2,,0.7436396835223504
xmin,,-9.6582550968
xmid,,-0.6024186371921227
xmax,,9.0503325143
ystart,,-2.9149755891347815
yend,,34.46999339072265
aat__00m_00s__1,-1.2111035608,-0.26293615940000004
aat__00m_30s__1,-0.6829750761000001,-0.4144706946
aat__01m_00s__1,-0.3476244899,-0.2640511063
aat__02m_00s__1,0.3999279187,-0.11541768740000001
aat__05m_00s__1,0.7543209709,-0.2529709717
aat__10m_00s__1,-0.7141927216,-0.5877829253
aat__00m_00s__2,-0.5695775701,-0.3281306765
aat__00m_30s__2,-1.5215462953,-0.0677967758
aat__01m_00s__2,-1.3172740471,-0.2778869359
aat__02m_00s__2,-0.7165563092,-0.25121854320000003
aat__05m_00s__2,-0.4633296155,-0.2949256203
aat__10m_00s__2,-2.0158060703,-0.791700834
aat__00m_00s__3,1.7806811309000001,0.591066836
aat__00m_30s__3,1.6299214731,0.6375494104
aat__01m_00s__3,2.3880826527,0.4736079131
aat__02m_00s__3,3.1554310765,0.7875777803
aat__05m_00s__3,2.7803247174,0.606444737
aat__10m_00s__3,2.0090049144,0.2257627463
abx_mega__dmso-2__1,-3.4606340352,0.8577902799
abx_mega__ery_dmso__1,-5.7373929064,-0.6727015686000001
abx_mega__nal_naoh__1,-2.7214723007,0.15071211340000001
abx_mega__dmso-5__1,-2.9698551677,0.4007097027
abx_mega__rif_dmso__1,-2.6297065041,-1.2171742947
abx_mega__novo_h2o__1,-6.1577411654,-1.0658265789
abx_mega__rach_dmso__1,0.2330295944,-0.1884535988
abx_mega__metro_dmso__1,-3.6902012087,0.4250773084
abx_mega__dmso-6__1,-2.2523030066,0.4721224163
abx_mega__chl_h2o__1,-5.9431189287,-1.8436716191
abx_mega__cst_h2o__1,-2.17883937,-0.35035676520000003
abx_mega__tec_h2o__1,-9.6884710517,-0.9679102512000001
abx_mega__str_h2o__1,-6.8787819533,1.1506966283
abx_mega__ctx_h2o__1,-2.25617658,0.0487218393
abx_mega__nal_naoh__2,-5.064633385,-0.4570446937
abx_mega__phos_h2o__1,-6.7618331744999995,-0.24761762750000002
abx_mega__dmso-5__2,1.32853243,0.4191833486
abx_mega__polmyx_h2o__1,-0.9502846297,0.3704653451
abx_mega__h2o-8b__1,-2.856325855,-0.28276802900000003
abx_mega__h2o-6__1,-3.3776058536,0.1158069327
abx_mega__thio_dmso__1,-4.7949220531000005,-0.6151076583
abx_mega__phos_h2o__2,-3.958955861,-0.1972059459
abx_mega__ctx_h2o__2,-2.5174776641000003,0.2806411411
abx_mega__lzd_dmso__1,-6.3524191176,-0.8346252079
abx_mega__naoh-9__1,-3.7443658546,-0.269312312
abx_mega__dox_dmso__1,-3.3764616639,-0.2498907938
abx_mega__phos_ethanol__1,-4.3586513822,-0.1742045578
abx_mega__teix_dmso__1,-2.849043695,-0.0677906741
abx_mega__dmso-10__1,-1.0984134886,-0.17924831630000002
abx_mega__van_dmso__1,-5.6755034777999995,-1.7598383144
abx_mega__ramo_h2o__1,-4.4930890155,-0.3187245909
abx_mega__tec_h2o__2,-7.8380932897,-1.7986685541
abx_mega__h2o-7__1,-2.807478154,-0.32665428220000003
abx_mega__cro_h2o__1,-3.6862695674,-0.0934851812
abx_mega__tric_ethanol__1,-0.9112701964000001,-0.5851052979
abx_mega__nor_naoh__1,-2.3293092417,-0.45942361
abx_mega__teix_dmso__2,-4.1681145824,0.3900238629
abx_mega__nal_naoh__3,-4.5859575505,-0.4551209232
abx_mega__novo_h2o__2,-4.6240577671,-1.1620360634
abx_mega__dmso-10__2,-0.5070479929,-0.0485946265
abx_mega__phos_h2o__3,-3.9542206728,0.059023092400000005
abx_mega__dmso-6__2,-2.1233167018,0.1537823464
abx_mega__rfp_ethanol__1,4.4228908758,-2.5492566692
abx_mega__dmso-5__3,-2.7511261841,0.3411628672
abx_mega__amyc-d_dmso__1,-2.4631128789,-1.7929999849
abx_mega__sxt_dmso__1,-2.7229927819,-0.6089065484
abx_mega__dmso-1__1,-2.890072377,-0.025376058400000002
abx_mega__pen_h2o__1,-3.6994012413,-0.3684605621
abx_mega__dmso-10__3,-0.6922695014,0.08795852950000001
abx_mega__nal_naoh__4,-3.5204196222,-0.751672824
abx_mega__cip_naoh__1,-3.6469866227,-0.4887488204
abx_mega__pen_h2o__2,-4.4040227402,-0.45886270240000004
abx_mega__ery_dmso__2,-1.5944041280999999,-0.8225121445
abx_mega__dmso-2__2,-3.1896593801,0.7708108354000001
abx_mega__van_dmso__2,-7.7061354389000005,-2.1515099699
abx_mega__h2o-1b__1,-3.593251421,-0.5224455469
abx_mega__ery_h2o__1,-5.0851403733,-0.9881606761
abx_mega__bacit_h2o__1,-2.9062439841,-0.48063524560000004
abx_mega__chl_h2o__2,-3.804465532,-1.7059093539
abx_mega__str_h2o__2,-5.4144701366,1.0645578923
abx_mega__rfp_ethanol__2,3.7522487287,-1.9108552943000001
abx_mega__polmyx_h2o__2,-2.2888783306000002,-0.24666300530000002
abx_mega__tric_h2o__1,-0.1553071201,-0.9753535091000001
abx_mega__cip_naoh__2,-2.6892042482000003,-0.1178134866
abx_mega__novo_h2o__3,-4.4530602278,-1.2661485229
abx_mega__bacit_dmso__1,-1.0912279813,0.2156425177
abx_mega__gen_h2o__1,-7.7384773086,0.1146415615
abx_mega__bacit_dmso__2,-1.0131099741,0.1270916986
abx_mega__chl_dmso__1,-3.316561857,-0.9555936242
abx_mega__bacit_h2o__2,-5.9142920644,-0.4016151999
abx_mega__lvx_dmso__1,0.0127832911,-0.35910051470000004
abx_mega__bacit_h2o__3,-3.0853658617,-0.5410438885000001
abx_mega__nor_naoh__2,-0.2632478296,-0.1954036761
abx_mega__amyc-d_dmso__2,-2.5339261302000002,-0.26354343480000003
abx_mega__polmyx_h2o__3,0.3608739251,1.1062811235
abx_mega__naoh-6__1,-4.3584108461,0.0605181692
abx_mega__cst_h2o__2,-2.4748645712,0.007552271300000001
abx_mega__h2o-1b__2,-3.3224632926,-0.0382338918
abx_mega__rfp_h2o__1,-0.8588390478,-2.3958391062
abx_mega__tet_h2o__1,-6.3671492122,-0.8175330681
abx_mega__flavo_dmso__1,-3.7472683247000003,-0.6871936241000001
abx_mega__zeocin_h2o__1,-1.0164111409,0.2950017157
abx_mega__nor_naoh__3,-2.2128121405,-0.4129598815
abx_mega__rach_dmso__2,-1.6988256575,-0.0690578645
abx_mega__thio_dmso__2,-5.3428632831,-0.2315335127
abx_mega__amyc-d_dmso__3,-3.4803011874,-1.6899454962
abx_mega__rif_dmso__2,-3.5225281286,-0.5916136289
abx_mega__amyc-d_dmso__4,-2.1184899769,-0.1196393592
abx_mega__teix_dmso__3,-5.7329122393,-0.1714468552
abx_mega__valin_dmso__1,-3.3941489905,-0.3742283402
abx_mega__teix_dmso__4,-3.4965752027,0.28635012390000003
abx_mega__ethanol-10__1,-0.18133407070000002,-0.2857767814
abx_mega__inh_h2o__1,-0.9840008202,-0.2780527823
abx_mega__rif_dmso__3,-3.7536343388,-2.5941208961
abx_mega__van_dmso__3,-2.3958808595,-0.9316664832
abx_mega__doxo_dmso__1,-0.8042162795000001,-2.0459594549
abx_mega__tmp_dmso__1,-3.775513866,-0.6116492553
abx_mega__ethanol-10__2,-2.0255649521,-0.3027884272
abx_mega__tmp_dmso__2,-5.2894442238,-0.6349310469
